,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,herlossafterdarkmixtape,1,SpaceGhostPurrp,Her Loss After Dark Mixtape,"SpaceGhostPurrp

            —
            Her Loss After Dark Mixtape",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
1,voicetothehollows,2,Arzat Skia,Voice To The Hollows,"Arzat Skia

            —
            Voice To The Hollows",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
2,death-is-certain-5bd3d47c-3c54-4b93-8f5c-29793957bf16,3,Jimmy Smack,Death Is Certain,"Jimmy Smack

              —
              Death Is Certain
            
              (Knekelhuis)",Knekelhuis,"Moody post-punk distortion and electric bagpipe drone weirdness from LA deathrock outsider Jimmy Smack.

'Death is Certain' is assembled from two 7""s (1982's ""Death or Glory and 1983's ""Death Rocks"") and a single 12"" (1982's ""Anguish""), over which Los Angeles weirdo Jimmy Smack carved out his legend. Smack was notorious for performing in a kilt and... more",/products/death-is-certain-5bd3d47c-3c54-4b93-8f5c-29793957bf16,https://assets.boomkat.com/spree/products/791617/product/KH040.jpg,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
3,fireman,4,Bloodline Genesis,Fireman,"Bloodline Genesis

            —
            Fireman",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
4,coast-guard-gulf-of-blood,5,Vatican Shadow,Coast Guard Gulf Of Blood,"Vatican Shadow

              —
              Coast Guard Gulf Of Blood
            
              (Hospital Productions)",Hospital Productions,,/products/coast-guard-gulf-of-blood,https://assets.boomkat.com/spree/products/836464/product/795154137220.jpg,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
5,warsong,6,Bloodline Genesis,Warsong,"Bloodline Genesis

            —
            Warsong",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
6,and-salford-falls-apart,7,Blackhaine,And Salford Falls Apart,"Blackhaine

              —
              And Salford Falls Apart
            
              (HEAD II)",HEAD II,"Long-awaited solo vinyl debut of the most significant breakthru artist project in years - a staggering early testament to Blackhaine’s iconoclast energy and genre-shattering fusion of drill rap and ambient noise, produced by NW diamonds Rainy Miller & Croww. 100% essential for fans of Kanye West’s ‘Yeezus’ thru John Cooper Clark and Space Afrika. Cut as... more",/products/and-salford-falls-apart,https://assets.boomkat.com/spree/products/762383/product/Cover.jpg,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
7,uab,8,SpaceGhostPurrp,U.A.B,"SpaceGhostPurrp

            —
            U.A.B",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
8,defenderofinnocence,9,Bootee,Defender of Innocence,"Bootee

            —
            Defender of Innocence",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
9,ringring,10,"Lau Jr, Bossikan, Fly Lo",Ring Ring,"Lau Jr, Bossikan, Fly Lo

            —
            Ring Ring",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1903,Nikolas Rafael Hadjilaskaris / Live Adult Entertainment,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1903
