,rank,title,description,boomkat_url,img_url,curator,year,type
0,1,"SpaceGhostPurrp

            —
            Her Loss After Dark Mixtape",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
1,2,"Arzat Skia

            —
            Voice To The Hollows",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
2,3,"Jimmy Smack

              —
              Death Is Certain
            
              (Knekelhuis)","Moody post-punk distortion and electric bagpipe drone weirdness from LA deathrock outsider Jimmy Smack.

'Death is Certain' is assembled from two 7""s (1982's ""Death or Glory and 1983's ""Death Rocks"") and a single 12"" (1982's ""Anguish""), over which Los Angeles weirdo Jimmy Smack carved out his legend. Smack was notorious for performing in a kilt and... more",/products/death-is-certain-5bd3d47c-3c54-4b93-8f5c-29793957bf16,https://assets.boomkat.com/spree/products/791617/product/KH040.jpg,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
3,4,"Bloodline Genesis

            —
            Fireman",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
4,5,"Vatican Shadow

              —
              Coast Guard Gulf Of Blood
            
              (Hospital Productions)",,/products/coast-guard-gulf-of-blood,https://assets.boomkat.com/spree/products/836464/product/795154137220.jpg,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
5,6,"Bloodline Genesis

            —
            Warsong",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
6,7,"Blackhaine

              —
              And Salford Falls Apart
            
              (HEAD II)","Long-awaited solo vinyl debut of the most significant breakthru artist project in years - a staggering early testament to Blackhaine’s iconoclast energy and genre-shattering fusion of drill rap and ambient noise, produced by NW diamonds Rainy Miller & Croww. 100% essential for fans of Kanye West’s ‘Yeezus’ thru John Cooper Clark and Space Afrika. Cut as... more",/products/and-salford-falls-apart,https://assets.boomkat.com/spree/products/762383/product/Cover.jpg,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
7,8,"SpaceGhostPurrp

            —
            U.A.B",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
8,9,"Bootee

            —
            Defender of Innocence",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
9,10,"Lau Jr, Bossikan, Fly Lo

            —
            Ring Ring",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Nikolas Rafael Hadjilaskaris _ Live Adult Entertainment,2022,eoy
