,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,once-upon-a-time-446b5d73-02f9-4d77-a9fe-f9af720deaa8,1,ROMANCE,Once Upon A Time,"ROMANCE

              —
              Once Upon A Time 
            
              (Ecstatic)",Ecstatic,"Romance pen an extended love note to Celine Dion, re-imagining her work through a set of post-vaporwave crybient zoners that are part OPN's timeless ""Eccojams"", part ""Disintegration Loops” Basinski and part Malibu/DJ Lostboi on ice. Stunnnning, really. 

Smelting the iconic singer’s power ballad jewels to a hazed and glistening agenda, ‘Once Upon A... more",/products/once-upon-a-time-446b5d73-02f9-4d77-a9fe-f9af720deaa8,https://assets.boomkat.com/spree/products/787042/product/Romance_TIP_distribution_preview.jpg,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
1,uprooted-vol-1,2,CHBB / Vladimir Ivkovic,Uprooted Vol. 1,"CHBB / Vladimir Ivkovic

              —
              Uprooted Vol. 1 
            
              (Versatile Records)",Versatile Records,"Holy grail time! Vladimir Ivkovic initiates the Uprooted series with a 1st legit pressing of CHBB’s elusive industrial/techno touchstone, paired with a slow-motion dream sequence from Rex Ilusivii, Goran Vejvoda and Milan Mladenović - Essential business. No digital!

The first release on Vidal Benjamin’s Uprooted - a hugely promising, split 7” series exploring the... more",/products/uprooted-vol-1,https://assets.boomkat.com/spree/products/844458/product/CS901887-01A-BIG.jpg,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
2,traditional-music-of-south-london,3,DALE CORNISH,Traditional Music of South London,"DALE CORNISH

              —
              Traditional Music of South London
            
              (The Death Of Rave)",The Death Of Rave,"‘Traditional Music of South London' is the riveting new masterwork by Dale Cornish, a survey of recent and ancient folklore spanning deep house concrète, industrial dubstep and folk musiks inspired by urban gay mythology and reminding us of everything from Tricky to Jandek, DJ Sprinkles to Leslie Winer, Wasteland, Coil and Wanda Group to Andy Stott. 

Since... more",/products/traditional-music-of-south-london,https://assets.boomkat.com/spree/products/833356/product/Cover.jpg,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
3,a-southern-code,4,Eros,A Southern Code,"Eros

              —
              A Southern Code
            
              (Downwards)",Downwards,"Einstürzende Neubauten producer Boris Wilsdorf, Karl O’Connor aka Regis and MY DISCO's Liam Andrews assemble as EROS, bottling no-wave/industrial lightning with a tight set of pulverized, widescreen torched-songs that rasp, grate and throb somewhere between This Heat, The Cure, Cabaret Voltaire, Alva Noto x Pan Sonic.

An industrial fantasy of flesh... more",/products/a-southern-code,https://assets.boomkat.com/spree/products/832507/product/DNLP100_distro_preview.jpg,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
4,reel-torque-23-batcave-83,5,Annie Hogan,Reel Torque 23: Batcave ’83,"Annie Hogan

              —
              Reel Torque 23: Batcave ’83
            
              (Reel Torque)",Reel Torque,"Reel Torque hand over to new wave pioneer and original goth/’alt.’ DJ, Annie Hogan, for an unmissable mixtape redux of her role c.1983 at Soho’s Batcave, a crucible of London’s goth scene.

Nowadays regarded for her solo piano works, Annie Hogan’s illustrious oeuvre is inseparable from the history of post-punk, new wave and goth, with thanks to her part in... more",/products/reel-torque-23-batcave-83,https://assets.boomkat.com/spree/products/797945/product/coverrrrrrrr.jpg,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
5,amnesia-81,6,Annie Hogan,Amnesia ’81,"Annie Hogan

              —
              Amnesia ’81
            
              (Reel Torque)",Reel Torque,"New Wave hyper-connector Annie Hogan (Soft Cell, Deux Filles, Yello, Downwards) doubles down on her blink ’n miss ‘Batcave ’83’ edition, with an inch-perfect new double tape featuring a 3hr redux of her first ever DJ residency, at Leeds’ Amnesia in 1981 - chock with hi-grade bullets played just how she used to. Like the first tape, all label profits go to... more",/products/amnesia-81,https://assets.boomkat.com/spree/products/848254/product/Annige_Hogan_Distribution_preview.jpg,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
6,pestetape,7,Infant,Peste tape,"Infant

            —
            Peste tape",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
7,immunotherapy,8,Nozomu Matsumoto,Immunotherapy,"Nozomu Matsumoto

              —
              Immunotherapy
            
              (The Death Of Rave)",The Death Of Rave,"A deeply confounding trip into the sublime from master of contextual dream-weaving Nozomu Matsumoto on perhaps his most heart-piercingly beautiful work to date, including a 13 minute choral section that might just be the most stunning piece of pseudo-classical/liturgical alchemy we’ve heard all year. Huge recommendation for followers/lovers of Kara-Lis... more",/products/immunotherapy,https://assets.boomkat.com/spree/products/846839/product/11Distro_Preview_RAVE041.jpg,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
8,orange-9a1dd69b-6810-4fd5-9919-b0e297290120,9,CS + Kreme,Orange,"CS + Kreme

              —
              Orange
            
              (The Trilogy Tapes)",The Trilogy Tapes,"After delivering one of this decade’s early classic LPs, Naarm’s brilliantly incomparable CS + Kreme morph into modal jazz electronic mutations on a deadly cool but restless new album exploring the fissures of Detroit beatdown, early ‘00s electronica, contemporary midnight jazz and ambient rituals, featuring contributions from Bridget St John and James... more",/products/orange-9a1dd69b-6810-4fd5-9919-b0e297290120,https://assets.boomkat.com/spree/products/842485/product/5050580793651.jpg,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
9,emahoy-tsegue-mariam-guebru,10,Emahoy Tsegue-Mariam Guebru,Emahoy Tsegue-Mariam Guebru,"Emahoy Tsegue-Mariam Guebru

              —
              Emahoy Tsegue-Mariam Guebru
            
              (MISSISSIPPI)",MISSISSIPPI,"Mississippi Records furnish a very necessary follow-up to Emahoy Tsegué-Mariam Guèbru’s Spielt Eigene Kompositionen with the eponymous Emahoy Tsegué-Mariam Guèbru including the remaining eleven pieces from her Éthiopiques 21: Piano Solo CD.

Beloved of almost anyone who has heard her meandering, rhythmically complex... more",/products/emahoy-tsegue-mariam-guebru,https://assets.boomkat.com/spree/products/368085/product/large_550_tmp_2F1469221786578-8ikksftapiavp9xo-336bf2fa184346ed043007612ee276ad_2FMRP099.jpg,2085,Peste,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2085
