,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,arrival-b9092cf0-8461-4ac1-a835-048f9133034a,1,Aasthma,Arrival,"Aasthma

              —
              Arrival
            
              (Monkeytown Records)",Monkeytown Records,"Peder Mannerfelt & Pär Grindvik’s Aasthma invite Jonnine and Gavsborg, among others, for a sick debut album of skewed, stadium-size EDM-pop and club smashes woven with intricate sound design.

After an introductory trio of mutant rave 12”s in 2019, Aasthma return, galvanised with hi-EDM-pop sheen and stacked melodies for a more ambitious sound that... more",/products/arrival-b9092cf0-8461-4ac1-a835-048f9133034a,https://assets.boomkat.com/spree/products/831962/product/0817231017529.jpg,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
1,alex,2,Oyubi,ALEX (いつまでふたり),"Oyubi

            —
            ALEX (いつまでふたり)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
2,azd-surf,3,"Actress, Mount Kimbie and Kai Campos",AZD SURF,"Actress, Mount Kimbie and Kai Campos

              —
              AZD SURF
            
              (Ninja Tune)",Ninja Tune,"Actress x Mount Kimbie on a looped YMO x Prince poolside smudge.

Like an 8-bit LM-1 dunked in a hot-tub, or that thing you get when water gets lodged in yr ear and the stereo field goes gaga. It feels very AZD surf, good title.

 

            more",/products/azd-surf,https://assets.boomkat.com/spree/products/827016/product/5054429169874_T2_Image.jpg,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
3,universalcredit,4,Jeshi,Universal Credit,"Jeshi

            —
            Universal Credit",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
4,pajaros-en-verano,5,Ela Minus and DJ Python,Pájaros en Verano,"Ela Minus and DJ Python

              —
              Pájaros en Verano
            
              (Smugglers Way)",Smugglers Way,,/products/pajaros-en-verano,https://assets.boomkat.com/spree/products/827139/product/192152090784_T2_Image.jpg,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
5,oh-no-8263571d-812f-4535-adf5-e0038447252f,6,Itoa feat. なかむらみなみ,Oh No,"Itoa feat. なかむらみなみ

              —
              Oh No
            
              (Exit Records)",Exit Records,,/products/oh-no-8263571d-812f-4535-adf5-e0038447252f,https://assets.boomkat.com/spree/products/839622/product/196922217821.jpg,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
6,loveless-8ab47c8a-2b37-409d-b13d-1a4d5a6f5585,7,Money Lang,Loveless,"Money Lang

              —
              Loveless
            
              (Never Sleep)",Never Sleep,"Gabber Eleganza’s Never Sleep venture Money Lang’s debut single proper, teamed with a standout Rainy Miller remix and twisted trance-techno remix by Baby Blue 

In 2021, Dario Tronchin emerged from the pandemic as Money Lang with the ‘Treviso Mare Mixtape’ on Never Sleep. He returns now in ’22 with his debut single, proper, ‘Loveless’, an... more",/products/loveless-8ab47c8a-2b37-409d-b13d-1a4d5a6f5585,https://assets.boomkat.com/spree/products/834874/product/cover.jpg,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
7,amongheads,8,Deki Alem,Among Heads,"Deki Alem

            —
            Among Heads",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
8,kepko,9,Sega Bodega,Kepko,"Sega Bodega

              —
              Kepko
            
              (NUXXE)",NUXXE,,/products/kepko,https://assets.boomkat.com/spree/products/844444/product/5060644134344_T2_Image.jpg,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
9,do-you-want-to-take-me-home,10,Josh Caffe,Do You Want To Take Me Home,"Josh Caffe

              —
              Do You Want To Take Me Home
            
              (Phantasy Sound)",Phantasy Sound,,/products/do-you-want-to-take-me-home,https://assets.boomkat.com/spree/products/804207/product/5060944576103_T3_Image.jpg,2051,Pär Grindvik,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2051
