,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,cave-in-the-wind,1,Klein,Cave in the Wind,"Klein

              —
              Cave in the Wind
            
              (Parkwuud Entertainment)",Parkwuud Entertainment,"Klein follows last year's dumbfounding ""Harmattan"" with a sickeningly dense lattice of corroded instrumentation and barbed, dissociated theorizing. Darkest, Blackest ambient moves, deranged lo-fi punk and completely unwound baroque soul - ridiculously strong gear.

'Cave in the Wind' is Klein's latest long-form tome, an elevated miscellany of confident... more",/products/cave-in-the-wind,https://assets.boomkat.com/spree/products/830937/product/0840200513579.jpg,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
1,les-borigenes,2,Humming Dogs,Les Borigènes,"Humming Dogs

              —
              Les Borigènes
            
              (Bison Records)",Bison Records,,/products/les-borigenes,https://assets.boomkat.com/spree/products/641330/product/5056321607317_T11_Image.jpg,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
2,sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,3,VOICE ACTOR,Sent From My Telephone,"VOICE ACTOR

              —
              Sent From My Telephone
            
              (STROOM)",STROOM,"This one's a lot but bear with us! Four-and-a-half-hours of sketchbook style cut-and-paste creations that sit at the intersection of Broadcast, Lolina, Fonal, Mark Leckey, Dean Blunt, Félicia Atkinson and Mica Levi. Stroom has properly outdone itself with this one - huge recommendation, with an emphasis on huge.

When we got sent this we were a... more",/products/sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,https://assets.boomkat.com/spree/products/839760/product/STRDIG070A.jpg,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
3,hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,4,HiTech,Hitech,"HiTech

              —
              Hitech
            
              (FXHE Records)",FXHE Records,"Aye whats this? Omar-S’ FXHE with a deadly set of Ghettotech x Footwork energies from the Motor City, produced by Milf Melly & King Milo aka Hi Tech, cutting fast tempos with smudged strings and city-at-night romance. It’s full deadly gear, huge tip if yr into anything from Shake Shakir to DJ Nate to Alexander Omar Smith, you know it.

Hitting one of the label’s... more",/products/hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,https://assets.boomkat.com/spree/products/833897/product/TIP!2022_distribution-preview_hi_tech.jpg,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
4,remain-calm-5acfbe4b-8edf-463d-b9de-ac95af39f0f1,5,Nile Koetting & Nozomu Matsumoto,Remain Calm,"Nile Koetting & Nozomu Matsumoto

              —
              Remain Calm
            
              (Info)",Info,"Stunning HD environmental recordings and surrealist text-to-speech vocals from Japan’s Nozomu Matsumoto, once again working in collaboration with installation/performance artist Nile Koetting for a liquid, augmented reality that’s essential listening if you’re into anything from Hiroshi Yoshimura to TCF, Elysia Crampton to Sam Kidel. 

'Remain Calm' sounds... more",/products/remain-calm-5acfbe4b-8edf-463d-b9de-ac95af39f0f1,https://assets.boomkat.com/spree/products/827160/product/INFO003_Cover.jpg,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
5,hborsf,6,Norms,Háború és fű,"Norms

            —
            Háború és fű",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
6,cuff-yo-chick,7,DJ R3LL & DJ Kiff,Cuff Yo Chick,"DJ R3LL & DJ Kiff

              —
              Cuff Yo Chick
            
              (2 B Real)",2 B Real,"Vintage Jersey club sauce on this “lost” 2011 mixtape salvaged by Finn’s 2 B Real label on cassette tapes that are near guaranteed to last longer than a streaming link. 42 tracks, 70 minutes from Jersey Club’s golden era, all produced by DJ R3LL & DJ Kiff and lost to the internet after major label takedown requests - newly mastered and issued by 2 B... more",/products/cuff-yo-chick,https://assets.boomkat.com/spree/products/827935/product/DJ-R3ll-_-DJ-Kiff_distro_preview.jpg,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
7,it-changes,8,Ailie Ormston and Tim Fraser,It Changes,"Ailie Ormston and Tim Fraser

              —
              It Changes
            
              (Bison Records)",Bison Records,"Absolutely crackers material from Ailie Ormston and Tim Fraser that shunts UK dance themes through broken cultural motifs, field recordings and chillingly plastic General MIDI instrumentation. One part James Ferarro, one part Theo Burt, one part Farmers Manual?

In an attempt to portray the labyrinth of post-neoliberal British culture in the 2020s, Ormston... more",/products/it-changes,https://assets.boomkat.com/spree/products/804808/product/5056321669179_T11_Image.jpg,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
8,laperversita,9,"Hector Zazou, Jeanne Folly, VXZ 375, J.L. Hennig, Bazooka",La Perversita,"Hector Zazou, Jeanne Folly, VXZ 375, J.L. Hennig, Bazooka

            —
            La Perversita",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
9,all-bad-boy-all-good-girl-manchester-street-soul-soundtapes-1988-1996,10,Death Is Not The End,"All Bad Boy & All Good Girl - Manchester Street Soul Soundtapes, 1988-1996","Death Is Not The End

              —
              All Bad Boy & All Good Girl - Manchester Street Soul Soundtapes, 1988-1996
            
              (Death Is Not The End)",Death Is Not The End,"A Manchester Soundsystem special, compiled from original recordings made at house & Blues parties between 1988 and 1996, fully connecting dots between early Manchester pirate radio culture and its latter-day experimental fringes - spliced together and dubbed into the void. Trust - it’s the lick.

Capturing the fabled Manchester soundsystem scene in its... more",/products/all-bad-boy-all-good-girl-manchester-street-soul-soundtapes-1988-1996,https://assets.boomkat.com/spree/products/847830/product/DEATH032_Cover.jpg,1931,Raime / Moin,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1931
