,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,the-vanity-project,1,Iceboy Violet,The Vanity Project,"Iceboy Violet

              —
              The Vanity Project
            
              (2 B Real)",2 B Real,"One of Manchester and the UK’s most cherished, Iceboy Violet blazes thru on a debut album of killer, dare-to-differ grime and reeling stream-of-consciousness rap with production and contributions from Space Afrika, Emily Glass, Jennifer Walton, Slikback, Nick Leon, Mun Sing, Blackhaine, Daemon, Orlandor, Exploited Body and aya/LOFT - finally... more",/products/the-vanity-project,https://assets.boomkat.com/spree/products/785961/product/3663729187987.jpg,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
1,incantantion,2,FELIX LEE,INCANTANTION,"FELIX LEE

            —
            INCANTANTION",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
2,drag-me-into-the-void-b7092e73-a6ec-4249-88a2-a4ff58467ab3,3,Hajj,Drag Me Into The Void,"Hajj

              —
              Drag Me Into The Void
            
              (Youth)",Youth,"Key Parisian artist and Dawn Records CEO, Hajj disintegrates ambient, trance and rap instrumentals on a lush turn for Youth following his 2020 solo debut for BFDM - RIYL DJ Lostboi/Malibu, Ronce, AYYA, Burial.

Highly regarded around these ways for introducing the likes of Ronce on his Dawn Records label - with whom he collaborated on the ‘Aquatics’ LP - and a... more",/products/drag-me-into-the-void-b7092e73-a6ec-4249-88a2-a4ff58467ab3,https://assets.boomkat.com/spree/products/798847/product/8718723197298.jpg,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
3,armourii,4,BLACKHAINE,ARMOUR II,"BLACKHAINE

            —
            ARMOUR II",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
4,enter-the-anima-6465c63b-c37b-4e5a-a659-5662638ad1a3,5,FUMU,Enter The Anima,"FUMU

              —
              Enter The Anima
            
              (Youth)",Youth,"FUMU finally unveils that long-promised new album for YOUTH following last year’s 'Almost, Never, Nearly Where?’ collection of sawn-off oddballs, presenting a throbbing pouch of productions that run the gamut from Bunker-style red-liners to ruffkut dancehall, sore electronics and a couple of brilliantly fucked vocal cuts that are prob the finest screwed-pop... more",/products/enter-the-anima-6465c63b-c37b-4e5a-a659-5662638ad1a3,https://assets.boomkat.com/spree/products/802886/product/8718723198790.jpg,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
5,akimbo,6,ZIAK,AKIMBO,"ZIAK

            —
            AKIMBO",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
6,streetlands-ep,7,Burial,Streetlands EP,"Burial

              —
              Streetlands EP
            
              (Hyperdub)",Hyperdub,"Burial spoils us with his 2nd release of ’22, leaving the beats for dust and dialling up the ASMR ambient feels to tongue-tip, piloerect effect for lovers and lonely ravers.

Landing almost 15 years to the month since ‘Untrue’, the three durational parts of ‘Streetlands’ lend another panel to the widescreen ambient-cinematic tableaux that he’s been building for the past... more",/products/streetlands-ep,https://assets.boomkat.com/spree/products/841156/product/5056321638137_T4_Image.jpg,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
7,youmusthavebeendreaming,8,PUCE MARY,YOU MUST HAVE BEEN DREAMING,"PUCE MARY

            —
            YOU MUST HAVE BEEN DREAMING",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
8,hard-industrial-bop,9,Prison Religion,Hard Industrial BOP,"Prison Religion

              —
              Hard Industrial BOP
            
              (UIQ)",UIQ,"Subversive noise rap belligerence from Prison Religion on Lee Gamble’s UIQ, shattering paradigms with uncompromising blows of atonal noise, hardcore aggression and larynx-shredding vox. RIYL Slikback, Blackhaine, Death Grips, clipping, Dreamcrusher.

Presenting the duo of Parker Black & Warren Jones’ first fully formed work as Prison Religion after... more",/products/hard-industrial-bop,https://assets.boomkat.com/spree/products/814502/product/UIQLP007_Cover.jpg,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
9,i-was-born-by-the-sea,10,Richie Culver,I was born by the sea,"Richie Culver

              —
              I was born by the sea
            
              (REIF)",REIF,"Absolutely class - as in lokey AOTY potential - debut album from Hull-based conceptual artist Richie Culver; cutting to the marrow of modern life in the UK’s hinterlands and peripheries in an essential album for followers of Mark Leckey, Teresa Winter, Blackhaine, Klein, Logos, Dale Cornish.

Building on the cult rep of his initial link-up with Blackhaine in ’21... more",/products/i-was-born-by-the-sea,https://assets.boomkat.com/spree/products/836710/product/8790001375567_T9_Image.jpg,1928,Rainy Miller,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1928
