,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,achereissue,1,You’ve Got Foetus On Your Breath,Ache (Reissue),"You’ve Got Foetus On Your Breath

            —
            Ache (Reissue)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
1,ifidieidiereissue,2,Virgin Prunes,"If I Die, I Die (Reissue)","Virgin Prunes

            —
            If I Die, I Die (Reissue)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
2,amnesia-81,3,Annie Hogan,Amnesia ’81,"Annie Hogan

              —
              Amnesia ’81
            
              (Reel Torque)",Reel Torque,"New Wave hyper-connector Annie Hogan (Soft Cell, Deux Filles, Yello, Downwards) doubles down on her blink ’n miss ‘Batcave ’83’ edition, with an inch-perfect new double tape featuring a 3hr redux of her first ever DJ residency, at Leeds’ Amnesia in 1981 - chock with hi-grade bullets played just how she used to. Like the first tape, all label profits go to... more",/products/amnesia-81,https://assets.boomkat.com/spree/products/848254/product/Annige_Hogan_Distribution_preview.jpg,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
3,sonancy,4,Loop,Sonancy,"Loop

            —
            Sonancy",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
4,approach-8c253620-b21f-4f8d-b053-2106358f541a,5,LAWRENCE ENGLISH,Approach,"LAWRENCE ENGLISH

              —
              Approach
            
              (Room 40)",Room 40,"Lawrence English's latest solo album is his deepest and most rewarding yet, drowning eerie anime-inspired pads in cyberpunqued TV static and fogged grey noise. Patient, personal and incredibly moving >> RIYL Akira Yamaoka's ""Silent Hill"" OST, Thomas Köner, Deathprod.

If Room 40 boss English can be credited with at least partially prompting the global... more",/products/approach-8c253620-b21f-4f8d-b053-2106358f541a,https://assets.boomkat.com/spree/products/821257/product/196925266307.jpg,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
5,borsigwerkethecompleterecordingsofalexandervonborsig,6,Alexander von Borsig,BORSIGWERKE - The Complete Recordings of Alexander von Borsig,"Alexander von Borsig

            —
            BORSIGWERKE - The Complete Recordings of Alexander von Borsig",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
6,not-about-to-die,7,WIRE,Not about To Die,"WIRE

              —
              Not about To Die
            
              (Pink Flag)",Pink Flag,"2022 re-release of Wire's early 80's bootleg, Not About To Die.

""The album was made up of selections from demos recorded by the group for their second and third albums: Chairs Missing and 154. These demos had been recorded for EMI, with cassette copies circulated amongst record company employees. However, they were never intended for release.

A... more",/products/not-about-to-die,https://assets.boomkat.com/spree/products/812169/product/191762-wire-not-about-to-die.jpg,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
7,purelive,8,Godflesh,Pure ( Live ),"Godflesh

            —
            Pure ( Live )",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
8,westview,9,Vicious Pink,West View,"Vicious Pink

            —
            West View",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
9,bogset,10,Bogshed,Bogset,"Bogshed

            —
            Bogset",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
10,livingroom,11,"Peter Johan Nÿland, Bagdaddy & N.",Living Room,"Peter Johan Nÿland, Bagdaddy & N.

            —
            Living Room",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1982,Regis,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1982
