,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sick,1,Earl Sweatshirt,SICK!,"Earl Sweatshirt

            —
            SICK!",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
1,nothing-to-declare-705c81d5-0eb6-40e1-8056-4a8247632b83,2,700 Bliss,Nothing To Declare,"700 Bliss

              —
              Nothing To Declare
            
              (Hyperdub)",Hyperdub,"Four years since their explosive debut ""Spa 700"", DJ Haram and Moor Mother return to the 700 Bliss project with sharpened claws, hacking together East Coast delivery, genre-collapsing airlock beats, whipsmart pre-apocalypse politics and raw, breathless funk energy. Psycho-surrealist industrial noise-rap genius.

Listening to a Moor Mother album is like... more",/products/nothing-to-declare-705c81d5-0eb6-40e1-8056-4a8247632b83,https://assets.boomkat.com/spree/products/805612/product/5056321637796_T17_Image.jpg,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
2,aethiopes,3,Billy Woods,Aethiopes,"Billy Woods

            —
            Aethiopes",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
3,homerradiomixes,4,Crystallmess,Homer Radio Mixes,"Crystallmess

            —
            Homer Radio Mixes",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
4,k-e-k-k-a-n,5,Slikback,"K E K K A N
            
              (Slikback (Self-Released))","Slikback

              —
              K E K K A N
            
              (Slikback (Self-Released))",Slikback,"Trust Slikback to wait until December to drop one of the club albums of the year. K E K K A N is a piercing, visceral examination of dance music formulae that dissolves established tropes - from trap and gabber through to ballroom, gqom, and searing noise - into a full-fledged cyberpunk opera. If it ain't the soundtrack to Blade 2024, there's no justice in... more",/products/k-e-k-k-a-n,https://assets.boomkat.com/spree/products/848948/product/cover.jpg,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
5,idontgiveafuckaboutthisrapshitimmajustdropuntilidontfeellikeitanymore,6,Silkmoney,"I Don’t Give a Fuck About This Rap Shit, Imma Just Drop Until I Don’t Feel Like It Anymore","Silkmoney

            —
            I Don’t Give a Fuck About This Rap Shit, Imma Just Drop Until I Don’t Feel Like It Anymore",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
6,itsalmostdry,7,Pusha T,It's Almost Dry,"Pusha T

            —
            It's Almost Dry",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
7,10,8,Westside Gunn,10,"Westside Gunn

            —
            10",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
8,amourii,9,Blackhaine,Amour II,"Blackhaine

            —
            Amour II",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
9,hishappinessshallcomefirsteventhoughwearesuffering,10,Backxwash,HIS HAPPINESS SHALL COME FIRST EVEN THOUGH WE ARE SUFFERING,"Backxwash

            —
            HIS HAPPINESS SHALL COME FIRST EVEN THOUGH WE ARE SUFFERING",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
10,jazz-codes,11,Moor Mother,Jazz Codes,"Moor Mother

              —
              Jazz Codes
            
              (ANTI)",ANTI,"'Jazz Codes' is Moor Mother's second album for Anti and a companion to her 2021 release 'Black Encyclopedia of the Air'.

""Jazz Codes uses free jazz as a starting point but the collection continues the recent turn in Moor Mother's multifaceted catalog toward more melody, more singing voices, more choruses, more complexity. In its warm, densely... more",/products/jazz-codes,https://assets.boomkat.com/spree/products/817756/product/image002-1.jpg,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
11,itoldbessie,12,Elucid,I Told Bessie,"Elucid

            —
            I Told Bessie",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
12,razorview,13,"Brodinski, E Saggila",Razor View,"Brodinski, E Saggila

            —
            Razor View",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
13,b-e-aya-wavefold,14,Space Afrika,"B£E 
            
              (Dais Records)","Space Afrika

              —
              B£E (aya Wavefold)
            
              (Dais Records)",aya Wavefold,"aya folds Space Afrika's 'Honest Labour' standout 'B£E' into a double-time hard dance belter, ratcheting up Blackhaine's vocals to an acidic helium squeak. Absolutely fuckin' destructive peak time material.

Trust aya to take a slithering Mancunian neo-trip-hop masterpiece and alchemize it into rolling 4/4 squat rave monster. She didn't have to go this hard, but... more",/products/b-e-aya-wavefold,https://assets.boomkat.com/spree/products/796937/product/617308026283.jpg,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
14,baiser-mortel-baiser-mortel,15,Lala &ce & Low Jack,Baiser Mortel,"Lala &ce & Low Jack

              —
              Baiser Mortel
            
              (PAN)",PAN,"The most satisfying PAN full-length this year comes from the French duo of cloud rap innovator Lala Ac& and Low Jack, who meets her maple-sweet lullabies and rhymes with speaker burning low-end electricity that sounds like Pan Sonic or Andy Stott rewiring Metro Boomin. Huge recommendation.

If you've been following Franco-Ivorian producer and vocalist... more",/products/baiser-mortel-baiser-mortel,https://assets.boomkat.com/spree/products/835605/product/196589456007.jpg,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
15,random-girl,16,James K,Random Girl,"James K

              —
              Random Girl
            
              (Incienso)",Incienso,"NYC's inverted pop mainstay James K returns, dislodging shoegaze, ambient, power electronics and narcotic techno masonry, rebuilding songs from the rubble. RIYL Eartheater, MBV, Klein, Pharmakon, Mica Levi.

Jamie Krasner's 2016 debut ""PET"" impressed because the NYC artist was able to successfully deconstruct pop forms without losing the elements... more",/products/random-girl,https://assets.boomkat.com/spree/products/820278/product/0840200512596.jpg,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
16,x-wheel,17,Heith,"X, wheel","Heith

              —
              X, wheel
            
              (PAN)",PAN,"Exceptional debut album of electronic wanderlust from Heith, a lynchpin of Haunter Records and the Milanese scene, whose artistic arc has twisted into mad new forms over the past few years.

Interweaving aspects of arcane folk, wyrd metal, chamber electronics, offbeat dance music and noise into his own conception of electro-acoustic psychedelic... more",/products/x-wheel,https://assets.boomkat.com/spree/products/825164/product/617308030495.jpg,2070,Shapednoise,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2070
