,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,eros-in-the-bunker,1,Double Virgo,Eros In The Bunker,"Double Virgo

              —
              Eros In The Bunker
            
              (PLZ Make It Ruins)",PLZ Make It Ruins,"The ghosts of grungy ‘90s indie-pop percolate thru Double Virgo’s most significant EP with Vegyn’s label - a must for fans of their other project, Bar Italia, plus Dean Blunt, Mica Levi, or Yves Tumor

Comprising 2/3rds of Bar Italia, Double Virgo specialise in reiterations of a bygone sound, steering to the lower key side of ’Shine’ compilation styles with a rawer... more",/products/eros-in-the-bunker,https://assets.boomkat.com/spree/products/838712/product/5060263729952.jpg,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
1,hudson-5bcc9a1d-386f-4ed6-bf53-8c47b9fa73bc,2,Cousin,Hudson,"Cousin

              —
              Hudson
            
              (Nummer Music)",Nummer Music,,/products/hudson-5bcc9a1d-386f-4ed6-bf53-8c47b9fa73bc,https://assets.boomkat.com/spree/products/789264/product/8718723194471.jpg,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
2,howso,3,Th Blisks,How So?,"Th Blisks

            —
            How So?",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
3,purelink,4,Purelink,Purelink,"Purelink

              —
              Purelink
            
              (UwU dust bath)",UwU dust bath,,/products/purelink,https://assets.boomkat.com/spree/products/820811/product/UWU001.jpg,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
4,sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,5,VOICE ACTOR,Sent From My Telephone,"VOICE ACTOR

              —
              Sent From My Telephone
            
              (STROOM)",STROOM,"This one's a lot but bear with us! Four-and-a-half-hours of sketchbook style cut-and-paste creations that sit at the intersection of Broadcast, Lolina, Fonal, Mark Leckey, Dean Blunt, Félicia Atkinson and Mica Levi. Stroom has properly outdone itself with this one - huge recommendation, with an emphasis on huge.

When we got sent this we were a... more",/products/sent-from-my-telephone-3f5d3795-1f11-4277-812c-6877d4d1c2e3,https://assets.boomkat.com/spree/products/839760/product/STRDIG070A.jpg,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
5,angelhours,6,Mike Midnight,Angel Hours,"Mike Midnight

            —
            Angel Hours",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
6,hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,7,HiTech,Hitech,"HiTech

              —
              Hitech
            
              (FXHE Records)",FXHE Records,"Aye whats this? Omar-S’ FXHE with a deadly set of Ghettotech x Footwork energies from the Motor City, produced by Milf Melly & King Milo aka Hi Tech, cutting fast tempos with smudged strings and city-at-night romance. It’s full deadly gear, huge tip if yr into anything from Shake Shakir to DJ Nate to Alexander Omar Smith, you know it.

Hitting one of the label’s... more",/products/hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,https://assets.boomkat.com/spree/products/833897/product/TIP!2022_distribution-preview_hi_tech.jpg,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
7,foam-68d64b57-0493-4c08-ae15-f80effc92dd1,8,Ulla,Foam,"Ulla

              —
              Foam
            
              (3XL)",3XL,"Ulla returns with ‘Foam’, a surprise new album unlocking variants of ambient pop and looped jazz/dub styles coiled inside a glitched matrix that reminds us of Huerco S’ ‘Plonk’ as well as Ekkehard Ehlers fractal treatments and those incredible, smudged and disneyfied edits of Celine Dion released earlier this year by elusive outfit Romance. It’s an absorbing... more",/products/foam-68d64b57-0493-4c08-ae15-f80effc92dd1,https://assets.boomkat.com/spree/products/842639/product/3XL05_Cover.jpg,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
8,sone-glo,9,Pontiac Streator,Sone Glo,"Pontiac Streator

              —
              Sone Glo
            
              (West Mineral)",West Mineral,"Pontiac Streator mints a solo debut for Brian Leeds’ (Huerco S.) West Mineral Ltd. label with a bouquet of plasmic ambient lobe strokers, dusted with the guest charms of Ben Bondy, Perila, Nikolay Kozlov, and Protozoa Project.

Arriving as a more personalised pursuit of the genteel themes that bound his pair of albums with Ulla in 2018-19, ’Sone Glo’ portrays the... more",/products/sone-glo,https://assets.boomkat.com/spree/products/816586/product/OUEST088_Cover.jpg,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
9,chane-zhe-na-wu-ren-wen-jin-de-ge-yao,10,Organ Tapes,唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao,"Organ Tapes

              —
              唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao
            
              (Worldwide Unlimited)",Worldwide Unlimited,"Tim Zha aka Organ Tapes makes a hyperjump to DJ Python's Worldwide Unlimited label with an emotionally slushed set of singer-songwriter pearls spiked with his own idiosyncratic production moves. An investigation into avant pop, it sounds like a DIY inversion filtered thru the autotuned hypersonix of Ecco2K, Yves Tumor or Palmistry.

For over a decade now... more",/products/chane-zhe-na-wu-ren-wen-jin-de-ge-yao,https://assets.boomkat.com/spree/products/801287/product/coverererere.jpg,2065,Stone,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2065
