,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dinagon2021playgroundmusicdinagon,1,Dina Ögon,“Dina Ögon” 2021 Playground Music/Dina Ögon,"Dina Ögon

            —
            “Dina Ögon” 2021 Playground Music/Dina Ögon",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
1,natural-brown-prom-queen,2,Sudan Archives,Natural Brown Prom Queen,"Sudan Archives

              —
              Natural Brown Prom Queen
            
              (Stones Throw Records)",Stones Throw Records,"Best new Stones Throw in an age?! LA’s singer/violinist/producer Sudan Archives throws down dare-to-differ blends of Afro-American and even Cajun/Irish music on her follow-up to a 2019 debut LP, consistently surprising and brilliantly loose yet direct in a way that recalls everyone from Viola Klein to err, Klein, Kelela, Erykah Badu or Kelman Duran via Francis... more",/products/natural-brown-prom-queen,https://assets.boomkat.com/spree/products/829049/product/659457244934.jpg,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
2,deepfishingep2021jazzlandrecordings,3,Why Kai,“Deep Fishing” EP 2021 Jazzland Recordings,"Why Kai

            —
            “Deep Fishing” EP 2021 Jazzland Recordings",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
3,papirfuglen2022hubro,4,Moskus,“Papirfuglen” 2022 Hubro,"Moskus

            —
            “Papirfuglen” 2022 Hubro",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
4,fear1974islandrecords,5,John Cale,“Fear” 1974 Island Records,"John Cale

            —
            “Fear” 1974 Island Records",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
5,eghassmalan2017sahelsounds,6,Les Filles de Illighadad,“Eghass Malan” 2017 Sahel Sounds,"Les Filles de Illighadad

            —
            “Eghass Malan” 2017 Sahel Sounds",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
6,allears2020kokeplate,7,Juni Habel,“All Ears” 2020 Koke Plate,"Juni Habel

            —
            “All Ears” 2020 Koke Plate",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
7,i-get-along-without-you-very-well-d44c32fc-3798-41b1-9414-44d61e6b4de8,8,Ellen Arkbro & Johan Graden,I get along without you very well,"Ellen Arkbro & Johan Graden

              —
              I get along without you very well
            
              (Thrill Jockey)",Thrill Jockey,"Completely unexpected and striking slowcore pop vapors from Ellen Arkbro, who teams up with renowned Swedish pianist Johan Graden for an album of delicately downtempo songs led by Arkbro's emotional, smoky vocals. RIYL Stina Nordenstam, Jessica Bailiff, Low, Movietone, Emiliana Torrini.

If you heard Ellen Arkbro's chilly 2017 debut ""For Organ and Brass""... more",/products/i-get-along-without-you-very-well-d44c32fc-3798-41b1-9414-44d61e6b4de8,https://assets.boomkat.com/spree/products/827324/product/566_1600.jpg,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
8,descension-out-of-our-constrictions,9,Natural Information Society with Evan Parker,"descension 
            
              (Eremite Records / Aguirre)","Natural Information Society with Evan Parker

              —
              descension (Out of Our Constrictions)
            
              (Eremite Records / Aguirre)",Out of Our Constrictions,"Sax deity Evan Parker joins Joshua Abrams' Natural Information Society for this self-styled ""party album"" that sprinkles Chicago house elements into the framework of improvised jazz.

'descension (Out of Our Constrictions)' is the sixth album from Natural Information Society and was recorded at London's Cafe OTO. Split into four chunks, the piece is a single... more",/products/descension-out-of-our-constrictions,https://assets.boomkat.com/spree/products/722117/product/0881626572269.jpg,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
9,asura2021motvindrecords,10,Marthe Lea Band,“Asura” 2021 Motvind Records,"Marthe Lea Band

            —
            “Asura” 2021 Motvind Records",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1925,Susanna,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1925
