,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,prestonsturgesmovies,1,,Preston Sturges movies,Preston Sturges movies,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
1,thecanyons,2,Paul Schrader,The Canyons,"Paul Schrader

            —
            The Canyons",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
2,lancelotdulac,3,Robert Bresson,Lancelot du Lac,"Robert Bresson

            —
            Lancelot du Lac",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
3,tudeinblacks2e1,4,Columbo,"Étude in Black (S2, E1)","Columbo

            —
            Étude in Black (S2, E1)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
4,grandiose,5,Dean Blunt & NINA,Grandiose,"Dean Blunt & NINA

            —
            Grandiose",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
5,gilbertandgeorgedecember30rehearsal,6,HTRK,Gilbert and George (December 30 Rehearsal),"HTRK

            —
            Gilbert and George (December 30 Rehearsal)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
6,thevoiceofthespider,7,CS + Kreme,The Voice of the Spider,"CS + Kreme

            —
            The Voice of the Spider",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
7,basedonatruestory,8,Norm MacDonald,Based on a True Story,"Norm MacDonald

            —
            Based on a True Story",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
8,inalonelyplace,9,Dorothy B Hughes,In a Lonely Place,"Dorothy B Hughes

            —
            In a Lonely Place",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
9,danadelaneyongloriagrahame,10,Noir City Magazine #32,Dana Delaney on Gloria Grahame,"Noir City Magazine #32

            —
            Dana Delaney on Gloria Grahame",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
10,cottoncashmeremens14zipsweater,11,LL Bean,Cotton/cashmere Mens 1/4 zip sweater,"LL Bean

            —
            Cotton/cashmere Mens 1/4 zip sweater",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2020,Taylor Burch,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2020
