,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,music-for-animals,1,Nils Frahm,Music For Animals,"Nils Frahm

              —
              Music For Animals
            
              (LEITER)",LEITER,"Nils Frahm returns with a new album, Music For Animals, his first fresh studio material since 2018’s ‘All Melody’ and 2019’s associated ‘All Encores’.

""Containing ten tracks and clocking in at over three hours long, it’s an ambitious and compelling set different to anything Frahm’s released to date – in fact, it finds the Piano Day founder declining to use a piano – but at... more",/products/music-for-animals,https://assets.boomkat.com/spree/products/818967/product/image005.png,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
1,6-30-33-372-n-3-22-0-66-e,2,Emeka Ogboh,6°30′33.372″N 3°22′0.66″E,"Emeka Ogboh

              —
              6°30′33.372″N 3°22′0.66″E
            
              (Danfotronics)",Danfotronics,"Immersive, sonic-psychogeographic/deep topographic readings of Lagos, Nigeria by its native artist and breakthru star of Berghain’s A-Ton Emeka Ogboh, now kicking off his Danfotronics label with a properly sick session highly recommended if yr into owt from Shackleton to the MvO Trio.

Titled by coordinates for the Ojuelegba bus station and former shine in... more",/products/6-30-33-372-n-3-22-0-66-e,https://assets.boomkat.com/spree/products/820336/product/EMEKA_distribution-preview.jpg,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
2,all-you-can-tweak,3,Move D & D-Man,All You Can Tweak,"Move D & D-Man

              —
              All You Can Tweak
            
              (Smallville)",Smallville,"Heidelberg in the house! Longtime pals and sons of the south German city Move D & D-Man put a modular rig thru its paces in tight and tangy minimalist groovers for the deep and fruity crew

Both worthy of statues in their city for services to dance music, Dirk Mantei aka D-Man brings decades of work via his famed studio in his parents bakery, and parties in... more",/products/all-you-can-tweak,https://assets.boomkat.com/spree/products/845067/product/4251804151474_2500.jpg,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
3,paloma-47150a38-1885-4e9a-a1d6-de2a5eb27b5d,4,Laila Sakini,Paloma,"Laila Sakini

              —
              Paloma
            
              (Modern Love)",Modern Love,"Laila Sakini's new album 'Paloma' arrives via Modern Love and is her most striking and ambiguous to date - a pointed and timely meditation on hope and hierarchies that riffs on Zbigniew Preisner's magical ""The Double Life of Veronique"" score and enduring outsider music tome ""The Langley Schools Music Project"". Subtly transcendent, fathoms-deep music that's... more",/products/paloma-47150a38-1885-4e9a-a1d6-de2a5eb27b5d,https://assets.boomkat.com/spree/products/835149/product/Cover.jpg,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
4,tempus-6d2f8cec-9d57-4f4f-bb2f-b2d852985633,5,Pole,Tempus,"Pole

              —
              Tempus
            
              (Mute)",Mute,"Pole returns with another busted, bass-heavy woozer after 2020's unexpected ""Fading"". His most jazz-inspired record to date, it's stripped to the bare bones, assembled with brushy acoustic drum sounds, broken synthesizers and gut-wrenching subs. 

When Pole emerged after a five year absence with ""Fading"", he sounded creatively refreshed. Informed by the... more",/products/tempus-6d2f8cec-9d57-4f4f-bb2f-b2d852985633,https://assets.boomkat.com/spree/products/843587/product/5400863078065.jpg,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
5,perptual-now,6,rRoxymore,Perpetual Now,"rRoxymore

              —
              Perpetual Now
            
              (Smalltown Supersound)",Smalltown Supersound,"Hermione Frank joins the Smalltown Supersound family for her most confounding and satisfying set to date: unfurling four hypnotic long-form experimental workouts that drift thru heat-haze dub, freeform jazz, ambient electronix, tight club bumps and beachy neo-nu age wetness. RIYL Donato Dozzy, Huerco S., Batu, CCL or Laurel Halo. 

rRoxymore's debut album... more",/products/perptual-now,https://assets.boomkat.com/spree/products/828001/product/7072822411206.jpg,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
6,immunotherapy,7,Nozomu Matsumoto,Immunotherapy,"Nozomu Matsumoto

              —
              Immunotherapy
            
              (The Death Of Rave)",The Death Of Rave,"A deeply confounding trip into the sublime from master of contextual dream-weaving Nozomu Matsumoto on perhaps his most heart-piercingly beautiful work to date, including a 13 minute choral section that might just be the most stunning piece of pseudo-classical/liturgical alchemy we’ve heard all year. Huge recommendation for followers/lovers of Kara-Lis... more",/products/immunotherapy,https://assets.boomkat.com/spree/products/846839/product/11Distro_Preview_RAVE041.jpg,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
7,ballads-1f373ea7-7085-4510-9f54-babc53b660e8,8,Time is Away,Ballads,"Time is Away

              —
              Ballads
            
              (A Colourful Storm / Fleetway Tapes)",A Colourful Storm / Fleetway Tapes,"Yeah this one’s a bit special; number 3 in our list of most loved releases from 2021 when it was originally released on tape, now finally avaialble on this double vinyl edition selected and arranged by Jack Rollo and Elaine Tierney. Ballads’ is a waking-dream meander through beautiful, romantic, weird, exotic, intimate, un-categorisable music that shouldn't go... more",/products/ballads-1f373ea7-7085-4510-9f54-babc53b660e8,https://assets.boomkat.com/spree/products/850691/product/193292-time-is-away-ballads.jpg,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
8,olympiaumg,9,Betterov,Olympia (UMG),"Betterov

            —
            Olympia (UMG)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
9,playechoesleiter,10,Alexandra Hamilton-Ayres,Play Echoes (Leiter),"Alexandra Hamilton-Ayres

            —
            Play Echoes (Leiter)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2018,Thaddeus Herrmann,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2018
