,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,indexedtoimpulsemchastrobelikeremix,1,FUTURE CONDITIONAL,INDEXED TO IMPULSE (MÜCHA STROBE LIKE REMIX),"FUTURE CONDITIONAL

            —
            INDEXED TO IMPULSE (MÜCHA STROBE LIKE REMIX)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
1,fall,2,MÜCHA,FALL,"MÜCHA

            —
            FALL",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
2,respectthecomeup,3,MEEKZ,RESPECT THE COME UP,"MEEKZ

            —
            RESPECT THE COME UP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
3,hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,4,HiTech,Hitech,"HiTech

              —
              Hitech
            
              (FXHE Records)",FXHE Records,"Aye whats this? Omar-S’ FXHE with a deadly set of Ghettotech x Footwork energies from the Motor City, produced by Milf Melly & King Milo aka Hi Tech, cutting fast tempos with smudged strings and city-at-night romance. It’s full deadly gear, huge tip if yr into anything from Shake Shakir to DJ Nate to Alexander Omar Smith, you know it.

Hitting one of the label’s... more",/products/hi-tech-cf525b14-7ce3-4003-a806-145bdd9a10b1,https://assets.boomkat.com/spree/products/833897/product/TIP!2022_distribution-preview_hi_tech.jpg,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
4,gng,5,CHUNKY,GNG,"CHUNKY

            —
            GNG",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
5,4thehomiez,6,NOVELIST,4 THE HOMIEZ,"NOVELIST

            —
            4 THE HOMIEZ",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
6,livegoldencabinet,7,SDEM,LIVE @ GOLDEN CABINET,"SDEM

            —
            LIVE @ GOLDEN CABINET",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
7,anztakingthezigzagdubworldwide,8,,ANZ TAKING THE ZIG + ZAG DUB WORLDWIDE,ANZ TAKING THE ZIG + ZAG DUB WORLDWIDE,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
8,infra-c29edc75-42f5-4a14-b4ab-de208a9f08fa,9,Roland Kayn,Infra,"Roland Kayn

              —
              Infra
            
              (Reiger Records Reeks)",Reiger Records Reeks,"Roland Kayn’s extraordinary cybernetic firmament is brought into sharper focus by Jim O’Rourke’s sensitive remastering on the 2022 edition of ‘Infra’, some 41 years since it was generated at the Institute for Sonology, Utrecht.

Highlighting a true landmark by one of the c.20th’s legendarily unsung pioneers, this first reissue faithfully represents one of the handful... more",/products/infra-c29edc75-42f5-4a14-b4ab-de208a9f08fa,https://assets.boomkat.com/spree/products/843433/product/Infra_box_v1_web.jpg,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
9,body-traffic,10,Malvern Brume,Body Traffic,"Malvern Brume

              —
              Body Traffic
            
              (MAL)",MAL,"Jon K and Elle Andrews’ MAL imprint returns with a new LP from one of the London experimental underground's best kept secrets, Rory Salter aka Malvern Brume. His music is rare, eccentric and mysterious - somewhere between Coil's bleak ritual magick and the BBC Radiophonic Workshop's most experimental, minimal fringes. 

Malvern Brume operates... more",/products/body-traffic,https://assets.boomkat.com/spree/products/845106/product/MAL004_Cover.jpg,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
10,gottamoveon,11,DIDDY FEAT. BRYSON TILLER,GOTTA MOVE ON,"DIDDY FEAT. BRYSON TILLER

            —
            GOTTA MOVE ON",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
11,goodpeoplednaofalocksmith,12,PELIN PELIN,GOOD PEOPLE / DNA OF A LOCKSMITH,"PELIN PELIN

            —
            GOOD PEOPLE / DNA OF A LOCKSMITH",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
12,mobbs,13,MOBBS,Untitled,"MOBBS

              —
              Untitled
            
              (Chrome)",Chrome,"Felix Hall’s Chrome label throws down an ultra-sick new album of elevated, hybridised nite funk and Southern rap-informed psychedelics from NTS regular Mobbs. It follows crucial cuts on the label of ‘90s/'00s Dancehall instrumentals and a bounty of mixtapes that have earned it cult, buy-on-sight status, and is crucial listening if yr into anything from Hype... more",/products/mobbs,https://assets.boomkat.com/spree/products/809935/product/CH002_Cover.jpg,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
13,sluthimout,14,BABY TATE,SLUT HIM OUT,"BABY TATE

            —
            SLUT HIM OUT",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
14,the-codona-trilogy,15,CODONA,THE CODONA TRILOGY,"CODONA

              —
              THE CODONA TRILOGY
            
              (ECM)",ECM,"Don Cherry, Nana Vasconcelos and Collin Walcott’s modal archetypes as CODONA produced three exceptional, pioneering albums between 1978 and 1983 that were compiled on this ECM ’Trilogy’ which is now thankfully available again. Kodwo Eshun described the trilogy as ""18 intimations for new genres, 18 proposals for a poetics of principled perambulation... more",/products/the-codona-trilogy,https://assets.boomkat.com/spree/products/808292/product/image.php-2.jpeg,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
15,raw-space,16,Authentically Plastic,Raw Space,"Authentically Plastic

              —
              Raw Space
            
              (Hakuna Kulala)",Hakuna Kulala,"Another astonishing debut from Uganda's Hakuna Kulala imprint, 'Raw Space' introduces sonic hypnotist Authentically Plastic, who breaks open East African polyrhythms while nodding to nu-surrealist moves from Dean Blunt, Speaker Music, Nazar and Hieroglyphic Being. 

The Ugandan activist, DJ and producer has been making waves back home for the last... more",/products/raw-space,https://assets.boomkat.com/spree/products/801702/product/768558900431.jpg,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
16,vultureprince,17,AROOJ AFTAB,VULTURE PRINCE,"AROOJ AFTAB

            —
            VULTURE PRINCE",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1912,Tom Boogizm / Rat Heart,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/1912
