,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,theliquifiedthroneofsimplicity,1,Širom,The Liquified Throne of Simplicity,"Širom

            —
            The Liquified Throne of Simplicity",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
1,psychonautic-escapism,2,The Ephemeron Loop,Psychonautic Escapism,"The Ephemeron Loop

              —
              Psychonautic Escapism
            
              (Heat Crimes)",Heat Crimes,"A self-consciously epic, long-in-the-making new project that inexplicably fuses dub techno, grindcore, dreampop and psychedelic hard dance in a way that really shouldn’t work but which ends up completely upending the rulebook in the best way. Somewhere between Rhythm & Sound, Cocteau Twins, Napalm Death and DUMA? Bit special this one.

The... more",/products/psychonautic-escapism,https://assets.boomkat.com/spree/products/803775/product/HC001_Cover.jpg,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
2,sow-your-gold-in-the-white-foliated-earth,3,DEATHPROD,Sow Your Gold In The White Foliated Earth,"DEATHPROD

              —
              Sow Your Gold In The White Foliated Earth
            
              (Smalltown Supersound)",Smalltown Supersound,"Staggering, career-defining work from Norwegian vanguard Helge Sten (aka Deathprod), who drives relentlessly forward on this illuminating new tome, using Harry Partch's extremely rare metal and glass instruments to pen a major new work that’s been years in the making and somehow resets modern experimental mores. Truly one of the most exceptional, most... more",/products/sow-your-gold-in-the-white-foliated-earth,https://assets.boomkat.com/spree/products/837090/product/Deathprod_tip_distro_preview_2.jpg,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
3,are-you-ready-dac954ee-6287-474d-8d2a-e0d97bdfe21f,4,Maggie Nicols,Are You Ready?,"Maggie Nicols

              —
              Are You Ready?
            
              (OTOROKU)",OTOROKU,"Wonderful solo debut by Scottish free-jazz vocalist, dancer and performer Maggie Nicols, naturally fusing multiple traditions with playful wit and turns of phrase for Cafe Oto’s Otoroku, a stunning, intimately theatrical session for piano and voice. 

A renowned improvisor of over half a century on the circuit, Nicols brings an extensive legacy of work spanning... more",/products/are-you-ready-dac954ee-6287-474d-8d2a-e0d97bdfe21f,https://assets.boomkat.com/spree/products/833459/product/5056321678942_T17_Image.jpg,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
4,kingcobra,5,Infinity Knives & Brian Ennals,King Cobra,"Infinity Knives & Brian Ennals

            —
            King Cobra",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
5,diveofdevaloka,6,Kadef Agbi,Dive of Deva Loka,"Kadef Agbi

            —
            Dive of Deva Loka",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
6,two-sisters-98691d52-e4e6-43a3-bda9-b28db352ce34,7,Sarah Davachi,Two Sisters,"Sarah Davachi

              —
              Two Sisters
            
              (Late Music)",Late Music,"Sarah Davachi's most satisfying album yet is a love-letter to early music that expertly spans her interests in instrumentation, synthesis, minimalism and tradition. Rooted in the past, it's guided into the present by Davachi's unmistakably prudent hand - a patient examination of the through-line between choral, meditative drone and chamber music. 

The most striking... more",/products/two-sisters-98691d52-e4e6-43a3-bda9-b28db352ce34,https://assets.boomkat.com/spree/products/833012/product/5060263729075.jpg,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
7,ama-gogela,8,Phelimuncasi,Ama Gogela,"Phelimuncasi

              —
              Ama Gogela
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Gqom hybridists Phelimuncasi return to Nyege Nyege Tapes for a second album of purple-hued, darkside energies that cross galvanized futuristic productions with frenetic MCing in isiZulu and English. Imagine DJ Lag, DJ Menzi and Byrell the Great in a blender and you'll get a vague idea of what to expect.

Nyege introduced Phelimuncasi to the wider world a couple of... more",/products/ama-gogela,https://assets.boomkat.com/spree/products/802499/product/768558900578.jpg,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
8,nothing-to-declare-705c81d5-0eb6-40e1-8056-4a8247632b83,9,700 Bliss,Nothing To Declare,"700 Bliss

              —
              Nothing To Declare
            
              (Hyperdub)",Hyperdub,"Four years since their explosive debut ""Spa 700"", DJ Haram and Moor Mother return to the 700 Bliss project with sharpened claws, hacking together East Coast delivery, genre-collapsing airlock beats, whipsmart pre-apocalypse politics and raw, breathless funk energy. Psycho-surrealist industrial noise-rap genius.

Listening to a Moor Mother album is like... more",/products/nothing-to-declare-705c81d5-0eb6-40e1-8056-4a8247632b83,https://assets.boomkat.com/spree/products/805612/product/5056321637796_T17_Image.jpg,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
9,the-vanity-project,10,Iceboy Violet,The Vanity Project,"Iceboy Violet

              —
              The Vanity Project
            
              (2 B Real)",2 B Real,"One of Manchester and the UK’s most cherished, Iceboy Violet blazes thru on a debut album of killer, dare-to-differ grime and reeling stream-of-consciousness rap with production and contributions from Space Afrika, Emily Glass, Jennifer Walton, Slikback, Nick Leon, Mun Sing, Blackhaine, Daemon, Orlandor, Exploited Body and aya/LOFT - finally... more",/products/the-vanity-project,https://assets.boomkat.com/spree/products/785961/product/3663729187987.jpg,2031,TUSK Festival,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2031
