,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dreamworld,1,Blackout,Dreamworld,"Blackout

            —
            Dreamworld",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
1,genital-warfare,2,Suicidal Rap Orgy,Genital Warfare,"Suicidal Rap Orgy

              —
              Genital Warfare
            
              (Dual Plover)",Dual Plover,,/products/genital-warfare,https://assets.boomkat.com/spree/products/64315/product/original.jpg,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
2,boutlove,3,Bill Withers,'Bout Love,"Bill Withers

            —
            'Bout Love",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
3,jokangadjiribi,4,Super Onze,Jo Kanga Djiribi,"Super Onze

            —
            Jo Kanga Djiribi",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
4,exploring-gong-culture-in-southeast-asia-mainland-and-archipelago,5,Various Artists,Exploring Gong Culture In Southeast Asia: Mainland and Archipelago,"Various Artists

              —
              Exploring Gong Culture In Southeast Asia: Mainland and Archipelago
            
              (Sub Rosa)",Sub Rosa,"Killer comp of traditional gong musics ranging from the central highlands of Vietnam and NE Cambodia to variants from the Philippines, Borneo, Sulawesi and Indonesia, with an introduction by David Toop.

As the venerable Toop opines, Gongs have played an integral role in the mythogeography of Asia, and this comp is a great example of the instrument’s potential... more",/products/exploring-gong-culture-in-southeast-asia-mainland-and-archipelago,https://assets.boomkat.com/spree/products/812519/product/SR509LP_CU.jpg,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
5,microphone-permission,6,Jasmine Guffond,Microphone Permission,"Jasmine Guffond

              —
              Microphone Permission
            
              (Editions Mego)",Editions Mego,"Probingly bittersweet electro-acoustic investigations of online surveillance and security systems from Australia’s Jasmine Guffond, following excellent albums for Sonic Pieces with her Editions Mego debut.

Paranoid in tone and elusively spectral by nature, ‘Microphone Permission’ evokes its subject in a mix of quizzical ambient sound design and mutated techno... more",/products/microphone-permission,https://assets.boomkat.com/spree/products/633694/product/5050580730533.jpg,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
6,thiswomanswork,7,Kate Bush,This Woman's Work,"Kate Bush

            —
            This Woman's Work",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
7,rural-objects,8,Francis Plagne,Rural Objects,"Francis Plagne

              —
              Rural Objects
            
              (BLACK TRUFFLE / Horn Of Plenty)",BLACK TRUFFLE / Horn Of Plenty,"Must-check album of home brewed country and psych-soul hybrids from Melbourne’s Francis Plagne, rejoining Oren Ambarchi’s Black Truffle following a richly enigmatic 2018 outing with crys cole.

Following its tape edition of 100 copies by Hobbies Galore, Plagne’s ‘Rural Objects’ lands as a digital release on Black Truffle to evince, where needed, that the... more",/products/rural-objects,https://assets.boomkat.com/spree/products/614783/product/4250101411052.jpg,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
8,chords-5a4c6ee2-92ee-4bf6-b840-3054364b3758,9,Ellen Arkbro,CHORDS,"Ellen Arkbro

              —
              CHORDS
            
              (Subtext Recordings)",Subtext Recordings,"Avant-garde composer and student of La Monte Young, Marian Zazeela and Jung Hee Choi, Ellen Arkbro renders sustained and harmonically opaque chords on her stunning second solo album for Subtext. More minimal and extended than her 2017 debut ‘For Organ and Brass’, 'Chords’ is a focussed study in a gradual manipulation of acoustic timbres, using subtle... more",/products/chords-5a4c6ee2-92ee-4bf6-b840-3054364b3758,https://assets.boomkat.com/spree/products/593166/product/5065002106698_T55421974920054.jpg,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
9,limpatiencedirectedescorps,10,Erell Latimier,L'impatience Directe Des Corps,"Erell Latimier

            —
            L'impatience Directe Des Corps",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2023,Will Guthrie,2022,https://boomkat.com/charts/boomkat-end-of-year-charts-2022/2023
