,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sinead-memory-tape-2015,1,John T. Gast,"SINEAD MEMORY TAPE 
            
              (5 Gate Temple)","John T. Gast

              —
              SINEAD MEMORY TAPE (2015)
            
              (5 Gate Temple)",2015,"From one reggae lover to another; John T. Gast pays heartfelt homage to departed angel Sinead O’Connor with a gorgeous hour of screwed ambient dub meditation. RIYL DJ Screw, Romance, 0PN’s Eccojams, Florian TM Zeisig, Malibu

Sinead O’Connor (b. 1966, ✝ 2023) was a ubiquitous influence and hero to many who grew up in the ’80s, ‘90s and beyond. O’Connor was also a noted fan of reggae and dub, and her 1992 SNL rendition of Bob Marley’s ‘War’, with lyrics altered to reflect child abuse in... more",/products/sinead-memory-tape-2015,https://assets.boomkat.com/spree/products/905321/product/5056688811426_T11_Image.jpg,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
1,on-the-turning-ground,2,Tara Clerkin Trio,On The Turning Ground,"Tara Clerkin Trio

              —
              On The Turning Ground
            
              (World Of Echo)",World Of Echo,"Bristol’s quietly revelatory Tara Clerkin Trio usher a magnificent new 30 minute mini album of folk-jazz and classical-downbeat chamber music x dreampop with their return trip for London’s World of Echo, hugely tipped if yr into Laika, Pram, Broadcast, Hydroplane, A.R. Kane, Portishead, Laila Sakini.

Effortless and transcendent, Tara Clerkin Trio unpick and rethread myriad 90’s DIY tropes on an undeniably genius new mini album that takes the brittle, asymmetric pop of Pram, Stereolab’s... more",/products/on-the-turning-ground,https://assets.boomkat.com/spree/products/916548/product/Tara_Clerkin_Tip23.jpg,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
2,spawm,3,River Yarra,Spawm,"River Yarra

              —
              Spawm
            
              (Super Utu)",Super Utu,,/products/spawm,https://assets.boomkat.com/spree/products/879794/product/4251804160780_2500.jpg,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
3,how-was-your-life,4,Memotone,How Was Your Life?,"Memotone

              —
              How Was Your Life?
            
              (Impatience)",Impatience,"Sublime fantasy exotica by Memotone, leading on from an unexpected gem for Sähkö with a proper dream sequence RIYL Pekka Airaksinen, Eno & Byrne, Ryuichi Sakamoto, Mike Cooper, Alice Coltrane, Jonquera

Among the UK’s shapeshifting best, Memotone’s music has long been in search of an elusive muse, variously resembling baroque druid folk, Japanese environmental ambient, modal jazz-fusion and radiophonic library music. It’s not hard to hear all the above inhabiting... more",/products/how-was-your-life,https://assets.boomkat.com/spree/products/872316/product/a2788299191_10.jpg,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
4,pulse-ep,5,Peverelist,Pulse EP,"Peverelist

              —
              Pulse EP
            
              (Livity Sound Recordings)",Livity Sound Recordings,"Killer first EP in five years by the master of unhurried but insistent UK bass mutations

A key catalyst of dubstep’s 2nd wave from 2007, and later its whole post- phase, Tom Ford aka Peverelist has been notable by his absence from release schedules in recent years, though he’s kept a steady hand on the tiller of Livity Sound, behind ace releases by Forest Drive West, Two Shell, Tribal Bros, Azu Tiwaline, DJ Plead, and many others, over the interim. The ‘Pulse’ EP marks his return without missing... more",/products/pulse-ep,https://assets.boomkat.com/spree/products/860385/product/3663729240842.jpg,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
5,bbb3minialbum,6,E-Unity,BBB<3 (mini album),"E-Unity

            —
            BBB<3 (mini album)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
6,for-spirits,7,Batu,For Spirits,"Batu

              —
              For Spirits
            
              (A Long Strange Dream)",A Long Strange Dream,"UK club phenom Batu leads the dance deep and wayward on first shot from his new label, A Long Strange Dream.

After recalibrating his sound with crystal clarity and hydrodynamics on the ‘Opal’ album at the end of 2022, Batu minted this new label for a back-to-basics approach for sharing his music. ‘For Spirits’ is a club dedicated EP for daring DJs and proper dancers, weighing in some of his slipperiest and deeply forward, imaginative mutations of techno, UKG, electro and “bass” music forms... more",/products/for-spirits,https://assets.boomkat.com/spree/products/872225/product/41a8e3b6-cdcf-5ed6-b7c2-3d7b8f991af8.jpg,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
7,beam-73953be6-2aa9-4a86-baa8-e91a7d942ac8,8,Tammo Hesselink,Beam,"Tammo Hesselink

              —
              Beam
            
              (Nous'klaer Audio)",Nous'klaer Audio,,/products/beam-73953be6-2aa9-4a86-baa8-e91a7d942ac8,https://assets.boomkat.com/spree/products/881704/product/8718723230285.jpg,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
8,praise-a-lord-who-chews-but-which-does-not-consume-or-simply-hot-between-worlds,9,Yves Tumor,"Praise A Lord Who Chews But Which Does Not Consume; 
            
              (Warp Records)","Yves Tumor

              —
              Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)
            
              (Warp Records)","Or Simply, Hot Between Worlds","Yves Tumor's voice sounds fully evolved on 'Praise A Lord...', combining glam rock, R&B, '70s psych and tense electro pop to arrive on an earworm-heavy hybrid that's wholly their own.

When Yves Tumor pivoted from bumpy PAN-cosigned sound collages to spiky, lavish pop it felt unexpected but prudent. Since 2018's 'Safe in the Hands of Love' they've played the de-facto frontperson, bringing a glamorous energy to their performances and augmenting their songs with the kind of sleaze that was... more",/products/praise-a-lord-who-chews-but-which-does-not-consume-or-simply-hot-between-worlds,https://assets.boomkat.com/spree/products/866268/product/5056614703887_T13_Image.jpg,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
9,searchandrescue,10,Drake,Search and Rescue,"Drake

            —
            Search and Rescue",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2462,Abena,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2462
