,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,ne-lepj-a-viragra,1,Adela Mede,Ne Lépj a Virágra,"Adela Mede

              —
              Ne Lépj a Virágra
            
              (Warm Winters Ltd.)",Warm Winters Ltd.,"Translating to ""don't step on the flower"", Bratislava-based Adela Mede's sophomore album is a deftly experimental celebration of language and Central European folklore, featuring collaborations with Martyna Basta and Wojciech Rusin.

On the liner notes for her debut 'Szabadság', Mede admitted that she was searching for meaning. With 'Ne Lépj a Virágra' she's found her rhythm and become more confident in her identity, singing in three languages (Hungarian, Slovakian and... more",/products/ne-lepj-a-viragra,https://assets.boomkat.com/spree/products/905474/product/5050580811980.jpg,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
1,dje,2,Chuquimamani-Condori,DJ E,"Chuquimamani-Condori

            —
            DJ E",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
2,hyperdawn-39f29cbe-eed6-422f-bafb-01cd7a1b6f5f,3,Hyperdawn,Steady,"Hyperdawn

              —
              Steady
            
              (Them There Records)",Them There Records,"Right at the intersection of HTRK’s lilting heartbreak, Tirzah’s soul diffractions and Tricky’s Pre Millennial tension, Manchester's Hyperdawn aka Vitalija Glovackytė and Michael Cutting arrive with a hugely satisfying new album, a boldly experimental slice of asymmetric cybeR&B laced with slippery vocal hooks x vibe-shifted, concrète production.

We begin with a gorgeous, minimal turn on 'Say it so', playing with loose vocals smeared over a lucid canvas until it all starts to glitch erratically over... more",/products/hyperdawn-39f29cbe-eed6-422f-bafb-01cd7a1b6f5f,https://assets.boomkat.com/spree/products/916377/product/196922577246-2_Tip23.jpg,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
3,themelancholyofresistancebook,4,László Krasznahorkai,The Melancholy of Resistance (book),"László Krasznahorkai

            —
            The Melancholy of Resistance (book)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
4,slowly-forgetting-barely-remembering,5,Martyna Basta,"Slowly Forgetting, Barely Remembering","Martyna Basta

              —
              Slowly Forgetting, Barely Remembering
            
              (Warm Winters Ltd.)",Warm Winters Ltd.,"Microtonal zither twangs, off-world vocals and k-hole sonic wonders characterise Martyna Basta's brilliant second album, a crepuscular muddle of improvisations and granular invocations.

Martyna Basta's 'Making Eye Contact With Solitude' took us by surprise, demolishing the borders between electro-acoustic experimentation, wyrd folk and ambient music by infusing scholarly expertise with raw, unbounded passion. Its followup pushes even deeper into the unknown, crumpling real-world... more",/products/slowly-forgetting-barely-remembering,https://assets.boomkat.com/spree/products/916381/product/5050580799516_Tip23.jpg,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
5,stilllife,6,Mija Milovic,Still Life,"Mija Milovic

            —
            Still Life",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
6,peach-blossom-333390a5-d181-4b9d-b6c4-41a7b9669f62,7,Piotr Kurek,Peach Blossom,"Piotr Kurek

              —
              Peach Blossom
            
              (Mondoj)",Mondoj,"Piotr Kurek scientifically examines the human voice on 'Peach Blossom', extracting and galvanizing rare textures and tones and pairing them with inverted jazz and post-TikTok renaissance music, basically taking choral/early music and adding autotune. Mad, uncomporomising brilliance - essential listening if yr into Wojciech Rusin, James Ferraro, Elysia Crampton.

The intersection of theater and contemporary music is a precarious one. All too often, artists keep themselves at arm's length... more",/products/peach-blossom-333390a5-d181-4b9d-b6c4-41a7b9669f62,https://assets.boomkat.com/spree/products/858034/product/MONDOJ21_Cover.jpg,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
7,el-mosameh-sherine,8,QOW,El Mosameh Sherine,"QOW

              —
              El Mosameh Sherine
            
              (irsh)",irsh,"Qow does for Egyptian singer Sherine Abdel-Wahab what Romance did for Celine Dion, or Florian TM Zeisig with Enya, in the vicarious heartache of their lush debut suite with Cairo’s irsh label

Chasing up irsh’s Cairene showcases studded with cuts by 1127, ZULI, ABADIR, Kareem Lotfy, 3Phaz, and many more, Qow’s dissection and reassembly of works by Egyptian singer Sherine Abdel-Wahab manifests the label’s first original artist release. It is presented as a sort of unanswered call and... more",/products/el-mosameh-sherine,https://assets.boomkat.com/spree/products/916930/product/5056688810337_T14_Image.jpg,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
8,symposium-musicum,9,Symposium Musicum,Symposium Musicum,"Symposium Musicum

              —
              Symposium Musicum
            
              (Mappa Editions)",Mappa Editions,"A study of Slovakia's Romani community, Symposium Musicum is a bold collage of field recordings, interviews and deconstructed sound design that should appeal to anyone into Discrepant, Sublime Frequencies or Ash International.

'Symposium Musicum' is an almost inscrutable proposition: conceptually dense and sonically jagged material that not only requires attention but multiple listens to unspool its tangled mass of ideas and themes. Masterminded by Elia Moretti and Marika... more",/products/symposium-musicum,https://assets.boomkat.com/spree/products/872047/product/880918262550.jpg,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
9,trip9love,10,TIRZAH,trip9love...???,"TIRZAH

              —
              trip9love...???
            
              (Domino Recording Co)",Domino Recording Co,"Perfection from Tirzah once again with perhaps her most loosely structured and hard hitting album to date, as usual produced by Mica Levi, whose chaotic but deeply schooled energy elevates the material here to genuinely all-timer status, using weirdo reverb and doubled up vocal phasing to turn simple hooks into screwed and unforgettable earworms, surrounded by compressed, almost clipped rhythms (the same beat on every track 🤯) stretched over lilting piano motifs that’ll have u... more",/products/trip9love,https://assets.boomkat.com/spree/products/916504/product/887828051465_T12_Image_Tip23.jpg,2387,Adam Badí Donoval,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2387
