,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,forpalestine,1,Various Artists / Paralaxe Editions,For Palestine,"Various Artists / Paralaxe Editions

            —
            For Palestine",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
1,dje,2,Chuquimamani-Condori,DJ E,"Chuquimamani-Condori

            —
            DJ E",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
2,solo-for-tamburium,3,CATHERINE CHRISTER HENNIX,Solo for Tamburium,"CATHERINE CHRISTER HENNIX

              —
              Solo for Tamburium
            
              (Blank Forms Editions)",Blank Forms Editions,"Pure ecstasy from a recently departed deity: 78 minutes of ineffably blissful, deferred drone gratification of thee highest order. Massive RIYL Pandit Pran Nath, La Monte Young, Alice Coltrane, Angus MacLise, Tony Conrad, being human

Writing thru tears of joy here, ‘cos ’Solo for Tamburium’ has just turned us to a vibrating mass of mush. Taken from a 2017 performance at MaerzMusik in Berlin, the piece is perhaps the most intimately generous, radiant manifestation of C.C. Hennix’s devotion to her... more",/products/solo-for-tamburium,https://assets.boomkat.com/spree/products/916558/product/stars_Tip23.jpg,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
3,poverty-d25d538e-3139-40a0-bcd1-7d67ca1c3cfc,4,JEFRE CANTU-LEDESMA,Poverty,"JEFRE CANTU-LEDESMA

              —
              Poverty
            
              (Disfold)",Disfold,"Jefre Cantu-Ledesma ventures into a radically discombobulated new sound with a staggering first solo album in four years - a huge RIYL Huerco via Actress. 

Since the turn of the millennium Jefre been instrumental in re-shaping the tone and spirit of the OG shoegaze template via his influential Root Strata imprint, his solo recordings and releases as part of Tarentel and The Alps, collaborations with Liz Harris (aka Grouper) as Raum, and a pair of albums with Félicia Atkinson for Shelter... more",/products/poverty-d25d538e-3139-40a0-bcd1-7d67ca1c3cfc,https://assets.boomkat.com/spree/products/860680/product/sssssover.jpg,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
4,crve,5,Ronce,Crève,"Ronce

            —
            Crève",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
5,trust-8a66d920-1df1-4721-b97b-c001ddc4d6f7,6,Theodore Cale Schafer,Trust,"Theodore Cale Schafer

              —
              Trust
            
              (STUDENTS OF DECAY)",STUDENTS OF DECAY,"Ambient/neo-classical shapeshifter Theodore Cale Schafer comes into their own on a sublime, instrumentally diaristic album strafing textured ambient noise to widescreen, rustic scapes that feel nostalgic yet tentatively optimistic, each riddled by a fleeting play of emotions comparable to works from his collaborators, claire rousay, Angelo Harmsworth, or picnic, as much as Sean McCann or Ian William Craig

“The second album in a planned trilogy for Students of Decay, Theodore Cale... more",/products/trust-8a66d920-1df1-4721-b97b-c001ddc4d6f7,https://assets.boomkat.com/spree/products/874292/product/880918261003.jpg,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
6,tutto-a-posto-niente-in-ordine,7,Various Artists,Tutto a Posto Niente in Ordine,"Various Artists

              —
              Tutto a Posto Niente in Ordine
            
              (NASHAZPHONE)",NASHAZPHONE,"Nashazphone offers up a vital picture of the contemporary Italian electroacoustic and musique concrete tape scene, featuring tracks from Valerio Tricoli, SEC_, Giovanni Lami, kNN, Mercury Hall, and others. 

Italians have always been able to season their musical output with something ineffable that speaks to the region's lengthy artistic history. Their relationship with electroacoustic music is no different, and it's hardly surprising that this new compilation from Hicham Chadly's excellent... more",/products/tutto-a-posto-niente-in-ordine,https://assets.boomkat.com/spree/products/853164/product/NP-45_Cover.jpg,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
7,dawnsimulation,8,Death Kneel,Dawn Simulation,"Death Kneel

            —
            Dawn Simulation",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
8,rhizomes-3b3f0e51-99de-46e0-a854-4866471faea1,9,Aho Ssan,Rhizomes,"Aho Ssan

              —
              Rhizomes
            
              (Other People)",Other People,"Aho Ssan debuts on Other People with second solo album and book ‘Rhizomes’ featuring Nicolás Jaar, Moor Mother, Angel Bat Dawid, clipping., Blackhaine, Resina, 9T Antiope, James Ginzburg, Mondkopf and more.

Niamké Désiré to the feds, the artist aka Aho Ssan arrives at 2nd LP ‘Rhizomes’, for Nicolas Jaar’s Other People, via an acclaimed 2020 debut album on Subtext and the ‘Limen’ collab with KMRU, both of which built on a strong reputation fostered in the Parisian underground, and... more",/products/rhizomes-3b3f0e51-99de-46e0-a854-4866471faea1,https://assets.boomkat.com/spree/products/902687/product/197189409493.jpg,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
9,fading-farther-from-me,10,Felisha Ledesma,Fading Farther From Me,"Felisha Ledesma

              —
              Fading Farther From Me
            
              (Ecstatic)",Ecstatic,"Fantastically absorbing and beautifully abstract rumination on the nature of entropy and health by Felisha Ledesma, an elegiac self-portrait that’s gauzily etched in textural memory residues of scrambled emotions and infrasonic dread, tipped if yr into anything from Lawrence English and Demdike Stare to claire rousay.

‘Fading Farther From Me’ sensitively stitches a fine-picked palette of silvery hazed field and vocal recordings with original synthesis to convey an elusive, non-linear sense... more",/products/fading-farther-from-me,https://assets.boomkat.com/spree/products/909372/product/ELP082_Cover.jpg,2436,Angelo Harmsworth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2436
