,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,holes-of-sinian,1,33EMYBW,Holes of Sinian,"33EMYBW

              —
              Holes of Sinian
            
              (SVBKVLT)",SVBKVLT,"One of the most fascinating contemporary artists from China, 33EMYBW is joined by Batu, Marina Herlop, and more on a keenly anticipated 4th album typically teeming with unusual rhythm programming and insectoid electronic detail for Shanghai via Manchester’s SVBKVLT label - RIYL Jlin, Gooooose, Gabber Modus Operandi, Slikback

At the end of the 2010s, Wu Shanmin’s trio of 2018-2019 albums as 33EMYBW felt like a genuinely fresh new mutation of club and electronic music not beholden... more",/products/holes-of-sinian,https://assets.boomkat.com/spree/products/903036/product/5056688811037_T13_Image.jpg,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
1,live-9a1e6c1a-73d1-44b8-a9c1-8dc8bf7a203a,2,Eli Keszler,LIVE,"Eli Keszler

              —
              LIVE
            
              (LUCKYME®)",LUCKYME®,"Virtuoso percussionist turned film score composer Eli Keszler demonstrates hypnotic tekkerz on live recordings made in Barcelona and Manhattan - RIYL 0PN, Valentina Magaletti, Christos Chondropoulos

Most recently spotted on Skrillex’s ‘Quest For Fire’ album and scoring Alex Lee Moyer’s film ‘Alex’s War’, Eli Keszler is arguably among his generation’s preeminent percussionists, renowned for an exquisite grasp of seat-edge rhythmic anticipation and proprioceptive qualities. ‘Live... more",/products/live-9a1e6c1a-73d1-44b8-a9c1-8dc8bf7a203a,https://assets.boomkat.com/spree/products/872774/product/5056614706215_T14_Image.jpg,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
2,weld,3,Kinlaw,WELD,"Kinlaw

            —
            WELD",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
3,yallah-beibe,4,MC Yallah,Yallah Beibe,"MC Yallah

              —
              Yallah Beibe
            
              (Hakuna Kulala)",Hakuna Kulala,"Kenyan/Ugandan rapper MC Yallah's second album reunites her with French producer Debmaster, Congolese beatmaker Chrisman and Japanese icon Scotch Rolex. Cyber-rap? Bring it on.

MC Yallah was in the middle of touring her debut album ""Kubali"" when she was grounded due to lockdown. Her response was to head to the Nyege villa in Kampala and begin piecing together a sophomore album. What else to expect from a performer who has already seemingly lived multiple lives and been... more",/products/yallah-beibe,https://assets.boomkat.com/spree/products/857171/product/768558900691.jpg,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
4,we-cater-to-cowards,5,OOZING WOUND,We Cater To Cowards,"OOZING WOUND

              —
              We Cater To Cowards
            
              (Thrill Jockey)",Thrill Jockey,"Screamo post-hardcore, grunge, sludge and mathier rock flex from Chicago trio Oozing Wound - RIYL Nirvana, TAD, bad Drugs

“Oozing Wound are both a subversive force in heavy music and key players in Chicago’s vibrant DIY warehouse scene. Their albums gleefully defy categorisation, delighting in contradictions and delivered with self-aware humor that sets them apart from their peers. No one is safe from their scathing gaze, not even themselves. Self-described as “a rock-band wolf in metal... more",/products/we-cater-to-cowards,https://assets.boomkat.com/spree/products/855023/product/567_1600_300dpi.jpg,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
5,el-mosameh-sherine,6,QOW,El Mosameh Sherine,"QOW

              —
              El Mosameh Sherine
            
              (irsh)",irsh,"Qow does for Egyptian singer Sherine Abdel-Wahab what Romance did for Celine Dion, or Florian TM Zeisig with Enya, in the vicarious heartache of their lush debut suite with Cairo’s irsh label

Chasing up irsh’s Cairene showcases studded with cuts by 1127, ZULI, ABADIR, Kareem Lotfy, 3Phaz, and many more, Qow’s dissection and reassembly of works by Egyptian singer Sherine Abdel-Wahab manifests the label’s first original artist release. It is presented as a sort of unanswered call and... more",/products/el-mosameh-sherine,https://assets.boomkat.com/spree/products/916930/product/5056688810337_T14_Image.jpg,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
6,chasing-stateless,7,Saint Abdullah & Eomac,Chasing Stateless,"Saint Abdullah & Eomac

              —
              Chasing Stateless
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Coming hot on the heels of the excellent 'A Vow Not To Read', 'Chasing Stateless' is the most complete example yet of Saint Abdullah & Eomac's erratic fusion of complex percussion and haunted Iranian vocals. Where else might you find manic, distorted gabber blended with ritual chants? Proper good, this one.

Mohammad and Mehdi Mehrabani (aka Saint Abdullah) and Ian McDonnell (aka Eomac) have had a prolific working relationshp already. Working long distance, they've found a workflow... more",/products/chasing-stateless,https://assets.boomkat.com/spree/products/891604/product/5056321682451_T12_Image.jpg,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
7,2222-and-airport,8,Shit And Shine,2222 and AIRPORT,"Shit And Shine

              —
              2222 and AIRPORT
            
              (The state51 Conspiracy)",The state51 Conspiracy,"Industrial cowboy $&$ goes ham on a batch of body-gurning oddities 

‘2222 and AIRPORT’ manifests a touring artist’s gripes about international travel in a baker’s dozen gobs of distended techno and slurred swag typically peppered with gonzo recordings of UK and US oiks. This is some of $hit & $hine’s slipperiest, wriggling out of any descriptive lassos on a joyride between the squashed step of ‘Swiss’ recalling NHK and glitchy Planet Mu, thru to the baked electro-dub abstraction ‘Dirt Bike’ and... more",/products/2222-and-airport,https://assets.boomkat.com/spree/products/869381/product/A10341T0000062Y8LZ_T95516874650054.jpg,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
8,germs-in-a-population-of-buildings,9,upsammy,Germ in a Population of Buildings,"upsammy

              —
              Germ in a Population of Buildings
            
              (PAN)",PAN,"The playfully warped spirit of ‘90s electronica lives on in upsammy’s organically harmonious constructions for PAN, upscaling the nimble melodic IDM of Aleksi Perälä, AFX and Matmos into lively, obsessively-tweaked impressions that harmonise with recent blips from Objekt or the Timedance crew.

In the three years since her last album ‘Zoom’, Thessa Torsing has applied studies in landscape architecture to her musical practice, considering the confounding makeup of the cities and towns... more",/products/germs-in-a-population-of-buildings,https://assets.boomkat.com/spree/products/859288/product/617308048650.jpg,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
9,digla-dive-live,10,ZULI,Digla Dive - Live,"ZULI

              —
              Digla Dive - Live
            
              (NASHAZPHONE)",NASHAZPHONE,"ZULI deploys unflinching atom-smashing tekkerz on the peerless Nashazphone in a noisy dervish of drill ’n breakcore x improv electronics featuring Elvin Brandhi & Karim El Ghazoly.

ZULI has built a fierce reputation via releases on Haunter and Lee Gamble’s UIQ, including Wire magazine’s #2 AOTY in 2018, ‘Terminal’, and more recently the ‘One’ album in 2020 for our Documenting Sound series. In 2019, his keenly observed progress was curtailed by the robbery of his laptop and live... more",/products/digla-dive-live,https://assets.boomkat.com/spree/products/853246/product/NP-44_Cover.jpg,2253,Assyouti,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2253
