,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,anhonestmealequiknoxxmusic,1,Unkle G,an honest meal (Equiknoxx Music),"Unkle G

            —
            an honest meal (Equiknoxx Music)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
1,supernova-93e8d0dc-d555-46fc-8c81-3c8afc5e15c1,2,Ikonika x 45Diboss,Supernova,"Ikonika x 45Diboss

              —
              Supernova
            
              (Night Slugs)",Night Slugs,"Ikonika's album-length collab with dancehall vocalist 45Diboss is her most essential set in ages, fluxing dextrous electro synthwork with fwd-thinking trap, amapiano and chop variations. Tip!

A gifted DJ as well as an elite producer, Ikonika's been an important part of the Hyperdub family for over a decade, blurring the lines between British bass music and the rest of the world's parallel club subgenres. 'Supernova' feels like it's been a long time coming, and in 45Diboss she's found an ideal... more",/products/supernova-93e8d0dc-d555-46fc-8c81-3c8afc5e15c1,https://assets.boomkat.com/spree/products/856161/product/8718723219846.jpg,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
2,macheteclubromantico,3,"Manuka Honey, Florentino",Machete (Club Romantico),"Manuka Honey, Florentino

            —
            Machete (Club Romantico)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
3,ile-ife-1b1af649-8995-46ce-80b3-742f3640f28d,4,Nick Deane,Ilė Ifè,"Nick Deane

              —
              Ilė Ifè
            
              (Equiknoxx Music)",Equiknoxx Music,"Effusive, conscious dancehall soul and ska from Nick Deane, debuting under his own name after years as Bobby Blackbird and 1/5 of crack Kingston production squad Equiknoxx.

“EM28 was recorded in Kingston & St. Ann, Jamaica. It is the solo debut vocal EP project of ‘Equiknoxx’ member, Nick Deane formerly Bobby Blackbird. Deane, from his recording locations in Kingston and St. Ann takes us on a journey to Ilė Ifẹ̀, an ancient Yoruba city. ”Look At My Skin” sees him time traveling to the... more",/products/ile-ife-1b1af649-8995-46ce-80b3-742f3640f28d,https://assets.boomkat.com/spree/products/858525/product/cover.jpg,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
4,tinakyamiworldentertainment,5,iamkyami,tina (Kyami World Entertainment),"iamkyami

            —
            tina (Kyami World Entertainment)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
5,goodfoodepsoulectionrecords,6,Hagan,Good Food EP (Soulection Records),"Hagan

            —
            Good Food EP (Soulection Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
6,tactiliakindergartenrecords,7,Ayesha,Tactilia (Kindergarten Records),"Ayesha

            —
            Tactilia (Kindergarten Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
7,gazapactv,8,Workrate,Gaza (pac tv),"Workrate

            —
            Gaza (pac tv)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
8,dayliteeglorecords,9,Chunky,Daylite (Eglo Records),"Chunky

            —
            Daylite (Eglo Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
9,loveinexilevervelabelgroup,10,"Arooj Aftab, Vijay Iyer, Shahzad Ismaily",Love in Exile (Verve Label Group),"Arooj Aftab, Vijay Iyer, Shahzad Ismaily

            —
            Love in Exile (Verve Label Group)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2331,Balraj Samrai,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2331
