,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,we-buy-diabetic-test-strips,1,Armand Hammer,We Buy Diabetic Test Strips,"Armand Hammer

              —
              We Buy Diabetic Test Strips
            
              (Fat Possum)",Fat Possum,"A big look for Company Flow and MF Doom heads; cult NYC rap duo Armand Hammer aka billy woods and ELUCID come slow, dark and heavy on productions by JPEGMAFIA, EL-P, Kenny Segal, Black Noi$e, Preservation, DJ Haram, Child Actor, Sebb Bash, August Fanon, and more

After a couple of years focussed on solo albums after 2021’s ‘Haram’ album with The Alchemist, billy woods and ELUCID reprise Armand Hammer with a clear hunger on ‘We Buy Diabetic Test Strips’. As their... more",/products/we-buy-diabetic-test-strips,https://assets.boomkat.com/spree/products/901073/product/197188925642.jpg,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
1,mapsbackwoodzstudioz,2,Billy Woods / Kenny Segal,Maps (Backwoodz Studioz),"Billy Woods / Kenny Segal

            —
            Maps (Backwoodz Studioz)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
2,neither-curve-nor-edge,3,Carrier,Neither Curve Nor Edge,"Carrier

              —
              Neither Curve Nor Edge
            
              (Carrier)",Carrier,"100% killer, woodcut and smoked-out halfstep pressure by a UK producer beloved for work in myriad modes of D&B, techno, and greyscale noise - RIYL T++, Burial, E-Saggila, Felix K

Carrier is the new alias of Guy Brewer, whose bleak techno as Shifted, and grittier noise functions as Covered in Sand, have been keenly in step with experimental club mutations over the past decade. His new EP ‘Neither Curve Nor Edge’ builds on a preliminary TTT session in ’23 with a more deliberate... more",/products/neither-curve-nor-edge,https://assets.boomkat.com/spree/products/907833/product/8718723234009.jpg,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
3,muito-sol,4,Ricardo Dias Gomes,Muito Sol,"Ricardo Dias Gomes

              —
              Muito Sol
            
              (Hive Mind Records)",Hive Mind Records,"The third album from Brazilian auteur and Caetano Veloso collaborator Ricardo Dias Gomes is sunny, psychedelic and celebratory, focused on Gomes' dreamy voice and lilting samba rhythms.

Recorded after Gomes relocated from Rio de Janeiro to Lisbon, 'Muito Sol' is the veteran performer's most experimental album yet, interspersing its songs with bubbling modular freakouts and doomy, distorted drones. The record was put together with an incredible cast of players, including Jeremy Gustin... more",/products/muito-sol,https://assets.boomkat.com/spree/products/916515/product/ricardo_Tip23.jpg,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
4,breakfromrealityovershadow,5,DJ Trax,Break From Reality (Over/Shadow),"DJ Trax

            —
            Break From Reality (Over/Shadow)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
5,heavengoldforeverlivingoriginals,6,Cleo Sol,Heaven/Gold (Forever Living Originals),"Cleo Sol

            —
            Heaven/Gold (Forever Living Originals)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
6,vortices-12740d21-9e98-4075-95b0-cdf2f7e9e890,7,SDEM,Vortices,"SDEM

              —
              Vortices
            
              (Skam Records)",Skam Records,"Skam return with an ear-crushing set from SDEM of hand-crafted topographies that drill down somewhere between latter-day Autechre, Renick Bell, Shapednoise and Ekoplekz. 

A quick peek at SDEM's Bandcamp page rolls out a slew of releases for his own Meds label, CPU, Superpang and Opal Tapes, all of which lay down his idiosyncratic jerky sonics - a finely-tweaked fusion of electro, musique concréte and experimental improv. 'Vortices' is the first SDEM record to appear on Skam... more",/products/vortices-12740d21-9e98-4075-95b0-cdf2f7e9e890,https://assets.boomkat.com/spree/products/884196/product/8718723228213.jpg,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
7,exit-simulation,8,Niecy Blues,Exit Simulation,"Niecy Blues

              —
              Exit Simulation
            
              (Kranky)",Kranky,"‘Exit Simulation’ is the startling debut from South Carolina's Heather Sinclair aka Niecy Blues, who makes a dramatic entrance using the language of ambient, trip-hop and dream pop to ink her own signature on gospel, R&B and melancholy soul. One of the most convincing debut albums in recent memory, consider it essential listening if you're into KeiyaA, Grouper, Erykah Badu, Dawuna, or Kelela.

Sinclair spent her childhood in the confines of a religious cult in Oklahoma, and on 'Exit... more",/products/exit-simulation,https://assets.boomkat.com/spree/products/916478/product/Niecy-Blues_Tip23.jpg,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
8,memotone-ep,9,Memotone,Memotone EP,"Memotone

              —
              Memotone EP
            
              (Sähkö Recordings)",Sähkö Recordings,"Slow-burn, noirish jazz psychedelia from William Yates’ on a deliciously groggy Sähkö debut full of Laswellian wonder.

A respected producer of electronic/ambient experiments since start of the 2010s, Bristol’s Memotone has really come into his own in recent years with a string of albums on his Memorecs, plus Accidental Meeting and Industrial Coast, that nestle his most discreet and personalised work. The quietly seductive jazz/ambient stirrings of the ‘Memotone’ EP is an exemplar of a... more",/products/memotone-ep,https://assets.boomkat.com/spree/products/870757/product/5050580805989.jpg,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
9,motor-murk,10,X-Altera,Motor Murk,"X-Altera

              —
              Motor Murk
            
              (Bopside Records)",Bopside Records,,/products/motor-murk,https://assets.boomkat.com/spree/products/882597/product/5050580808478.jpg,2410,Ben Morris,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2410
