,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,departureswonderstears,1,Florence Sinclair,"departures, wonders & tears","Florence Sinclair

            —
            departures, wonders & tears",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
1,newbluesun,2,André 3000,New Blue Sun,"André 3000

            —
            New Blue Sun",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
2,letsstarthere,3,Lil Yachty,Let’s Start Here,"Lil Yachty

            —
            Let’s Start Here",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
3,the-heart-of-the-anchoress,4,Bianca Scout,The Heart of the Anchoress,"Bianca Scout

              —
              The Heart of the Anchoress
            
              (First Terrace Records)",First Terrace Records,"Bianca Scout follows collaborations with Space Afrika, Ben Vince, and Elena Isolini with a spellbinding new album of hypnagogic aether-pop, blunted after-hours ambience, and chopped-n-screwed sacred music - highly recommended if yr into Grouper, Empress, Teresa Winter or Eartheater.

'The Heart of the Anchoress' twists diaristic recordings into a dissociated long-form narrative interspersed with spiralling lullabies and clipped rhythms weaving around the famous pipe organ at... more",/products/the-heart-of-the-anchoress,https://assets.boomkat.com/spree/products/916409/product/biance_scout_Tip23.jpg,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
4,sos,5,SZA,SOS,"SZA

            —
            SOS",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
5,techxodus,6,Speaker Music,Techxodus,"Speaker Music

              —
              Techxodus
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Deforrest Brown Jr. returns with 'Techxodus', a free-jazz inspired collision of jittery beatbox rhythms, Drexciyan synth tones and giddy voidwork that shuttles Black music into the cosmos. 

""Black music that sounds technological, rather than music made with technology,"" Brown Jr. states in the opening seconds of 'D.T.A.W.O. (Deprogramming the Atonist World Order)'. At this stage in his career, the Alabama-born theorist, author and self-styled rhythmanalyst has already established... more",/products/techxodus,https://assets.boomkat.com/spree/products/883206/product/5056321682475_T10_Image.jpg,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
6,everythingisheavyrain,7,Jb glazer,Everything Is Heavy Rain,"Jb glazer

            —
            Everything Is Heavy Rain",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
7,a-grisaille-wedding,8,Rainy Miller & Space Afrika,A Grisaille Wedding,"Rainy Miller & Space Afrika

              —
              A Grisaille Wedding
            
              (Fixed Abode)",Fixed Abode,"Space Afrika and Rainy Miller mesh traces of burnt trip-hop, concrète ambience and industrialised drill on their debut collaborative full-length, offering an idiosyncratic, historically seasoned silhouette of the urban sprawl. Featuring Voice Actor, Mica Levi, Iceboy Violet, Coby Sey, Richie Culver, RenzNiro and bobbieorkid.

Preston's Rainy Miller and Manchester-Berlin duo Space Afrika have long circled each other, so it was inevitable that their sounds would collide at some point. And they took the... more",/products/a-grisaille-wedding,https://assets.boomkat.com/spree/products/908183/product/cover.jpg,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
8,we-buy-diabetic-test-strips,9,Armand Hammer,We Buy Diabetic Test Strips,"Armand Hammer

              —
              We Buy Diabetic Test Strips
            
              (Fat Possum)",Fat Possum,"A big look for Company Flow and MF Doom heads; cult NYC rap duo Armand Hammer aka billy woods and ELUCID come slow, dark and heavy on productions by JPEGMAFIA, EL-P, Kenny Segal, Black Noi$e, Preservation, DJ Haram, Child Actor, Sebb Bash, August Fanon, and more

After a couple of years focussed on solo albums after 2021’s ‘Haram’ album with The Alchemist, billy woods and ELUCID reprise Armand Hammer with a clear hunger on ‘We Buy Diabetic Test Strips’. As their... more",/products/we-buy-diabetic-test-strips,https://assets.boomkat.com/spree/products/901073/product/197188925642.jpg,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
9,touched-by-an-angel,10,Klein,Touched By An Angel,"Klein

              —
              Touched By An Angel
            
              (Parkwuud Entertainment)",Parkwuud Entertainment,"Preeminent avant-R&B mutator Klein spirals into free jazz gospel synth mode on a 93 minute magnum opus - proper AOTY level material - gelling tripped out synths and a haul of personal recordings in a breathtaking elevation of an already unique sound - masterful work for fans of Actress, Laurel Halo, Elysia Crampton/E+E, Mica Levi, Leyland Kirby, Dubplate Drama and the early era of Pixar x disney collabs.

Once again leaving everyone for dust, Klein sends us reeling in space with (by our... more",/products/touched-by-an-angel,https://assets.boomkat.com/spree/products/918340/product/klein_tip.jpg,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
10,blooming,11,Donna Candy,Blooming,"Donna Candy

            —
            Blooming",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
11,burning-desire-5643546d-db72-418c-9114-de91707e9458,12,Mike,Burning Desire,"Mike

              —
              Burning Desire
            
              (10k)",10k,,/products/burning-desire-5643546d-db72-418c-9114-de91707e9458,https://assets.boomkat.com/spree/products/905697/product/5056614708387_T25_Image.jpg,2215,Ben Vince,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2215
