,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,languoria,1,Sofie Birch & Antonina Nowacka,Languoria,"Sofie Birch & Antonina Nowacka

              —
              Languoria
            
              (Mondoj)",Mondoj,"Polish experimental vocalist Antonina Nowacka teams up with Danish sound artist Sofie Birch to engineer a dreamworld that's part Cucina Povera, part Stroom, part Leila, part Blade Runner.. Gorgeous, ghostly sci-fi folk abstraction.

'Langouria' emerged from an impromptu collaboration at Unsound's Emphemera Festival. Sofie Birch and Antonina Nowacka hadn't performed together before, but their improvisation felt natural - Birch's low-key ambient expressions provided the perfect backdrop... more",/products/languoria,https://assets.boomkat.com/spree/products/834308/product/5050580792036.jpg,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
1,so-you-betrayed-the-creative-arts-for-your-own-personal-ends,2,Mark,So You Betrayed The Creative Arts For Your Own Personal Ends,"Mark

              —
              So You Betrayed The Creative Arts For Your Own Personal Ends
            
              (A Colourful Storm)",A Colourful Storm,"D&B prism-pusher Mark goes on like Parmegiani-meets-Source Direct at Valentina Magaletti’s gaff in the Berlin artist’s baddest, noirish breakbeat experiments to date.

Chasing up a split with Christoph De Babalon and mixtape pack with Good News, Nina & Moopie on ACS/V I S, the barbed title of ‘So You Betrayed The Creative Arts For Your Own Personal Ends’ signifies a sharpening of tools and ideas. 

It’s been a few years since Mark’s previous releases for A Colourful Storm, Berghain’s... more",/products/so-you-betrayed-the-creative-arts-for-your-own-personal-ends,https://assets.boomkat.com/spree/products/857918/product/4251804156684_2500.jpg,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
2,absentoperakoolpop,3,Ślepcy,Absent Opera (kool.POP),"Ślepcy

            —
            Absent Opera (kool.POP)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
3,skagerrakwalterulbrichtschallfolien,4,Werkbund,Skagerrak (Walter Ulbricht Schallfolien),"Werkbund

            —
            Skagerrak (Walter Ulbricht Schallfolien)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
4,redwrathremasteredselfreleased,5,death of codes,Red Wrath: Remastered (self-released),"death of codes

            —
            Red Wrath: Remastered (self-released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
5,risalaminshahedayanselfreleased,6,Ain Horus,Risala Min Shahed Ayan (self-released),"Ain Horus

            —
            Risala Min Shahed Ayan (self-released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
6,tropical-malaise,7,Wilted Woman,TROPICAL MALAISE,"Wilted Woman

              —
              TROPICAL MALAISE
            
              (Psychic Liberation)",Psychic Liberation,"Berlin’s Wilted Woman makes her machines squeal in a crisp cut, spaced-out, but harshly upfront soundtrack for a speculative film set in Miami

Articulated in a sensitively brute electronic style familiar to her label boss and collaborator Nick Klein, Wilted Woman’s soundtrack for ‘Tropical Malaise’ summons a sense of needling paranoia and dread tension in pronged arps and shatterproof tones that bend from glassy bell tones to filling-dislodging dissonance and curdled silicon.

As more... more",/products/tropical-malaise,https://assets.boomkat.com/spree/products/678414/product/a3640736226_10.jpg,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
7,peach-blossom-333390a5-d181-4b9d-b6c4-41a7b9669f62,8,Piotr Kurek,Peach Blossom,"Piotr Kurek

              —
              Peach Blossom
            
              (Mondoj)",Mondoj,"Piotr Kurek scientifically examines the human voice on 'Peach Blossom', extracting and galvanizing rare textures and tones and pairing them with inverted jazz and post-TikTok renaissance music, basically taking choral/early music and adding autotune. Mad, uncomporomising brilliance - essential listening if yr into Wojciech Rusin, James Ferraro, Elysia Crampton.

The intersection of theater and contemporary music is a precarious one. All too often, artists keep themselves at arm's length... more",/products/peach-blossom-333390a5-d181-4b9d-b6c4-41a7b9669f62,https://assets.boomkat.com/spree/products/858034/product/MONDOJ21_Cover.jpg,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
8,vertigovertigo,9,Gade System,Vertigo (Vertigo),"Gade System

            —
            Vertigo (Vertigo)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
9,blueblue-a77d8f67-077b-4f43-9c41-e2cbfadb9867,10,Sam Gendel,blueblue,"Sam Gendel

              —
              blueblue
            
              (Leaving Records)",Leaving Records,"Contemporary jazz maestro Sam Gendel calmly runs rings around its myriad forms with a modal, fusion flair underpinned by expert brushwork and nifty edits from percussionist Craig Weinrib.

“blueblue is the latest full-length from multi-instrumentalist and all-around vibe wizard, Sam Gendel. The record, out October 14 via Leaving Records, is a concise, tightly wound song suite whose 14 tracks each correspond to a pattern within sashiko, a traditional style of Japanese embroidery. This... more",/products/blueblue-a77d8f67-077b-4f43-9c41-e2cbfadb9867,https://assets.boomkat.com/spree/products/831697/product/669158569168.jpg,2382,Christoph de Babalon,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2382
