,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,fleur-de-chagrin,1,Le Diable Degoutant,Fleur De Chagrin,"Le Diable Degoutant

              —
              Fleur De Chagrin 
            
              (Aguirre)",Aguirre,"Enchantingly oddball debut LP of psych-folksy dream cartography inspired by traditions of Brittany and beyond, from Pauline Marx (née La Fureur de Vouivre) as Le Diable Degoutant - RIYL Roxane Metayer, Oï Les Ox, Teresa Winter, Natural Snow Buildings

“Pauline Marx, formerly of the fantastic duo La Fureur de Vouivre, seems like a being from another time and place; namely, an escaped marauder lurking in the forests of a Bruegel painting and integrating the surreal flora and fauna of a... more",/products/fleur-de-chagrin,https://assets.boomkat.com/spree/products/853346/product/a2073070614_10.jpg,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
1,faetransitfolkloretapes,2,Sam McLoughlin,Fae Transit (Folklore Tapes),"Sam McLoughlin

            —
            Fae Transit (Folklore Tapes)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
2,starrow,3,Doctor Syn,S/T  (Arrow),"Doctor Syn

            —
            S/T  (Arrow)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
3,koularpubliquedesgranges,4,Kou,Kou (La République des Granges),"Kou

            —
            Kou (La République des Granges)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
4,dcbsmhoodfaire,5,Environmental Meditation Music,DCB+SM  (Hood Faire),"Environmental Meditation Music

            —
            DCB+SM  (Hood Faire)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
5,thelanddictatesthelayofthestoneearthmemoryrecords,6,OG Jigg,The Land Dictates the Lay of the Stone (Earth Memory Records),"OG Jigg

            —
            The Land Dictates the Lay of the Stone (Earth Memory Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
6,comethgoethsr,7,Bridget Hayden,Cometh Goeth (S/R),"Bridget Hayden

            —
            Cometh Goeth (S/R)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
7,mayvoliithanettapecentre,8,Arianne Churchman and Benedict Drew,May Vol.II (Thanet Tape Centre),"Arianne Churchman and Benedict Drew

            —
            May Vol.II (Thanet Tape Centre)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
8,morambmisr,9,Ell Sol and Strings,Mor amb mi (S/R),"Ell Sol and Strings

            —
            Mor amb mi (S/R)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
9,larksongfolkloretapes,10,,Larksong (Folklore Tapes),Larksong (Folklore Tapes),,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2417,David Chatton Barker,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2417
