,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,tuqoos,1,Julmud جُلْمود,Tuqoos | ط ُ ق ُ و س,"Julmud جُلْمود

            —
            Tuqoos | ط ُ ق ُ و س",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
1,sequel,2,Agnes Haus,Sequel,"Agnes Haus

            —
            Sequel",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
2,enoughmusic,3,bod [包家巷],enough music,"bod [包家巷]

            —
            enough music",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
3,badseeds,4,Wilted Woman,Bad Seeds,"Wilted Woman

            —
            Bad Seeds",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
4,acolytes,5,Acolytes,Acolytes,"Acolytes

              —
              Acolytes
            
              (Alter)",Alter,"Alter return with this album of brilliantly unclassifiable doings by London-based enigma D. Shan, aided and abetted by Vindicatrix and D. Bolger (ov The Pheromoans / The Bomber Jackets). 

In our mental chart of madness from these shores in 2014, this one is right up there, expanding upon the audness of his 'Known Nonsense' 7"" with a further delineation and deconstruction of eldritch avant-pop tropes. Comparisons could be made with Art Bears, the Cold Storage scene, The Residents and... more",/products/acolytes,https://assets.boomkat.com/spree/products/313760/product/889176245923_T16.jpg,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
5,laonda,6,Regal86,La Onda,"Regal86

            —
            La Onda",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
6,everlasting-love-vol-1,7,Ildsjel,"Everlasting Love, Vol. 1","Ildsjel

              —
              Everlasting Love, Vol. 1
            
              (Clan Destine Records)",Clan Destine Records,,/products/everlasting-love-vol-1,https://assets.boomkat.com/spree/products/873502/product/196922460845.jpg,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
7,merrygocreek,8,Sevy,Merry Go Creek,"Sevy

            —
            Merry Go Creek",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
8,lipakodiyacitycouncil,9,V.A.,Lipa Kodi Ya City Council,"V.A.

            —
            Lipa Kodi Ya City Council",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
9,notesfromunderground,10,The Arms of Someone New,Notes From Underground,"The Arms of Someone New

            —
            Notes From Underground",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2338,DEBONAIR,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2338
