,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,mares-96cdc230-1f0d-4c0e-8379-6a1604f05017,1,Annelies Monseré,Mares,"Annelies Monseré

              —
              Mares
            
              (Horn Of Plenty)",Horn Of Plenty,"Belgian introvert Annelies Monseré's folk experimentation has never sounded more vital than on 'Mares', an unusual, layered interrogation of trauma and memory explored via frothy, confident dirges that straddle court music, experimental minimalism, pulsing electronics and dreamlike drone. It sounds like a baroque-folk cousin to Broadcast’s ‘Tender Buttons’ - with all the goosebump-inducing goo the comparison entails.

For two decades now Monseré has been quietly issuing some of the... more",/products/mares-96cdc230-1f0d-4c0e-8379-6a1604f05017,https://assets.boomkat.com/spree/products/856331/product/a2745815858_10.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
1,etudes-du-metal-ortolan,2,ANDY VOTEL,Etudes Du Métal Ortolan,"ANDY VOTEL

              —
               Etudes Du Métal Ortolan
            
              (DDS)",DDS,"A weirdo classical music mixtape from Andy Votel for DDS? Yasss pls. A longtime spar and ally of Demdike Stare who was also responsible for their iconic early album covers, ‘Etudes Du Metal Ortolan’ is (surprisingly) Votel’s first dedicated mixtape for their DDS label, a kaleidoscopic all-vinyl collage of raw/experimental music by composers working within the wide “classical music” idiom, primarily from the Czech Republic, France, Canada and Germany. Using crude FX boxes and pedals to... more",/products/etudes-du-metal-ortolan,https://assets.boomkat.com/spree/products/909468/product/DDS066-Distribtion_Preview-V2.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
2,young-druid-315097b4-eb28-4b00-a5d4-f46d0f91882f,3,Young Druid,Young Druid,"Young Druid

              —
              Young Druid
            
              (5 Gate Temple)",5 Gate Temple,"As Young Druid, John T. Gast distills his most endearing/weirdo Midi-eval energies into a suite of LED candle-lit fugues and funky Myrdas, self-issued on his 5 Gate Temple label and now finally available on vinyl after scratching a very big itch for us on its 2017 maiden voyage on CD.

Concocted from a bank of recordings alchemised on one box and a two-track recorder, Young Druid follows 12 ley-lines of investigation with findings equally applicable to occult soirees and the downtime of amateur... more",/products/young-druid-315097b4-eb28-4b00-a5d4-f46d0f91882f,https://assets.boomkat.com/spree/products/515401/product/5GT003_Cover.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
3,searchlight-moonbeam,4,Time is Away,Searchlight Moonbeam,"Time is Away

              —
              Searchlight Moonbeam
            
              (Efficient Space)",Efficient Space,"Jack Rollo & Elaine Tierney, aka Time is Away, take the reins from master reissue/compilation makers Efficient Space for a far-flung carousel of cuts from worlds old and new, hailing morsels by likes of John Cassavetes, Chen Ming Chang, Slapp Happy, Simon Fisher Turner and Delphine Dora in their usual/ inspirational dream-within-a-dream style.

‘Searchlight Moonbeam’ leads on from the acclaimed DJ tag team’s ‘Ballads’, and a succession of NTS shows, into meta-autumnal landscapes that... more",/products/searchlight-moonbeam,https://assets.boomkat.com/spree/products/917387/product/8.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
4,models-2e8b8820-5daf-468b-8172-06941d6096d4,5,Lee Gamble,Models,"Lee Gamble

              —
              Models
            
              (Hyperdub)",Hyperdub,"Lee Gamble considers the impact of vocals and hooks on 'Models', using emerging technologies and machine learning to fashion uncanny pop music that links Liz Fraser's mysterious lingual tics with rave's disembodied diva loops and the hoarse rasp of trip-hop. For our money it's his most satisfying full-length to date, an earworm-addled/emo pop record that's as strange, poignant and haunted as his breakout 'Diversions 1994-1996'.

Over the last few years, Gamble has become... more",/products/models-2e8b8820-5daf-468b-8172-06941d6096d4,https://assets.boomkat.com/spree/products/916385/product/5056321681515_T8_Image-2_Tip23.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
5,healing-6abcb424-e3f7-409f-b359-61ed564d9eb9,6,ugne&maria,"""Healing""","ugne&maria

              —
              ""Healing""
            
              (Futura Resistenza)",Futura Resistenza,,/products/healing-6abcb424-e3f7-409f-b359-61ed564d9eb9,https://assets.boomkat.com/spree/products/869972/product/8718723225892.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
6,ideas-flotantes,7,"Bear Bones, Lay Low",Ideas Flotantes,"Bear Bones, Lay Low

              —
              Ideas Flotantes
            
              (KRAAK)",KRAAK,"Bear Bones, Lay Low's Ideas Flotantes is a joint release from Kraak (Belgium) & Nonlocal Research (Chile).

""For his third full-length release on KRAAK - and first LP since 2016’s Hacia la luz - Bear Bones, Lay Low digs his probes into the serene chaos of his floating ideas. The eight tracks that make up Ideas Flotantes speak to an ineffable expanse of plausibility where sensorial matter suggests itself, peeks out from under glowing foliage and moving stones, and flares out into the murk and... more",/products/ideas-flotantes,https://assets.boomkat.com/spree/products/913486/product/k123_front.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
7,permanent-rain,8,XIII,Permanent Rain,"XIII

              —
              Permanent Rain
            
              (Knekelhuis)",Knekelhuis,"XIII hails modal electro-folk fantasias on a striking 2nd album - his debut for Dutch label Knekelhuis - akin to the mutated modes of Haunter head Heith’s PAN album, MOBBS’ redeyed downbeats, or CS + Kreme, Christos Chondropoulos and Jay Glass Dubs’ outernational explorations.

Since his first LP ‘No (The Relative effect of Explication)’ and early standouts on GoD label comps, Alessio Capovilla’s XIII has been sparing in his output, but more recently firmed his ideas on anachronistic... more",/products/permanent-rain,https://assets.boomkat.com/spree/products/905313/product/KH046.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
8,spazio-per-azioni-luminescenti-with-coby-sey-elena-colombi-charlie-hope,9,"Coby Sey, Elena Colombi, Tutto Questo Sentire","Spazio Per Azioni Luminescenti 
            
              (Osàre! Editions)","Coby Sey, Elena Colombi, Tutto Questo Sentire

              —
              Spazio Per Azioni Luminescenti (With Coby Sey, Elena Colombi, Charlie Hope)
            
              (Osàre! Editions)","With Coby Sey, Elena Colombi, Charlie Hope","Curl affiliates Coby Sey and experimental soprano Olivia Salvadori voice an installation soundtrack underlined by Elena Colombi’s soma synth, and Sandro Mussida’s cello, recorded at a former mentions factory-turned-art space Het HEM on the banks of a Netherlands canal, exploring reverberant space and experimental composition

“The piece was presented by Tutto Questo Sentire, an artist collective consisting of experimental soprano Olivia Salvadori, composer and cellist Sandro Mussida... more",/products/spazio-per-azioni-luminescenti-with-coby-sey-elena-colombi-charlie-hope,https://assets.boomkat.com/spree/products/904570/product/OE020.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
9,correct-me-if-i-am-incorrectly-you,10,Philipp Otterbach,Correct Me If I Am Incorrectly You,"Philipp Otterbach

              —
              Correct Me If I Am Incorrectly You
            
              (Offen Music)",Offen Music,"The Vladimir Ivkovic marshalled Offen Music hail another label debut with Phillip Otterbach’s diaristic illbient drone missives dialled in from the brink of sleep.

‘Correct Me If I Am Incorrectly You’ feels as though it emulates the sensation of post rave, post session, when one is trying to catch some Z’s but the powders and potions won’t let you. It follows from Offen’s introduction to Kinzua’s squashed club music and the cranky debut of Fritz Catlin (23 Skidoo) and Simon Crab (Bourbonese Qualk) as... more",/products/correct-me-if-i-am-incorrectly-you,https://assets.boomkat.com/spree/products/908052/product/4260148771927.jpg,2225,Elena Colombi,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2225
