,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,potential-5eec15a4-f069-4e6f-adc7-fb3354c2992f,1,Sunik Kim,Potential,"Sunik Kim

              —
              Potential
            
              (OTOROKU)",OTOROKU,"Sunik Kim's new album is a frantic conflation of giddy General MIDI instrumentation, homespun RPG fantasies and Henry Cow's inaccessible freeform improvisation. Cyborg music for the information age's dying gasps - RIYL Stockhausen, James Ferraro, Roland Kayn or Carl Stone.

Within seconds of the 23-minute opening side, Kim drags us into a sonic biodome powered by haphazard, fictile orchestral blasts, redlined, stuttering percussion and tinny, 16-bit videogame fanfares. It's not... more",/products/potential-5eec15a4-f069-4e6f-adc7-fb3354c2992f,https://assets.boomkat.com/spree/products/917440/product/10.jpg,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
1,technolab,2,the networks,technolab,"the networks

            —
            technolab",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
2,legacy-volume-2,3,RP Boo,Legacy Volume 2,"RP Boo

              —
              Legacy Volume 2
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Chicago footwork catalyst RP Boo shells archival zingers on a 10 year follow-up to his first album for Planet Mu.

‘Legacy Volume 2’ hails the happiest man in footwork with 13 stuttering shots spanning tunes found on the groundbreaking ‘Bangs & Works’ compilation thru to unreleased material produced during footwork’s formative years 2002-2007. Justifiably claimed as “to footwork what Juan Atkins is to techno”, RP Boo can also rightly be heard as its Dilla or Pete Rock for his innovative... more",/products/legacy-volume-2,https://assets.boomkat.com/spree/products/865887/product/5056321682420_T14_Image.jpg,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
3,phantasmagoriaofjathilan,4,raja kirik,phantasmagoria of jathilan,"raja kirik

            —
            phantasmagoria of jathilan",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
4,the-mule-peasants-revolt-of-12-067,5,Historically Fucked,"The Mule Peasants’ Revolt of 12,067","Historically Fucked

              —
              The Mule Peasants’ Revolt of 12,067
            
              (Upset The Rhythm)",Upset The Rhythm,"Manchester’s elite free jazz/rock miscreants David Birchall, Otto Willberg, Greta Buitkuté, and Alecs Pierce howl and flail with a highly disciplined sort of skronky madness on a reprisal of styles found on their Heavy Petting label - think Mr. Bungle and Laurie Tompkins meets Diamanda Galas at Vymethoxy Redspiders’ lair

“Historically Fucked is a four way entanglement made to create short, eruptive songs and then set about obliterating them from the inside, like improvising a... more",/products/the-mule-peasants-revolt-of-12-067,https://assets.boomkat.com/spree/products/850936/product/5051142071286.jpg,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
5,iniquitousbarbariksynthesis,6,impetuous ritual,iniquitous barbarik synthesis,"impetuous ritual

            —
            iniquitous barbarik synthesis",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
6,splittape,7,shearing pinx/banananananana,split tape,"shearing pinx/banananananana

            —
            split tape",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
7,bown-fcf23ebf-09f9-4a0f-ac7f-36d1f9dc51e3,8,Mariam Rezaei,BOWN,"Mariam Rezaei

              —
              BOWN
            
              (Heat Crimes)",Heat Crimes,"Turntablist and composer Mariam Rezaei completes her ambitious, pithy triptych with 'BOWN', her debut for the Heat Crimes imprint. Flipping the concept of turntable-based music on its head, she fractures free jazz, noise, death drone and operatic fragments into a broken tangle of spinbacks, pitchbends, loping rhythms and perverted side-eyes. Featuring collaborations with Teresa Winter, Luka Koenig, Alya Al-Sultani, Bobby Glue and Gwily Edmondez, it's crucial listening for anyone into Maria... more",/products/bown-fcf23ebf-09f9-4a0f-ac7f-36d1f9dc51e3,https://assets.boomkat.com/spree/products/916877/product/tip.jpeg,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
8,retaliationaesthetics,9,rump state,retaliation aesthetics,"rump state

            —
            retaliation aesthetics",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
9,hyperdawn-39f29cbe-eed6-422f-bafb-01cd7a1b6f5f,10,Hyperdawn,Steady,"Hyperdawn

              —
              Steady
            
              (Them There Records)",Them There Records,"Right at the intersection of HTRK’s lilting heartbreak, Tirzah’s soul diffractions and Tricky’s Pre Millennial tension, Manchester's Hyperdawn aka Vitalija Glovackytė and Michael Cutting arrive with a hugely satisfying new album, a boldly experimental slice of asymmetric cybeR&B laced with slippery vocal hooks x vibe-shifted, concrète production.

We begin with a gorgeous, minimal turn on 'Say it so', playing with loose vocals smeared over a lucid canvas until it all starts to glitch erratically over... more",/products/hyperdawn-39f29cbe-eed6-422f-bafb-01cd7a1b6f5f,https://assets.boomkat.com/spree/products/916377/product/196922577246-2_Tip23.jpg,2400,Gretchen Aury,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2400
