,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,komyep,1,ZULI,Komy EP,"ZULI

            —
            Komy EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
1,makan,2,Kamilya Jubran,Makan,"Kamilya Jubran

            —
            Makan",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
2,forpalestine,3,Toumba,For Palestine,"Toumba

            —
            For Palestine",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
3,ends-meet-8eba374c-b329-4c94-9e77-b3d760f631c7,4,3Phaz,Ends Meet,"3Phaz

              —
              Ends Meet
            
              (Souk Records)",Souk Records,"Killer Post-chaabi/Mahraganat rockets by Cairene dynamo 3Phaz, blazing on from a turns with our Documenting Sound series in 2020 via a searing clutch of Egyptian grime/street-rave RIYL DJ Plead, Zuli, Eek & islam Chipsy, Errorsmith!

A major look for modern rhythm fiends, ‘Ends Meet’ is arguably 3Phaz’s definitive solo release and a new high water mark of hardcore dance music. Arriving on Discrepant’s discerning “weird beats” sub-label Souk Records, the seven tracks galvanise traditional... more",/products/ends-meet-8eba374c-b329-4c94-9e77-b3d760f631c7,https://assets.boomkat.com/spree/products/850278/product/5051142071316.jpg,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
4,congo-guitar,5,Vumbi Dekula,Congo Guitar,"Vumbi Dekula

              —
              Congo Guitar
            
              (Hive Mind Records)",Hive Mind Records,"Legendary Congolese guitarist Kahanga Dekula (aka Vumbi) makes an infectious noise on his debut solo recording, playing tangled soukous phrases alongside field recordings and tinny beatbox rattles instead of his usual full band. Revelatory material.

For the last four decades, Vumbi has been playing lead guitar in various bands throughout East Africa and Sweden, where he's based now. He learned how to play guitar by listening to Congolese icons like Dr Nico and Franco on the radio... more",/products/congo-guitar,https://assets.boomkat.com/spree/products/889389/product/HMRLP025_Cover.jpg,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
5,otherworld,6,Maya Al Khaldi,Other World,"Maya Al Khaldi

            —
            Other World",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
6,relentless-trills-vinyl-edition,7,DJ Plead,Relentless Trills,"DJ Plead

              —
              Relentless Trills
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"DJ Plead’s genre-defining album of slow and humid dance music, recorded almost entirely on a Yamaha ‘Oriental’ keyboard in the spring of 2020, finally lands back in print on this new vinyl edition made for anyone who missed it first time round, remastered by Rashad Becker.

Giving us full classic/futureshock from the moment we first heard it, it’s one of those albums that’s stitched itself to the very fabric of our being over the last couple of years, becoming a sort of reference against which we’ve... more",/products/relentless-trills-vinyl-edition,https://assets.boomkat.com/spree/products/744640/product/BKEDITDS024V_Distribution_Preview.jpg,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
7,istiqlal,8,S DIAMAH,ISTIQLAL,"S DIAMAH

            —
            ISTIQLAL",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
8,synthesized-sudan-astro-nubian-electronic-jaglara-dance-sounds-from-the-fashaga-underground,9,Jantra,Synthesized Sudan: Astro-Nubian Electronic Jaglara Dance Sounds from the Fashaga Underground,"Jantra

              —
              Synthesized Sudan: Astro-Nubian Electronic Jaglara Dance Sounds from the Fashaga Underground
            
              (Ostinato Records LLC)",Ostinato Records LLC,"Whew what a find?! NYC’s Ostinato extend an unmissable intro to Jantra’s custom-modded synth meditations, coming off like Hailu Mergia meets Luka Productions and Augustus Pablo on Planet X

Jantra, meaning “craziness”, hails from the Fashaga region between Sudan, Eritrea and Ethiopia, where he improvises ribboning melodies over swaying triplet grooves on keyboard modified to play the traditional scales of local music. Regularly performing at street raves to pistol-toting dancers... more",/products/synthesized-sudan-astro-nubian-electronic-jaglara-dance-sounds-from-the-fashaga-underground,https://assets.boomkat.com/spree/products/885447/product/0881626798164.jpg,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
9,ask,10,Altin Gün,Ask,"Altin Gün

            —
            Ask",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2227,Heba Kadry,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2227
