,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,for-lovers-only-rain-suite,1,SG,For Lovers Only / Rain Suite,"SG

              —
              For Lovers Only / Rain Suite
            
              (FAITICHE)",FAITICHE,"Andrew Pekler's first album as SG is a sentimental, homespun collection of sliced-up guitar compositions that takes Chicago's jazzy post-rock sound and turns its tangled riffs into faint vapors. RIYL Labradford, Tortoise, Fennesz or Oren Ambarchi.

If you've only heard Pekler's dubby, experimental abstractions, then 'For Lovers Only / Rain Suite' will come as a surprise. There's a difference in tone evident from the first crackle of 'Sentimental Guitar Dream', that filters humming electric guitar... more",/products/for-lovers-only-rain-suite,https://assets.boomkat.com/spree/products/899430/product/880918261232.jpg,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
1,august-in-the-water-music-for-film-1995-2005,2,Hiroyuki Onogawa,August in the Water - Music for Film 1995-2005,"Hiroyuki Onogawa

              —
              August in the Water - Music for Film 1995-2005
            
              (Mana Records)",Mana Records,"Mana offer an excellent first international showcase of Hiroyuki Onogawa’s filigree, minimalist film soundtracks, gathering cuts off his ’95 debut and two follow ups for a gorgeous 40 minute dream sequence RIYL Mark Snow, Ry Cooder, Kenji Kawai, Nozomu Matsumoto.

‘August In The Water: Music for Film 1995-2005’ cherry picks pieces from the titular ’95 film soundtrack, plus Labyrinth of Dreams (1997), and Mirrored Mind (2005), for an immersive overview of work hard to find outside Japan... more",/products/august-in-the-water-music-for-film-1995-2005,https://assets.boomkat.com/spree/products/901654/product/a2689690500_10.jpg,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
2,with-strings,3,June McDoom,With Strings,"June McDoom

              —
              With Strings
            
              (Temporary Residence Ltd.)",Temporary Residence Ltd.,,/products/with-strings,https://assets.boomkat.com/spree/products/897546/product/656605443065.jpg,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
3,bullaenelbarrio,4,,Bulla en el barrio,Bulla en el barrio,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
4,muito-sol,5,Ricardo Dias Gomes,Muito Sol,"Ricardo Dias Gomes

              —
              Muito Sol
            
              (Hive Mind Records)",Hive Mind Records,"The third album from Brazilian auteur and Caetano Veloso collaborator Ricardo Dias Gomes is sunny, psychedelic and celebratory, focused on Gomes' dreamy voice and lilting samba rhythms.

Recorded after Gomes relocated from Rio de Janeiro to Lisbon, 'Muito Sol' is the veteran performer's most experimental album yet, interspersing its songs with bubbling modular freakouts and doomy, distorted drones. The record was put together with an incredible cast of players, including Jeremy Gustin... more",/products/muito-sol,https://assets.boomkat.com/spree/products/916515/product/ricardo_Tip23.jpg,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
5,face-the-music-a1c48ab3-5b2f-4c8b-bd47-7b07045580df,6,Lolina,Face The Music,"Lolina

              —
              Face The Music
            
              (Relaxin Records)",Relaxin Records,"Lolina's sixth album is a short 'n sweet swoon of tropical pop, jazz fusion, CDJ-mangled easy listening and psychedelic swingbeat, fronted by her surreal murmurs and perky poetic abstractions. RIYL Mica Levi, Smerz, Leila, 'Around The World In A Day'-era Prince.

Hot on the heels of August's jerky ""Fast Fashion"" comes another confounding madness from Lolina, aka Inga Copeland. Less abstract than its predecessor, ""Face the Music"" hews closer to Lolina's Hype Williams-era... more",/products/face-the-music-a1c48ab3-5b2f-4c8b-bd47-7b07045580df,https://assets.boomkat.com/spree/products/829826/product/4062548053906_T5_Image.jpg,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
6,primordialsoup,7,Liz Durette,Primordial Soup,"Liz Durette

            —
            Primordial Soup",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
7,t-e-te-a-t-e-te,8,Annea Lockwood / Ruth Anderson,T​ê​te​-​à​-​t​ê​te,"Annea Lockwood / Ruth Anderson

              —
              T​ê​te​-​à​-​t​ê​te
            
              (Ergot Records)",Ergot Records,"Deeply moving, previously unreleased material from the late electronic composer and flautist Ruth Anderson and sound artist Annea Lockwood, who separately capture their five-decade creative and romantic connection on this collection of previously unheard archival recordings, featuring snippets of phone conversations between the pair, field recordings, slowed and treated songs of the era and meditative concréte. Stunning material, pretty much impossible not to well up listening to it.

When... more",/products/t-e-te-a-t-e-te,https://assets.boomkat.com/spree/products/873031/product/a0279592238_10.jpg,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
8,exit-simulation,9,Niecy Blues,Exit Simulation,"Niecy Blues

              —
              Exit Simulation
            
              (Kranky)",Kranky,"‘Exit Simulation’ is the startling debut from South Carolina's Heather Sinclair aka Niecy Blues, who makes a dramatic entrance using the language of ambient, trip-hop and dream pop to ink her own signature on gospel, R&B and melancholy soul. One of the most convincing debut albums in recent memory, consider it essential listening if you're into KeiyaA, Grouper, Erykah Badu, Dawuna, or Kelela.

Sinclair spent her childhood in the confines of a religious cult in Oklahoma, and on 'Exit... more",/products/exit-simulation,https://assets.boomkat.com/spree/products/916478/product/Niecy-Blues_Tip23.jpg,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
9,upopo-sanke,10,Umeko Ando,Upopo Sanke,"Umeko Ando

              —
              Upopo Sanke
            
              (Pingipung)",Pingipung,"20 year reissue of an enchanting showcase of little heard Ainu folk music by Umeko Ando, member of the indigenous community in northern Japan, singing songs about suppression and marginalization of their culture, which was only recognised by the Japanese government in 2008

““Upopo Sanke“ means “Let's sing a song"" in the Ainu language. Umeko Ando (1932-2004) was one of the best-known artists of the Ainu, an indigenous, long-suppressed community in northern Japan. She sings their... more",/products/upopo-sanke,https://assets.boomkat.com/spree/products/886086/product/198253-umeko-ando-upopo-sanke.jpg,2236,Helado Negro,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2236
