,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,ruinas-arqueologicas,1,Ale Hop,Ruinas Arqueológicas,"Ale Hop

              —
              Ruinas Arqueológicas
            
              (Superpang)",Superpang,"The brilliant Ale Hop returns after her transcendent collab with Laura Robles with a jerky suite of genre-baiting rhythmic flexes for the SUPERPANG imprint. Short, sweet and corrosive, it's a lusciously organic electronic excursion that splits the difference between Raster Noton and early 4AD. You've gotta hear it to believe it.

Cutting her teeth in Lima's experimental underground in the early '00s, Alejandra Cárdenas Pacheco has spent the last decade refining her solo voice, using extended guitar... more",/products/ruinas-arqueologicas,https://assets.boomkat.com/spree/products/909577/product/SP180_Cover.jpg,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
1,gentle-impermanence,2,Kloxii Li,Gentle Impermanence,"Kloxii Li

              —
              Gentle Impermanence
            
              (bié Records)",bié Records,,/products/gentle-impermanence,https://assets.boomkat.com/spree/products/899903/product/BI23.jpg,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
2,rhizomes-3b3f0e51-99de-46e0-a854-4866471faea1,3,Aho Ssan,Rhizomes,"Aho Ssan

              —
              Rhizomes
            
              (Other People)",Other People,"Aho Ssan debuts on Other People with second solo album and book ‘Rhizomes’ featuring Nicolás Jaar, Moor Mother, Angel Bat Dawid, clipping., Blackhaine, Resina, 9T Antiope, James Ginzburg, Mondkopf and more.

Niamké Désiré to the feds, the artist aka Aho Ssan arrives at 2nd LP ‘Rhizomes’, for Nicolas Jaar’s Other People, via an acclaimed 2020 debut album on Subtext and the ‘Limen’ collab with KMRU, both of which built on a strong reputation fostered in the Parisian underground, and... more",/products/rhizomes-3b3f0e51-99de-46e0-a854-4866471faea1,https://assets.boomkat.com/spree/products/902687/product/197189409493.jpg,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
3,dissolution-grip,4,KMRU,Dissolution Grip,"KMRU

              —
              Dissolution Grip
            
              (OFNOT)",OFNOT,"'Dissolution Grip' is KMRU's most expressive solo album yet, inspired by field recordings but using them to guide his kosmiche-fuelled synthwork rather than overwhelm the tracks with referential nods. One for fans of Emeralds, Lawrence English or Fennesz.

In just a few short years, Kenyan sound artist KMRU has built up a startling canon of drone-heavy musical experiments, ranging from the pensive, Editions Mego-released 'Peel' to the cripplingly heavy Aho Ssan collaboration 'Limen'... more",/products/dissolution-grip,https://assets.boomkat.com/spree/products/895452/product/880918263199.jpg,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
4,vulnerable,5,El Irreal Veintiuno,VULNERABLE,"El Irreal Veintiuno

            —
            VULNERABLE",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
5,netarihilas,6,Slikback,N E T A R I H I L A S,"Slikback

            —
            N E T A R I H I L A S",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
6,dje,7,Chuquimamani-Condori,DJ E,"Chuquimamani-Condori

            —
            DJ E",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
7,mermasuelo,8,merma suelo,merma suelo,"merma suelo

            —
            merma suelo",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
8,les1,9,Microhm,Les-1,"Microhm

            —
            Les-1",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
9,archivosderadiopiedras,10,Nicolas Jaar,Archivos de Radio Piedras,"Nicolas Jaar

            —
            Archivos de Radio Piedras",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2321,hexorcismos,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2321
