,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,12-32de1896-063a-4b46-ace3-de97c948b2e4,1,Ryuichi Sakamoto,12,"Ryuichi Sakamoto

              —
              12
            
              (MILAN)",MILAN,"A collection of musical sketches Sakamoto recorded like an “audio diary” between 2021 and 2022 during his battle with cancer. Each track is titled and sequenced by the date in which it was written, culminating in a collection of music that provides an intimate snapshot into this period of Sakamoto’s life. R.I.P., legend.

Of the album, RYUICHI SAKAMOTO says, “In early March 2021, I finally ‘came home’ to my new temporary housing after a big operation and a long stay in the hospital. Around... more",/products/12-32de1896-063a-4b46-ace3-de97c948b2e4,https://assets.boomkat.com/spree/products/885649/product/image001_44a76d58_thumbnail_2048.jpg,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
1,29658242-440d-495f-b2e9-5ae3b20f029a,2,CV & JAB,"Κλίμα 
            
              (editions basilic)","CV & JAB

              —
              Κλίμα (Klima)
            
              (editions basilic)",Klima,"Christina Vantzou and John Also Bennett's STUNNING third album as CV & JAB is a glacial marvel that roots itself in Tenerife's expansive landscape, using piano, flute, pitched voices, hydrophone recordings and even a bit of Parmegiani to evoke a deeply sensual mood that sounds like classic Harold Budd augmented by pulsing subs, soporific flute and weirdo/phantom sounds you’re never quite sure are actually there. Alongside Laurel Halo’s ‘Atlas’, you’ll hear little else this year that will... more",/products/29658242-440d-495f-b2e9-5ae3b20f029a,https://assets.boomkat.com/spree/products/916439/product/klima_Tip23.jpg,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
2,hospital-for-beasts-original-soundtrack,3,Ann Margaret Hogan and Regis,"Νοσοκομείο Των Κτηνών  (Original Soundtrack)
            
              (Downwards)","Ann Margaret Hogan and Regis

              —
              Νοσοκομείο Των Κτηνών (Hospital For Beasts) (Original Soundtrack)
            
              (Downwards)",Hospital For Beasts,"Stunning hour-long soundtrack from Regis and Anni Hogan; a suite of gentle, highly evocative nocturnes that weave and wind through wonderful melodic episodes and glistening atmospherics, landing somewhere between shoegaze bliss and melancholy romance. 

Anni Hogan and Regis have collaborated many times before - most notably on the ‘Reversing Into Tomorrow’ tape for our Documenting Sound series, and on Regis’ ‘Hidden in This is the Light That You Miss’ album last year. This... more",/products/hospital-for-beasts-original-soundtrack,https://assets.boomkat.com/spree/products/866774/product/DNT31_Cover.jpg,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
3,smilefilmsoundtrackdeathwaltz,4,Cristobal Tapia De Veer,Smile / film soundtrack (death waltz),"Cristobal Tapia De Veer

            —
            Smile / film soundtrack (death waltz)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
4,magneticvisionariesotonomi,5,Midori Hirano,Magnetic Visionaries (otonomi),"Midori Hirano

            —
            Magnetic Visionaries (otonomi)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
5,zartirecm,6,The Gurdjieff Ensemble & Levon Eskenian,Zartir (ecm),"The Gurdjieff Ensemble & Levon Eskenian

            —
            Zartir (ecm)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
6,anewtomorrowflatspot,7,Zulu,A New Tomorrow  (flatspot),"Zulu

            —
            A New Tomorrow  (flatspot)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
7,lifetime-of-a-flower,8,Eiko Ishibashi / Jim O'Rourke,Lifetime Of A Flower,"Eiko Ishibashi / Jim O'Rourke

              —
              Lifetime Of A Flower
            
              (Week-End Records)",Week-End Records,"Eiko Ishibashi and Jim O'Rourke focus on plant growth to inform a flourishing sonic terrarium, cross-breeding wild-eyed modular blips and pings with off-world melodies, pop music, environmental recordings and frozen, xenharmonic drones. Incred, as per.

Last year, Ishibashi and O'Rourke were invited to assemble an installation for Dortmunder U's 'Flowers in 20th and 21st Century Art' exhibition. They responded with 'Lifetime of a Flower', filming their garden in Japan where... more",/products/lifetime-of-a-flower,https://assets.boomkat.com/spree/products/875237/product/4250101455100.jpg,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
8,kwaidan,9,Meitei,Kwaidan / 怪談,"Meitei

              —
              Kwaidan / 怪談
            
              (Evening Chants)",Evening Chants,"One of the most striking releases of the last couple of years, ‘Kwaidan’ is a spellbindingly curious study in the “lost"" art of Japanese ghost story-telling and horror folklore, marking the sublime first release on Singapore’s bijou Evening Chants imprint. It's now finally available on vinyl for the first time.

Inspired by living in Kyoto for the past two years, ‘Kwaidan’ - a form of Japanese ghost story - is focussed on musically crafting a form of “Japanese Mood”, or Meitei. Taking this word as his... more",/products/kwaidan,https://assets.boomkat.com/spree/products/614456/product/Kwaidan_cover.jpg,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
9,eev12k,10,Taylor Deupree,Eev (12k),"Taylor Deupree

            —
            Eev (12k)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2278,Ivan Pavlov / CoH,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2278
