,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,unreleasedlp,1,Dorothy Carter,[Unreleased LP],"Dorothy Carter

            —
            [Unreleased LP]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
1,waillee-waillee,2,dorothy carter,Waillee Waillee,"dorothy carter

              —
              Waillee Waillee
            
              (Palto Flats)",Palto Flats,"STUNNNNNING re-issue of American psaltry master and folk troubadour Dorothy Carter's little-known 1978 masterpiece 'Waillee Waillee’, a joint release between Palto Flats & Putojefe Records. A Laraaji and Neubauten collaborator who set a new standard at the intersection of medieval music and psych folk, Dorothy Carter infused her research into Celtic and Appalachian traditions with a giddy, almost subversive forward motion, reaching ethereal heights that are a total revelation to hear almost... more",/products/waillee-waillee,https://assets.boomkat.com/spree/products/916414/product/dorothy_carter_Tip23.jpg,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
2,ep6463ondatarossa,3,EP/64,EP​/​64​-​63 Ondata Rossa,"EP/64

            —
            EP​/​64​-​63 Ondata Rossa",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
3,choose-mortality,4,Flesh & The Dream,Choose Mortality,"Flesh & The Dream

              —
              Choose Mortality
            
              (Everything Forever)",Everything Forever,"As Flesh & The Dream, Heather Leigh & Shackleton chart an ambitious journey of discovery in the psychic dancehall, conjuring a debut album that’s a psychedelic prog masterpiece, probing the gooey membrane between outré folk vocalisations and dizzying, queered soundscapes. There's nowt out there quite like it, channeling the spirits of Annette Peacock, Anna Homler, Coil, Kate Bush, Rrose, Harry Partch and Yes into a brilliantly unfathomable, singular vision.

‘Choose Mortality’... more",/products/choose-mortality,https://assets.boomkat.com/spree/products/916429/product/fleshanddream_Tip23.jpg,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
4,laviellerouedelimaginaire,5,Valentin Clastrier,La Vielle À Roue De L'Imaginaire,"Valentin Clastrier

            —
            La Vielle À Roue De L'Imaginaire",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
5,conegudacausasia,6,Los Deu Larvath,Coneguda Causa Sia,"Los Deu Larvath

            —
            Coneguda Causa Sia",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
6,20110122,7,憬觀:像同叠 The Offset: Spectacles,2011-01-22,"憬觀:像同叠 The Offset: Spectacles

            —
            2011-01-22",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
7,pure-dd6a4415-80b5-4679-a15c-9df9734d4de8,8,Peter Gutteridge,Pure,"Peter Gutteridge

              —
              Pure
            
              (Superior Viaduct / 540 Records)",Superior Viaduct / 540 Records,"A sought-after scuzzy racket from The Chills’ Peter Gutteridge and ‘80s Dunedin, NZ’s legendary Flying Nun scene surfaces like a missing link between Syd Barrett and Suicide. Fiends for sputtering drum machines, psych guitars, and snarled vocals will be in their element

First ever vinyl issue of Kiwi legend and core Flying Nun Peter Gutteridge's amazing, one and only solo album, originally released in 1989 on tape via Bruce Russell's Xpressway. I'll be honest; what I know about New Zealand's... more",/products/pure-dd6a4415-80b5-4679-a15c-9df9734d4de8,https://assets.boomkat.com/spree/products/895168/product/857661008964.jpg,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
8,asliceofenglishtoast,9,Ranking Ann,A Slice Of English Toast,"Ranking Ann

            —
            A Slice Of English Toast",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
9,baus-93,10,Les Rallizes Denudes,BAUS ‘93,"Les Rallizes Denudes

              —
              BAUS ‘93
            
              (Temporal Drift)",Temporal Drift,"Baus ‘93 contains the storied comeback performance from Baus Theater in Kichijoji, Tokyo, which took place on February 13, 1993 in what was their first live appearance in five years.

""Baus ‘93 follows the widely acclaimed worldwide release of Citta’ ‘93, which captured the Rallizes’ fiery gig that took place four days later at Club Citta’ in Kawasaki.

Newly mixed and mastered by Makoto Kubota, Baus ‘93 features the previously unheard live recording meticulously restored using the original... more",/products/baus-93,https://assets.boomkat.com/spree/products/918099/product/a3650408868_10.jpg,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
10,citta93,11,Les Rallizes Denudes,CITTA ’93,"Les Rallizes Denudes

            —
            CITTA ’93",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2458,Jennifer Lucy Allan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2458
