,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,todayineverthoughtofyouatall,1,God’s Gift,Today I Never Thought Of You At All,"God’s Gift

            —
            Today I Never Thought Of You At All",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
1,life-love-dance,2,LITIA=LOE,Life Love Dance,"LITIA=LOE

              —
              Life Love Dance
            
              (Mixed Signals/Left Ear Records / Left Ear Records)",Mixed Signals/Left Ear Records / Left Ear Records,"What a find from Left Ear?! LITIA=LOE’s darker toned and sexy Chicago body music rides again on reissue of their sole, 1994 album - a massive RIYL Virgo, Jamie Principle, Chris & Cosey, Jamal Moss, Noleian Reusse, New Order, Electribe 101

Prised from obscurity by Naarm’s Left Ear Records, the sultry finesse of ‘Life Love Dance’ returns like a rare comet on 30 year orbit from its first sighting; a coveted 12” issued in 1994 as one of two releases on LITIA=LOE’s Chicago-based Façade... more",/products/life-love-dance,https://assets.boomkat.com/spree/products/869218/product/197188270834.jpg,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
2,doyouwannaneedmylove,3,Donnell Pitman & Wings Of Sunshine,Do You Wanna / Need My Love,"Donnell Pitman & Wings Of Sunshine

            —
            Do You Wanna / Need My Love",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
3,lovebeat,4,Yoshinori Sunahara,Lovebeat,"Yoshinori Sunahara

            —
            Lovebeat",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
4,kwong,5,Knopha,Kwong,"Knopha

              —
              Kwong
            
              (Mood Hut)",Mood Hut,"Purring, dubwise deep house and broken beat soul laced with subtle traditional Chinese influence by Xiamen's Knopha for Mood Hut - RIYL Gooooose, 4Hero, Stefan Ringer

Knife is a new name to us which we hope to hear more from. Their maiden Mood Hunt voyage follows chops on Eating Music and bié Records since 2017 with a finely distinguished slant on classic tropes, contouring a line thru Detroit beatdown, UK broken beat and jungle tinted with subtle touches of Chinese... more",/products/kwong,https://assets.boomkat.com/spree/products/889193/product/0840200595124.jpg,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
5,natural-wonder-beauty-concept,6,Ana Roxanne & DJ Python,Natural Wonder Beauty Concept,"Ana Roxanne & DJ Python

              —
              Natural Wonder Beauty Concept
            
              (Mexican Summer)",Mexican Summer,"Tender mutuals, ambient starlet Ana Roxanne and dembow mutator DJ Python, double down on their acclaimed Times Square DJ set with a crystalline definition of trip-gaze subtractions like a whimsical fusion of Julee Cruise, Boards of Canada,  Seefeel and Cucina Povera.

Spanning their blissed takes on sylvan illbient, early ‘00s electronics, shoegaze jungle and ambient-pop, proper, ‘Natural Wonder Beauty Concept’ lives up to its evocative mantle with some of the most distinctive work in... more",/products/natural-wonder-beauty-concept,https://assets.boomkat.com/spree/products/871173/product/1_%281%29.jpg,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
6,pleasurejoyandhappiness,7,Eddie Chacon,"Pleasure, Joy and Happiness","Eddie Chacon

            —
            Pleasure, Joy and Happiness",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
7,heartbeat-4f0a1bc9-9d21-471a-ad24-01060b913a79,8,T. Williams,Heartbeat,"T. Williams

              —
              Heartbeat
            
              (Local Action)",Local Action,,/products/heartbeat-4f0a1bc9-9d21-471a-ad24-01060b913a79,https://assets.boomkat.com/spree/products/901726/product/3663729268310.jpg,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
8,breakaway,9,Head high,Break Away,"Head high

            —
            Break Away",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
9,fonetica-amara,10,Vanessa Amara,Fonetica Amara,"Vanessa Amara

              —
              Fonetica Amara
            
              (Posh Isolation)",Posh Isolation,,/products/fonetica-amara,https://assets.boomkat.com/spree/products/834977/product/5056321679123_T17_Image.jpg,2213,Jessy Lanza,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2213
