,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,farewell-to-faraway-friends,1,Anja Lauvdal,"Farewell to Faraway Friends 
            
              (Smalltown Supersound)","Anja Lauvdal

              —
              Farewell to Faraway Friends (Wurlitzer Improvisations 2021-23)
            
              (Smalltown Supersound)",Wurlitzer Improvisations 2021-23,"Stunning recordings from Norwegian pianist Anja Lauvdal, who follows-up last year’s Laurel Halo-produced ‘From a Story Now Lost’ with an album of improvisations made on a Wurlitzer electric piano, featuring the great Lasse Marhaug on mastering duties. Pastoral, personal, heartbreaking gear that’s required listening if you’re into Harold Budd, Loren Connors, Dominique Lawalrée, Robert Wyatt, Vincent Gallo. 

'Farewell to Faraway Friends' finds Lauvdal at her Wurlitzer, captured by two... more",/products/farewell-to-faraway-friends,https://assets.boomkat.com/spree/products/890344/product/STSLJN380_Cover.jpg,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
1,peaceplaceskenyanmemories,2,Nyokabi Kariũki,peace places: kenyan memories,"Nyokabi Kariũki

            —
            peace places: kenyan memories",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
2,feelingbody,3,Nyokabi Kariũki,Feeling Body,"Nyokabi Kariũki

            —
            Feeling Body",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
3,outoftheplayground,4,Alessandra Rombolá,out of the playground,"Alessandra Rombolá

            —
            out of the playground",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
4,zvonybells,5,Michaela Antalová,Zvony (Bells),"Michaela Antalová

            —
            Zvony (Bells)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
5,smallisbeautifulshortpiecesforsoloflute,6,Manuela Wiesler,Small Is Beautiful - Short Pieces for Solo Flute,"Manuela Wiesler

            —
            Small Is Beautiful - Short Pieces for Solo Flute",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
6,finestresulnovecentolabiennaledivenezia,7,"Claudio Ortensi, Carlo Mastropietro",Finestre Sul Novecento (La Biennale di Venezia),"Claudio Ortensi, Carlo Mastropietro

            —
            Finestre Sul Novecento (La Biennale di Venezia)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
7,kapsbergerintavolaturadichitarronebook3,8,"Diego Cantalupi, Claudio Nuzzo","Kapsberger: Intavolatura di chitarrone, Book 3","Diego Cantalupi, Claudio Nuzzo

            —
            Kapsberger: Intavolatura di chitarrone, Book 3",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
8,hearing-music,9,Joanna Brouk,Hearing Music,"Joanna Brouk

              —
              Hearing Music
            
              (Numero Group)",Numero Group,"A proper art-melter; enchanting, original new age flute, piano and electronic compositions that will lull you into a blissed state and not let go for at least the length of its two hour, 10 min duration, but quite possibly for much longer. A total must have for fans of Maggi Payne or Iasos. 

Flowering from studies at the esteemed Mills College with Robert Ashley and Terry Riley in the ‘70s, the breathtaking and little-known recordings in Hearing Music are testament to the lush, earthly beauty of... more",/products/hearing-music,https://assets.boomkat.com/spree/products/340719/product/825764106931_T27128391130054.jpg,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
9,alluvione,10,Roberto Fabbriciani,Alluvione,"Roberto Fabbriciani

            —
            Alluvione",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2259,Johanna Orellana,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2259
