,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,xfilm1968,1,John Schofill,XFilm (1968),"John Schofill

            —
            XFilm (1968)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
1,aprsmidi1981,2,Robert Russett,Aprés Midi (1981),"Robert Russett

            —
            Aprés Midi (1981)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
2,rosasdantrosas1997,3,Anne Teresa De Keersmaeker & Thierry De Mey,Rosas Dant Rosas (1997),"Anne Teresa De Keersmaeker & Thierry De Mey

            —
            Rosas Dant Rosas (1997)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
3,futureperfect1978,4,Roberta Friedman & Grahame Weinbren,Future Perfect (1978),"Roberta Friedman & Grahame Weinbren

            —
            Future Perfect (1978)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
4,bouquet1988,5,Sharon Couzin,Bouquet (1988),"Sharon Couzin

            —
            Bouquet (1988)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
5,raindance1972,6,Standish Lawder,Raindance (1972),"Standish Lawder

            —
            Raindance (1972)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
6,speedyboys1999,7,James Herbert,Speedy Boys (1999),"James Herbert

            —
            Speedy Boys (1999)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
7,wittgensteintractatus1992,8,Péter Forgács,Wittgenstein Tractatus (1992),"Péter Forgács

            —
            Wittgenstein Tractatus (1992)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
8,mutiny1983,9,Abigail Child,Mutiny (1983),"Abigail Child

            —
            Mutiny (1983)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
9,theotheralso1997,10,Hal Hartley,The Other Also (1997),"Hal Hartley

            —
            The Other Also (1997)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
10,alabamadeparture1978,11,Peter Bundy & Bryan Elsom,Alabama Departure (1978),"Peter Bundy & Bryan Elsom

            —
            Alabama Departure (1978)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2319,Joshua Minsoo Kim,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2319
