,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,pitch-blender,1,Zoë Mc Pherson,Pitch Blender,"Zoë Mc Pherson

              —
              Pitch Blender
            
              (SFX)",SFX,"Berlin's Zoë Mc Pherson refracts sonic psychedelia into precarious dancefloor experiments on 'Pitch Blender', leaning into a bass-heavy multi-dimensional sound that's somewhere between aya, Amazondotcom, Ani Klang, and Metrist. Essential gear.

If you caught Mc Pherson's last full-length 'States of Fugue', or their recent collaboration with US techno producer Ciarra Black as Carbon 96, then you'll have a good idea of where the French-Irish sound designer has been heading... more",/products/pitch-blender,https://assets.boomkat.com/spree/products/850244/product/5050580797406.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
1,rulethestreets,2,Timothy J Fairplay,Rule The Streets,"Timothy J Fairplay

            —
            Rule The Streets",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
2,specialaencountersmixman,3,Special A,Special A. Encounters Mixman,"Special A

            —
            Special A. Encounters Mixman",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
3,parable-of-the-empty-cup,4,"Yokel, D.Ham & Franco Franco",Parable Of The Empty Cup,"Yokel, D.Ham & Franco Franco

              —
              Parable Of The Empty Cup
            
              (Bokeh Versions)",Bokeh Versions,"Billed as ""evangelical grunge illbient"" by Bokeh Versions, 'Parable of the Empty Cut' assembles Bristol outsiders Yokel, Franco Franco and D. Ham. Big RIYL Lil Ugly Mane, Armand Hammer, Antipop Consortium, Cannibal Ox.

Produced by Plaque boss Yokel, an established DJ as well as a versatile producer, 'Parable...' is a chunky, unsteady sonic headtrip. Not just a collection of identikit beats for rappers to trade bars over, it's an industrial grind that takes nourishment from grumbly... more",/products/parable-of-the-empty-cup,https://assets.boomkat.com/spree/products/911590/product/5050580816589.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
4,cantsdelstrobadorsladouceurdunsonnouvel,5,Regrelh,Cants Dels Trobadors: La Douceur D'Un Son Nouvel,"Regrelh

            —
            Cants Dels Trobadors: La Douceur D'Un Son Nouvel",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
5,boomshackalackasinglesseries,6,Disciples,Boom-Shacka-Lacka Singles Series,"Disciples

            —
            Boom-Shacka-Lacka Singles Series",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
6,janoob-3e242720-b8bc-42a1-bfa6-a5dcc6d99219,7,Toumba,Janoob,"Toumba

              —
              Janoob
            
              (Nervous Horizon)",Nervous Horizon,"Club futurist Toumba lands on Nervous Horizon with his most exceptional set to date, sweeping past last year's Hessle-breakout 'Petals' with a suite of tightly engineered, syncopated belters that take their cues from the Bedouin sounds of southern Jordan. RIYL 3Phaz, DJ Plead, Shackleton or Amazondotcom.

'Janoob' means ""the south"" in Arabic, and refers to the area of Jordan inhabited by Bedouin peoples, tribes of originally nomadic Arabs whose music and culture still plays a... more",/products/janoob-3e242720-b8bc-42a1-bfa6-a5dcc6d99219,https://assets.boomkat.com/spree/products/870835/product/5050580798359.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
7,classiccutzreedition,8,Iration Steppas,Classic Cutz Re edition,"Iration Steppas

            —
            Classic Cutz Re edition",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
8,sensi-addict-04d7e824-94d3-49ff-936d-09238176764c,9,Horace Ferguson,Sensi Addict,"Horace Ferguson

              —
              Sensi Addict
            
              (333)",333,"Whew!!! 333 wheel out the big guns with a 1st vinyl reissue of Horace Ferguson’s red-eyed 1987 digi dub killer, which understandably trades 2nd hand for big bucks due its laid-back, spangled splendour. 100% crucial

“Produced & arranged by the late great Jazzbo (and issued here under license from the foundation deejay & producer's family) the Sensi Addict LP pulls together a selection of vocals recorded between 1984 & 1987 at Michael Carroll's Creative Sounds studio in Kingston, recorded by... more",/products/sensi-addict-04d7e824-94d3-49ff-936d-09238176764c,https://assets.boomkat.com/spree/products/894067/product/5050580791770.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
9,boshly,10,Rezzett,Boshly,"Rezzett

              —
              Boshly
            
              (The Trilogy Tapes)",The Trilogy Tapes,"Rezzett come hungry for the club with a volley of thizzing ghetto-tech and breakbeat hardcore hot on the heels of their debut album

For the DJs, dancers, and anyone needing to extend the pleasures of their eponymous LP, ‘Boshly’ sees Lukid & Tapes’ razz out from a corkscrewing mutation of jungle tekno in the title tune, to thee most febrile takes on ’93 hardcore gnash in the delirious ‘Dots’ and the free-handed jungle of ‘Kermit’, with an appropriate come down in ‘Extra Redundant’, each... more",/products/boshly,https://assets.boomkat.com/spree/products/874860/product/5050580805606.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
10,furtherdown,11,Kelan,Further Down,"Kelan

            —
            Further Down",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
11,synch-unity,12,Froid Dub,Synch Unity,"Froid Dub

              —
              Synch Unity
            
              (Delodio)",Delodio,"Tastily lo-fi, deep-fried french synth-dub gourmet by François Marché and Stephane Bodin’s Froid Dub duo, for fans of Tapes, Jahtari, D.K.., Best Available Technology

In cool pursuit of a dub dragon that led them to ‘An Iceberg Cruising the Jamaican Coastline’ and ‘Deep Blue Bass’ since 2021, Froid Dub lounge about the machines with a typically louche, gallic steez on ’Synch Unity’. The six cuts are cooked up for early hours bobbing or afterhours slouching, rubbing out melted Sleng Teng styles on... more",/products/synch-unity,https://assets.boomkat.com/spree/products/908161/product/1278c341-0159-ead6-f3a0-563979df8a9b.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
12,digitalreedition,13,Eliane Radigue,Digital Re edition,"Eliane Radigue

            —
            Digital Re edition",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
13,asliceofenglishtoast,14,Ranking Anne,A Slice Of English Toast,"Ranking Anne

            —
            A Slice Of English Toast",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
14,fixing-the-roof,15,Cocktail Party Effect,Fixing the Roof,"Cocktail Party Effect

              —
              Fixing the Roof
            
              (Nervous Horizon)",Nervous Horizon,"Snarling raggo-tek on TSVI & Wallwork’s hard drum temple, Nervous Horizon 

Chasing up tuff turns on Textonic and Snaker Social Club, London’s Cocktail Party Effect cuts thru the noise with a handful of pugilistic club steppers and brawlers. Charred bass drum are fired off in the brusque tattoo of ‘Fixing The Roof’, and ‘Safety Button’ drops worm-charming subs in a buckled, underwater dancehall-techno style. ‘767’ tilts recklessly into breakcore-jungle ballistics with throat-slitting breakbeat... more",/products/fixing-the-roof,https://assets.boomkat.com/spree/products/853606/product/5050580799011.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
15,fellsiusrhythmlabvol1,16,Fellsius,Fellsius Rhythm Lab Vol.1,"Fellsius

            —
            Fellsius Rhythm Lab Vol.1",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
16,chartist-ep,17,DJ Prime Cuts,Chartist EP,"DJ Prime Cuts

              —
              Chartist EP
            
              (The Trilogy Tapes)",The Trilogy Tapes,"DJ Prime Cuts gets loose and up for the dance on TTT, tying off a long loop back to Will Bankhead’s roots in late ‘90s hip hop and Mo Wax.

A jawside blast from the past for anyone who hasn’t seen the Scratch Perverts referenced in donkeys years (for a time, they felt ubiquitous in the UK), the ‘Chartist EP’ racks up six club aces built for contemporary floors by DJ Prime Cuts. Lifting from classic Miami bass and juke - but also prone to go wayward with it - the EP twists early hip hop branches and... more",/products/chartist-ep,https://assets.boomkat.com/spree/products/858405/product/5050580802322.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
17,metallurgy,18,Albino Sound,Metallurgy,"Albino Sound

            —
            Metallurgy",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
18,pachincoman,19,Boogie Man,Pachinco Man,"Boogie Man

            —
            Pachinco Man",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
19,cyclic-wavez-34fd84ed-1a82-420d-85c4-037c0b700484,20,Piezo,Cyclic Wavez,"Piezo

              —
              Cyclic Wavez
            
              (Nervous Horizon)",Nervous Horizon,"Clinically tight and pugilistic hard drum pressure by Italy’s Piezo, taking his debut bow on Nervous Horizon, a launch pad for everyone from DJ Plead to Toumba

Building on form for his native Ansia and Hundebiss, and UK labels Wisdom Teeth and 81, Milan’s Luca Mucci aka Piezo tests out five permutations of 2-step, gehttotech and dancehall science sprung with oingy boingy badness.

Tracks build in intensity from the whirring garage-techno mechanism ’Cyclic Wavez’ to the rambunctious... more",/products/cyclic-wavez-34fd84ed-1a82-420d-85c4-037c0b700484,https://assets.boomkat.com/spree/products/881550/product/5050580808997.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
20,dry-chat-wet-rag,21,Low End Activist,"Dry Chat, Wet Rag","Low End Activist

              —
              Dry Chat, Wet Rag
            
              (Sneaker Social Club)",Sneaker Social Club,"The latest from Low End Activist on Sneaker Social Club 'Dry Chat, Wet Rag'.

""Last year Low End Activist mapped out the depth and breadth of his sound with the Hostile Utopia album on Sneaker Social Club and now he returns with a fresh payload of future shock-outs from the grimy depths of his sound well. Recent times have seen LEA releases tipping towards MC guest spots but on this EP he’s turning inward with three varied, mutant workouts for soundsystem immersion. 

‘Sent West’ makes... more",/products/dry-chat-wet-rag,https://assets.boomkat.com/spree/products/890802/product/5054287498338.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
21,sansrelchegridrecords,22,Various Artists,Sans Relâche (Grid Records),"Various Artists

            —
            Sans Relâche (Grid Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
22,line001,23,Element ft. Ijahbar,Line001,"Element ft. Ijahbar

            —
            Line001",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
23,rivernile,24,Jane Bee,River Nile,"Jane Bee

            —
            River Nile",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
24,dogs-don-t-gossip,25,Kyyberwall,Dogs Don’t Gossip,"Kyyberwall

              —
              Dogs Don’t Gossip
            
              (Haunter Records)",Haunter Records,"Brooding post-industrial tribalism and junglist prang-outs by London’s Kyyberwall featuring Susu Laroche and new for Milan’s Haunter Records.

Leading on from their 2022 debut with Xquisite Releases, Kyyberwall takes their menacing bristle to Haunter with a sort of soundtrack to imaginary places populated with the ghosts of Muslimgauze, Christoph de Babalon and Moin, resonating with like-minded aesthetics and spirits of Downwards’ Nonexistant  or percussive warehouse/back... more",/products/dogs-don-t-gossip,https://assets.boomkat.com/spree/products/889386/product/5056321690708_T7_Image.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
25,illuminationspartiiiiwchrisyates,26,Memotone,Illuminations Part I-III w/ Chris Yates,"Memotone

            —
            Illuminations Part I-III w/ Chris Yates",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
26,cutsandversions,27,Ossia,Cuts And Versions,"Ossia

            —
            Cuts And Versions",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
27,signals-in-my-head,28,DJ Manny,Signals In My Head,"DJ Manny

              —
              Signals In My Head
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Footwork mainstay DJ Manny steps out from the shadows with this towering and incredibly unique cross-section of Midwestern dance styles and luv'd up R&B. Imagine a potent concoction of DJ Rashad, Carl Craig, LTJ Bukem, Janet Jackson, Timbaland, The Other People Place and Frankie Knuckles, and you'll have an idea what ""Signals in My Head"" is giving. 

Maybe the most ambitious footwork full-length we've heard since DJ Rashad's game-changing 2013 tome ""Double Cup"", Manny's first proper... more",/products/signals-in-my-head,https://assets.boomkat.com/spree/products/733069/product/5055869565967_T13_Image.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
28,looseendz,29,Tlim Shug,Loose Endz,"Tlim Shug

            —
            Loose Endz",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
29,joy-in-fear,30,goat (JP),Joy In Fear,"goat (JP)

              —
              Joy In Fear
            
              (NAKID)",NAKID,"Perhaps the tightest band in existence right now return with an astonishing new album - their first in 8 years - we ain’t talking about the Swedish psych troupe, nor the Greek metal act; but the infinitely superior Japanese goat (jp) who take the micro-precision of computer music and play it on instruments. They make a devilish display of interlocking, pointillist drums newly gelled with the addition of harmonic, 4th world woodwind, brass and texture that will completely destroy you - especially... more",/products/joy-in-fear,https://assets.boomkat.com/spree/products/917779/product/13.jpg,2420,Krikor Kouchian,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2420
