,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,the-leisure-principle,1,Otto Willberg,The Leisure Principle,"Otto Willberg

              —
              The Leisure Principle
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Otto Willberg gets it on for Oren Ambarchi’s label with a wildly singular, wickedly trippy and sensual set of fusion jams for electric bass and harmonica with simmering/beautiful melodies fucked deep in the mix - RIYL Mica Levi, Jaco Pastorius, Laurie Tompkins, chopped & screwed Primus.

The squelch and squirm is in brilliantly eccentric effect on Willberg’s rare solo outing ‘The Leisure Principle’. A perfect wildcard addition to Black Truffle’s menu, it becomes one of only a... more",/products/the-leisure-principle,https://assets.boomkat.com/spree/products/916500/product/otto_Tip23.jpg,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
1,lappoolsweatsnolabel,2,The Something Puffs,"Lap Pool Sweats, No Label","The Something Puffs

            —
            Lap Pool Sweats, No Label",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
2,trances,3,Jules Reidy,Trances,"Jules Reidy

              —
              Trances
            
              (Shelter Press)",Shelter Press,"Jules Reidy follows last year's astonishing 'World in World' for Black Truffle with two turbid sides of just intoned dream folk, using a custom-made hexaphonic electric guitar to guide meditations that crumple our perceptions of pop music. Indescribably singular, we'd say it's essential gear if you're into anything from John Fahey to Arnold Dreyblatt, Popol Vuh to Slowdive.

Last year’s 'World in World' sounded so familiar you'd swear you'd heard it before. Focus your hearing a little, however... more",/products/trances,https://assets.boomkat.com/spree/products/902532/product/cover.jpg,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
3,bloomingbison,4,Donna Candy,"Blooming, Bison","Donna Candy

            —
            Blooming, Bison",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
4,sicko-6c2f8088-630a-490c-a46c-fc08509a1713,5,Finlay Clark,Sicko,"Finlay Clark

              —
              Sicko
            
              (AD 93)",AD 93,"Outstanding solo debut by Still House Plants and Apartment House’s Finlay Clark; a spiky set of gonzoid iPhone snapshots and proper ensemble pieces spanning haunted chamber music, DIY grunge hymns and closing time, outsider, jazz blues punk howl - proper RIYL Jandek, Kurt Cobain, Mica Levi & Tirzah, Tom Waits, Laurie Tompkins.

’Sicko’ documents multi-instrumentalist Finlay Clark finding his voice after a breakdown. Making music as therapeutic process, Clark cuts right to the bone of his... more",/products/sicko-6c2f8088-630a-490c-a46c-fc08509a1713,https://assets.boomkat.com/spree/products/914216/product/4062548079807_T10_Image.jpg,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
5,fiveenglishfolksongsnolabel,6,Neil Luck & Mimi Doulton,"Five English Folk Songs, No Label","Neil Luck & Mimi Doulton

            —
            Five English Folk Songs, No Label",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
6,spring-is-coming-with-a-strawberry-in-the-mouth-rapid-eye-movements,7,Operating Theatre,Spring is Coming With A Strawberry in the Mouth / Rapid Eye Movements,"Operating Theatre

              —
              Spring is Coming With A Strawberry in the Mouth / Rapid Eye Movements
            
              (Allchival)",Allchival,"Roger Doyle's mythical 1981 debut, a Nurse With Wound-approved tape collage classic, and a handful of the Irish vanguard's best Fairlight-powered electro-pop. Essential, obviously.

Doyle composed ""Rapid Eye Movements"" when he was just 19. Inspired by the GRM set and recorded between Ireland and the Netherlands, Doyle wanted to create an audio representation of the REM sleep cycle using field recordings and improvisations. He read that during REM sleep the eyes move around... more",/products/spring-is-coming-with-a-strawberry-in-the-mouth-rapid-eye-movements,https://assets.boomkat.com/spree/products/858221/product/ACOTLPx2_Cover.jpg,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
7,the-mule-peasants-revolt-of-12-067,8,Historically Fucked,"The Mule Peasants’ Revolt of 12,067","Historically Fucked

              —
              The Mule Peasants’ Revolt of 12,067
            
              (Upset The Rhythm)",Upset The Rhythm,"Manchester’s elite free jazz/rock miscreants David Birchall, Otto Willberg, Greta Buitkuté, and Alecs Pierce howl and flail with a highly disciplined sort of skronky madness on a reprisal of styles found on their Heavy Petting label - think Mr. Bungle and Laurie Tompkins meets Diamanda Galas at Vymethoxy Redspiders’ lair

“Historically Fucked is a four way entanglement made to create short, eruptive songs and then set about obliterating them from the inside, like improvising a... more",/products/the-mule-peasants-revolt-of-12-067,https://assets.boomkat.com/spree/products/850936/product/5051142071286.jpg,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
8,shostakovich4thsymphonyemiclassics,9,Simon Rattle & CBSO,"Shostakovich 4th Symphony, EMI Classics","Simon Rattle & CBSO

            —
            Shostakovich 4th Symphony, EMI Classics",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
9,the-recordings,10,MEREDITH MONK,The Recordings,"MEREDITH MONK

              —
              The Recordings
            
              (ECM)",ECM,"Meredith Monk - The Recordings is a 13-CD limited box set edition compiling all Meredith Monk ECM New Series recordings to date, issued on the occasion of the composer and singer's 80th birthday.

""Meredith was the first singer to have a leader-date on ECM Records and has released her music with the label since Dolmen Music in 1981.

This beautifully designed box set incorporates a 300-page book reprising all original liner notes, as well as new texts and interviews. Additionally the book... more",/products/the-recordings,https://assets.boomkat.com/spree/products/839699/product/image001.jpg,2290,Laurie Tompkins,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2290
