,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,allthereleasesonbigdadathisyearrahillyayabeyh31rgaikabriannasty,1,,"all the releases on Big Dada this year: Rahill, Yaya Bey, H31R, Gaika, Brian Nasty","all the releases on Big Dada this year: Rahill, Yaya Bey, H31R, Gaika, Brian Nasty",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
1,suntub,2,ML Buch,Suntub,"ML Buch

              —
              Suntub
            
              (15 love)",15 love,"Danish producer ML Buch studies the fertile space between vintage songcraft and contemporary synthetics on 'Suntub', smudging MIDI guitar riffs and soft rock pads into acoustic instrumentation and soaring earworms. It's like Joni Mitchell's 'Hejira' or Fleetwood Mac's 'Rumours' rebuilt painstakingly by an AI-powered server farm, the edges hand-frayed into surreal, fractal patterns. A late-year contender for pop album of the year, no doubt.

As artists have spied the creeping influence of AI... more",/products/suntub,https://assets.boomkat.com/spree/products/916466/product/ML_buc_Tip23.jpg,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
2,beat-de621742-e081-4ffc-93ff-3417684525d4,3,Bowery Electric,Beat,"Bowery Electric

              —
              Beat
            
              (Kranky)",Kranky,"Bowery Electric's classic 1996 sophomore album ""Beat"" finally reissued; a hypnotic set of sampled breaks and shimmered guitar and vocal textures that split the difference between DJ Shadow and MBV.

After releasing their acclaimed self-titled debut in 1995, Bowery Electric's Lawrence Chandler and Martha Schwendener were left without a drummer after Michael Johngren's departure, and a callout for a replacement just didnt work out. In came samplers and drum machines to fill the... more",/products/beat-de621742-e081-4ffc-93ff-3417684525d4,https://assets.boomkat.com/spree/products/226646/product/original.jpg,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
3,towncryer,4,untitled (halo),towncryer,"untitled (halo)

              —
              towncryer
            
              (halocorp)",halocorp,,/products/towncryer,https://assets.boomkat.com/spree/products/901870/product/0840200598095.jpg,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
4,girlsmyprayer,5,Bored Lord,Girls/My Prayer,"Bored Lord

            —
            Girls/My Prayer",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
5,thugsrus,6,Trick Daddy,Thugs R Us,"Trick Daddy

            —
            Thugs R Us",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
6,signs-af6850a5-a8a2-46c6-8949-3a1983a5b88f,7,Purelink,Signs,"Purelink

              —
              Signs
            
              (Peak Oil)",Peak Oil,"Chicago three-piece Purelink descend on Peak Oil - the label that gave us those essential Topdown Dialectic editions -  with their most luxurious and gaseous set yet, fracturing dub techno with foggy ambience somewhere between Deepchord, Shuttle 358 and Pan American.

Formed in 2020 by Tommy Paslaski (aka Concave Reflection), Ben Paulson (aka kindtree) and Akeem Asani (aka Millia), Purelink have spent the last three years establishing themselves as players in the contemporary... more",/products/signs-af6850a5-a8a2-46c6-8949-3a1983a5b88f,https://assets.boomkat.com/spree/products/896318/product/197189346163.jpg,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
7,afsanehshirinhayedeh8persianmusic,8,Hayedeh and Mohammad-Reza Shajarian,"Afsaneh Shirin, Hayedeh 8, Persian Music","Hayedeh and Mohammad-Reza Shajarian

            —
            Afsaneh Shirin, Hayedeh 8, Persian Music",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
8,inventor-vol-1,9,DJ ZNOBIA,Inventor VOL 1,"DJ ZNOBIA

              —
              Inventor VOL 1
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Catalyst of the kuduro phenomenon, Angola’s DJ Znobia gets his long-overdue flowers with the first of a four-volume deep dive into his archive conducted by the awesome Nyege Nyege Tapes - 100% crucial for DJs/dancers feeling Príncipe stars, Nazar, M.I.A., Fever Ray

Arguably the most influential African producer of the past 30 years, Sebastião Lopes aka DJ Znobia forged the kuduro (meaning “hard ass”) sound with early versions of FruityLoops software against the backdrop of a civil... more",/products/inventor-vol-1,https://assets.boomkat.com/spree/products/889073/product/768558900974.jpg,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
9,newbeginning,10,Tracy Chapman,New Beginning,"Tracy Chapman

            —
            New Beginning",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2250,Maral,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2250
