,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,liveperformanceatcafeotonovember18th2023,1,Pat Thomas and Tyshawn Sorey duo,"Live performance at Cafe Oto, November 18th 2023","Pat Thomas and Tyshawn Sorey duo

            —
            Live performance at Cafe Oto, November 18th 2023",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
1,livesoloperformanceatfestivalmto2023,2,EVICSHEN,Live solo performance at Festival Météo 2023,"EVICSHEN

            —
            Live solo performance at Festival Météo 2023",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
2,children-of-the-forest,3,"Milford Graves, Arthur Doyle, Hugh Glover",Children of the Forest,"Milford Graves, Arthur Doyle, Hugh Glover

              —
              Children of the Forest
            
              (Black Editions)",Black Editions,"Recorded at Milford Graves' basement workshop just weeks before he dubbed his iconic 'Bäbi' LP, 'Children of the Forest' is a dizzying unreleased session from the unparalleled percussionist, featuring Arthur Doyle on tenor horn and fife, and Hugh Glover on klaxon and a Haitian trumpet. Absolutely remarkable gear for anyone into free jazz's most vital fringes.

In 1976, Graves was playing regularly as a bandleader across NYC with a reliable cast of the Loft scene's eclectic weirdos. A few... more",/products/children-of-the-forest,https://assets.boomkat.com/spree/products/879059/product/0881626002964.jpg,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
3,hypnotized-41d42c99-7e62-4ca4-b50e-a88cf25f77c7,4,DJ Manny,Hypnotized,"DJ Manny

              —
              Hypnotized
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Teklife catalyst DJ Manny returns with a typically sinuous, minimalist volley of his footwork soul in motion, starring guest chops by DJ Rashad (†), DJ Phil, and SUCIA!

Highly active since 2010, when footwork really put a vital toe in dance music’s behind, DJ Manny can be hailed a pioneer and bastion of its 2nd wave, keenly regarded for his deftest style of feet-off-the-ground aerosoul. ‘Hypnotised’ is the perfect summation of his sound in 2023, where the ghosts of classic chicago club music -... more",/products/hypnotized-41d42c99-7e62-4ca4-b50e-a88cf25f77c7,https://assets.boomkat.com/spree/products/892695/product/5056321682604_T13_Image.jpg,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
4,1-above-minus-underground,5,KOENIG,1 Above Minus Underground,"KOENIG

              —
              1 Above Minus Underground
            
              (PTP)",PTP,"Drummer, rapper, producer and multi-instrumentalist Lukas König invites a jaw-dropping list of collaborators to breath life into his skittering post-bap beats, including Moor Mother, Rojin Sharafi, Victoria Shen, Guilty Simpson, Elvin Brandhi and Dälek.

The Austria-born drummer was last spotted on Opal Tapes where he released the mindbogglingly original 'Buggering Synapsis' back in 2021. König teams up with Nik Hummer and moves to PTP for '1 Above Minus Underground' and there could... more",/products/1-above-minus-underground,https://assets.boomkat.com/spree/products/866429/product/5056321687807_T10_Image.jpg,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
5,oblique-strategies-fc86b9c1-3111-45d6-bbf5-11b00afdfae9,6,Joe McPhee / Mette Rasmussen / Dennis Tyfus,Oblique Strategies,"Joe McPhee / Mette Rasmussen / Dennis Tyfus

              —
              Oblique Strategies
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Free jazz deity Joe McPhee teams with Danish horn player Mette Rasmussen and Belgian surrealist Dennis Tyfus on this ferociously inventive 2018 Antwerp set. One for fans of Brötzmann and Bennink, Ghédelia Tazartès or Albert Ayler - ballistic, basically.

'Oblique Strategies' is so named because the trio of McPhee, Rasmussen and Tyfus aren't propelled by emulation or correlation. They make free jazz, broadly, but McPhee's post-Ayler expression is almost its own genre at this stage. And... more",/products/oblique-strategies-fc86b9c1-3111-45d6-bbf5-11b00afdfae9,https://assets.boomkat.com/spree/products/888819/product/4250101454707.jpg,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
6,fly-or-die-fly-or-die-fly-or-die-world-war,7,Jaimie Branch,"Fly or Die Fly or Die Fly or Die ((world war))
            
              (International Anthem)","Jaimie Branch

              —
              Fly or Die Fly or Die Fly or Die ((world war))
            
              (International Anthem)",,"Almost finished before Chicago' jaimie branch passed away last summer, 'Fly or Die Fly...' is the trumpet player and composer's glorious swan song, a big hearted, groove-forward celestial jazz slow burner.

'Fly or Die Fly or Die Fly or Die ((world war))' was in its final stages when branch died in July 2022. She'd composed and recorded the album with her Fly or Die ensemble during a residency at Omaha's Bemis Center for Contemporary Arts in Nebraska, and all that was left to do was... more",/products/fly-or-die-fly-or-die-fly-or-die-world-war,https://assets.boomkat.com/spree/products/878027/product/789993993307_T10_Image.jpg,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
7,coin-coin-chapter-five-in-the-garden,8,Matana Roberts,Coin Coin Chapter Five: In the garden...,"Matana Roberts

              —
              Coin Coin Chapter Five: In the garden...
            
              (Constellation)",Constellation,"Avant folk-jazz-blues visionary Matana Roberts braids American and African-American history and music in a remarkable 5th chapter to her epic, ongoing 12-part cycle - co-produced by TV on the Radio’s Kyp Malone, overseen by the spirit of Jaimie Branch (RIP), and performed by her 11-piece ensemble.

Four years since Chapter 4, NYC-based reeds player, composer/improvisor and bandleader Matana summons her consummate strengths in collaboration to spearhead a sprawling, riveting... more",/products/coin-coin-chapter-five-in-the-garden,https://assets.boomkat.com/spree/products/880290/product/666561017064.jpg,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
8,traveller-song-thanksong,9,Cassandra Miller,Traveller Song/Thanksong,"Cassandra Miller

              —
              Traveller Song/Thanksong
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"The first vinyl release from acclaimed Canadian composer Cassandra Miller, 'Traveller Song / Thanksong' is rooted in her well-established transcription process, turning a Sicilian folk song and a Beethoven composition into intimate, hierarchy-free celebrations of the human voice. Quite remarkable.

Based in London, Miller is best known for her creative examination of the transcription process, where she takes established themes and works with them until they're almost unrecognizable, buoyed... more",/products/traveller-song-thanksong,https://assets.boomkat.com/spree/products/897291/product/4250101455865.jpg,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
9,requiem-for-jazz,10,Angel Bat Dawid,Requiem for Jazz,"Angel Bat Dawid

              —
              Requiem for Jazz
            
              (International Anthem)",International Anthem,"Staggering new 12-part opus by Chicago’s jazz standard-bearer Angel Bat Dawid, advancing the vision of 2019’s ‘The Oracle’ with a compelling critique of racial politics in contemporary USA

‘Requiem for Jazz’ is a sprawling treatise on the African American story by one of jazz music’s leading protagonists and significant creative voices. Inspired in part by the dialogue of Edward O. Bland’s 1959 film ‘The Cry of Jazz’, Angel’s 2nd solo album delineates the documentary’s themes in a world, some 60... more",/products/requiem-for-jazz,https://assets.boomkat.com/spree/products/833195/product/789993992751_T25_Image.jpg,2216,Mariam Rezaei,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2216
