,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,emley-lights-us-moor,1,aya featuring Iceboy Violet,Emley lights us moor,"aya featuring Iceboy Violet

              —
              Emley lights us moor
            
              (Hyperdub)",Hyperdub,"Two of the NW/Yorkshire’s breakthru stars team up on a standout from AYA’s superb ‘im hole’ album, already bound for AOTY 2021 listings.

Minting their very own style of mutant drill/grime/wot da fuck u want to call it, ‘Emley lights us moor’ contrasts their voices between an especially quiet start from AYA, and harder bars from Iceboy, innovating in the interstices between known styles and conventions. Lowkey genius this; think Tricky meets Mykki on a faded and slanted one at Arca’s gaff. 

            more",/products/emley-lights-us-moor,https://assets.boomkat.com/spree/products/805592/product/5056321637765_T2_Image.jpg,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
1,weibsiehedasistdeinsohn,2,Exit Sense,"Weib, siehe, das ist dein Sohn","Exit Sense

            —
            Weib, siehe, das ist dein Sohn",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
2,painisreal,3,Jockstrap,Pain is Real,"Jockstrap

            —
            Pain is Real",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
3,montagemgame196,4,Limma Kaif,Montagem Game 196,"Limma Kaif

            —
            Montagem Game 196",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
4,driftspedup,5,Teejay & DJ MAC,Drift (Sped Up),"Teejay & DJ MAC

            —
            Drift (Sped Up)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
5,thisisfinegif,6,Competition,Thisisfine.Gif,"Competition

            —
            Thisisfine.Gif",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
6,soundtracktostephendwoskinsdynamo1972,7,Gavin Bryars,Soundtrack to Stephen Dwoskin’s ‘Dyn Amo’ 1972,"Gavin Bryars

            —
            Soundtrack to Stephen Dwoskin’s ‘Dyn Amo’ 1972",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
7,vibeifibackitup,8,Cookiee Kawaii,Vibe (If I Back It Up),"Cookiee Kawaii

            —
            Vibe (If I Back It Up)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
8,coulditbemagicbellversionfrom1973,9,Barry Manilow,Could It Be Magic (Bell version from 1973),"Barry Manilow

            —
            Could It Be Magic (Bell version from 1973)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
9,battlecry,10,Nino SLG,Battle Cry,"Nino SLG

            —
            Battle Cry",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2336,Mark Leckey,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2336
