,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,agriculturetheflenser,1,Agriculture,Agriculture (The Flenser),"Agriculture

            —
            Agriculture (The Flenser)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
1,tender-membranes,2,Marja Ahti,Tender Membranes,"Marja Ahti

              —
              Tender Membranes
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Finnish-Swedish electro-acoustic composer Marja Ahti takes a microscope to her environment on 'Tender Membranes', her Black Truffle debut, bringing out detail from field recordings, household sounds and surreptitious instrumentation and matching it with intimate electronics. RIYL crys cole, Francisco Lopez, Kassel Jaeger or Felicity Mangan.

There's a meditative quality to 'Tender Membranes' that's felt immediately with a sustained bell tone that's allowed to ring into near silence. Ahti sets... more",/products/tender-membranes,https://assets.boomkat.com/spree/products/894606/product/4250101456626.jpg,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
2,solopianoworksvol1wrypress,3,Allan Gilbert Balon,So Lo Piano Works Vol. 1 (Wry Press),"Allan Gilbert Balon

            —
            So Lo Piano Works Vol. 1 (Wry Press)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
3,poverty-d25d538e-3139-40a0-bcd1-7d67ca1c3cfc,4,JEFRE CANTU-LEDESMA,Poverty,"JEFRE CANTU-LEDESMA

              —
              Poverty
            
              (Disfold)",Disfold,"Jefre Cantu-Ledesma ventures into a radically discombobulated new sound with a staggering first solo album in four years - a huge RIYL Huerco via Actress. 

Since the turn of the millennium Jefre been instrumental in re-shaping the tone and spirit of the OG shoegaze template via his influential Root Strata imprint, his solo recordings and releases as part of Tarentel and The Alps, collaborations with Liz Harris (aka Grouper) as Raum, and a pair of albums with Félicia Atkinson for Shelter... more",/products/poverty-d25d538e-3139-40a0-bcd1-7d67ca1c3cfc,https://assets.boomkat.com/spree/products/860680/product/sssssover.jpg,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
4,ovaleboiledrecords,5,Lune très belle,Ovale (Boiled Records),"Lune très belle

            —
            Ovale (Boiled Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
5,szabads-a-g,6,Adela Mede,Szabads​á​g,"Adela Mede

              —
              Szabads​á​g
            
              (Adela Mede / Night School)",Adela Mede / Night School,"A quietly mesmerising work of filigree ambient-folk-pop, the debut album by Slovak-Hunagrian musician Adela Mede is a compelling addition to the energies convened by Glasgow’s Night School, recommended to anyone intrigued by the intersection of early music and contemporary exploration, or into the atmospheric blur of Cucina Povera, Antonina Nowacka, Lucy Dunscombe and Dialect.

Sung in three tongues and set to a backdrop of field recordings laced with phosphorescent details... more",/products/szabads-a-g,https://assets.boomkat.com/spree/products/856191/product/5050580778986.jpg,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
6,workshop-32,7,KASSEM MOSSE,Workshop 32,"KASSEM MOSSE

              —
              Workshop 32
            
              (WORKSHOP)",WORKSHOP,"Kassem Mosse returns with a first new album in what feels like years, brimming with deep, woodcut rhythms and a puckered jazz-house playfulness.

‘Workshop 32’ is KM'’s first solo LP, proper, since the relatively uptempo gait of 2017’s ‘Chilazon Garden’. Since then, the producer has busied himself with an album as Seltene Erden for YOUTH and work as Flights and DJ Residue for TTT, but these 10 new tracks are a return to what made him such a cult lo-fi house and techno figurehead over a... more",/products/workshop-32,https://assets.boomkat.com/spree/products/857646/product/4044693013868.jpg,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
7,koldd,8,Pretty Sneaky,Koldd,"Pretty Sneaky

              —
              Koldd
            
              (Marionette)",Marionette,"The latest from Pretty Sneaky, the anonymous project that has been quietly hiding behind a banana peel logo and self released white label 12” EPs, this time for Marionette - following outings for Mana and Meakusma.

Pretty Sneaky present a calm peach from its cult, rotating assembly of incognitos, this time recorded in collab with Marseille’s Norman Levy aka Koldd for a strong second album full of subdued atmospherics and moody intersections intended for soothing frayed... more",/products/koldd,https://assets.boomkat.com/spree/products/902726/product/a0890219804_10.jpg,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
8,hypermythorangemilk,9,Signal Quest,Hypermyth (Orange Milk),"Signal Quest

            —
            Hypermyth (Orange Milk)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
9,sending-up-a-spiral-of,10,Sydney Spann,Sending Up A Spiral Of,"Sydney Spann

              —
              Sending Up A Spiral Of
            
              (Recital)",Recital,"'Sending Up A Spiral Of' is US sound artist Sydney Spann's first vinyl release, and works as a neatly-presented introduction to their idiosyncratic catalog. Using environmental recordings, vocals, sine tones and rough, tactile sounds, Spann brings attention to the language and love of care workers, working obscure lullabies into her peculiar compositions.

Only a few seconds into the 20-minute title track of 'Sending Up A Spiral Of', it's pretty clear we're in for something special. Spann's... more",/products/sending-up-a-spiral-of,https://assets.boomkat.com/spree/products/896146/product/880918264097.jpg,2468,Matt Werth,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2468
