,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,scum-2023-remastered,1,BARK PSYCHOSIS,"SCUM 
            
              (Rolling Heads)","BARK PSYCHOSIS

              —
              SCUM (2023 Remastered)
            
              (Rolling Heads)",2023 Remastered,"One of the most low key influential and brilliant records of the 1990’s finally available in an officially sanctioned edition, remastered at Abbey Road Studios by Miles Showell with the help of frontman Graham Sutton, and featuring an additional track - ‘Mucs’ - ‘Scum’ played in reverse. 

A historic side of music, ‘Scum' was released in 1992 with a razorblade on the cover and a b side etched with angry knife cuts. It features the most beautiful, seething music you’ll likely ever come across... more",/products/scum-2023-remastered,https://assets.boomkat.com/spree/products/916390/product/5056321688606_T3_Image_Tip23.jpg,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
1,nature-morte-e85e18bc-987b-4a93-b5fe-a25ba17c9855,2,Big Brave,nature morte,"Big Brave

              —
              nature morte
            
              (Thrill Jockey)",Thrill Jockey,"nature morte from BIG|BRAVE.

""BIG|BRAVE, the elemental ensemble of guitarist/vocalist Robin Wattie, guitarist Mathieu Ball, and drummer Tasy Hudson, harness an earthen heaviness composed of distorted and textural drones, austere bombast, and Wattie’s heart-rending voice. The trio brandish sparseness and density like weapons, cast tense atmospheres with languid tempos and mutate feedback into eruptions of enveloping tempests. nature morte sharpens BIG|BRAVE’s ferocity and... more",/products/nature-morte-e85e18bc-987b-4a93-b5fe-a25ba17c9855,https://assets.boomkat.com/spree/products/859316/product/790377058062_T7_Image.jpg,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
2,theanxietyofsymmetry,3,Bill Orcutt,The Anxiety of Symmetry,"Bill Orcutt

            —
            The Anxiety of Symmetry",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
3,vices,4,Curren$y & Harry Fraud,Vices,"Curren$y & Harry Fraud

            —
            Vices",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
4,1-95bfad67-af50-4d8e-a9e8-719c1a21006e,5,First Tone,1,"First Tone

              —
              1
            
              (modemain)",modemain,"Drone alchemist Duane Pitre teams up with Belong/Second Woman's Turk Dietrich on a stunning new album of weightless symphonies for MJ Guider’s modemain label, the first in a series of archival editions planned from the duo. For those in need of mental/spiritual disentanglement, a rewarding half hour awaits, especially if you’re into Mattias Petersson's genius 'Triangular Progressions', Stars of the Lid, or Selected Ambient Works Vol II.

Longtime alternate-tuning maestro (and onetime pro... more",/products/1-95bfad67-af50-4d8e-a9e8-719c1a21006e,https://assets.boomkat.com/spree/products/911353/product/MODEM-03-1_Cover.jpg,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
5,gatheringmywits,6,Genital Shame,Gathering My Wits,"Genital Shame

            —
            Gathering My Wits",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
6,algorithm,7,HeeJin,‘Algorithm’,"HeeJin

            —
            ‘Algorithm’",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
7,meandtheglassbirds,8,Heejin Jang,Me and the Glassbirds,"Heejin Jang

            —
            Me and the Glassbirds",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
8,midnight-ontario-2381bf73-15a3-49d3-9b24-e02d53b2c9a6,9,Jessy Lanza,Midnight Ontario,"Jessy Lanza

              —
              Midnight Ontario
            
              (Hyperdub)",Hyperdub,,/products/midnight-ontario-2381bf73-15a3-49d3-9b24-e02d53b2c9a6,https://assets.boomkat.com/spree/products/870587/product/5056321681461_T3_Image.jpg,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
9,unusmunduspatet,10,Jute Gyte,Unus Mundus Patet,"Jute Gyte

            —
            Unus Mundus Patet",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2208,MJ Guider,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2208
