,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,green-a5c9f7e3-2c1c-4c4f-af7f-63778aac4bf2,1,Hiroshi Yoshimura,Green,"Hiroshi Yoshimura

              —
              Green
            
              (Light In The Attic / Light In The Attic Records)",Light In The Attic / Light In The Attic Records,"Hiroshi Yoshimura’s lesser-known 1986 followup to his 1982 milestone ‘Music For Nine Postcards’ is a wonderful thing; all naturalistic but space-agey arpeggios and melodic cascades that ooze a sense of calm, deceptively complex wonderment.

Since Maxwell August Croy and Spencer Doran’s Empire Of Signs label issued ‘Music for Nine Postcards’ back in 2017, Hiroshi Yoshimura’s body of work has mushroomed in influence, extending beyond niche circles deep into the algorithm, where his... more",/products/green-a5c9f7e3-2c1c-4c4f-af7f-63778aac4bf2,https://assets.boomkat.com/spree/products/688916/product/195081172682.jpg,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
1,ichsuchedesnachtsarchivproduktioncarlgorvin,2,Dietrich Buxtehude,"Ich Suche des Nachts (Archiv Produktion, Carl Gorvin)","Dietrich Buxtehude

            —
            Ich Suche des Nachts (Archiv Produktion, Carl Gorvin)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
2,theotherday,3,Jeff Mills,The Other Day,"Jeff Mills

            —
            The Other Day",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
3,rock-b6a8e7a5-c8d7-49eb-81d6-246e9c18f8c6,4,BERNARD PARMEGIANI,Rock,"BERNARD PARMEGIANI

              —
              Rock
            
              (Transversales Disques)",Transversales Disques,"Recorded in 1982 - first ever issue on any format! This is a missing piece of GRM legend Bernard Parmegiani’s geometric puzzle, a long-lost, little known soundtrack to a french sci fi movie of the same title, directed by Michel Treguer, and now available for the first time.

It locates Parmegiani working at his home studio concocting a richly atmospheric sound that places his fastidious appreciation of spatial dynamic and tonal detail at the service of cinematic styles perhaps closer to the output of... more",/products/rock-b6a8e7a5-c8d7-49eb-81d6-246e9c18f8c6,https://assets.boomkat.com/spree/products/451910/product/TRS01cover_obi.jpg,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
4,commodified-714c1277-7cd1-4885-8824-7ace663d2db9,5,NRSB-11 (Heinrich Müller and DJ Stingray),Commodified,"NRSB-11 (Heinrich Müller and DJ Stingray)

              —
              Commodified
            
              (Disciples)",Disciples,"Back by demand for its first reissue, Heinrich Mueller & Sherard Ingram’s sought-after, 2013 Detroit electro-techno salvo holds its own among the best in class for deep, dark, propulsive Motor City LPs

Alongside its preceding, equally brilliant ‘NRSB-11’ EP, the full course of ’Commodified’ amounts to the entirety of Gerald Donald (Heinrich Mueller, Drexciya) and Sherard Ingram’s (DJ Stingray, Urban Tribe) work together. It is hands-down one of the best album length works to emerge from... more",/products/commodified-714c1277-7cd1-4885-8824-7ace663d2db9,https://assets.boomkat.com/spree/products/909050/product/5056614708233_T13_Image.jpg,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
5,djs-di-guetto,6,DJs Di Guetto,DJs Di Guetto,"DJs Di Guetto

              —
              DJs Di Guetto
            
              (Príncipe)",Príncipe,"yeahh this is the shit, a 13 track double vinyl edition of Príncipe’s 2006 kuduro milestone, hailing the deadliest early cuts by pioneers DJ Marfox, DJ NK, DJ Jesse, DJ Nervoso, DJ Fofuxo and DJ Pausas under the DJs Di Guetto banner - 100% essential if yr into Nídia, Nazar, Adrix, Arca, Craxxxsmurf!

Originally issued on the first day of term in September, 2006, ‘DJs Di Guetto’ introduced the young Lisbon scenius surrounding DJ/producers Marfox and Nervoso, whose road-ready mutations of... more",/products/djs-di-guetto,https://assets.boomkat.com/spree/products/889745/product/P046_Cover.jpg,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
6,through-the-looking-glass-178bb0df-c5cb-4364-8aa6-724cef2db0ee,7,Midori Takada,Through The Looking Glass,"Midori Takada

              —
              Through The Looking Glass
            
              (WRWTFWW Records)",WRWTFWW Records,"For reasons that will become lysergically clear once you’ve heard the samples, Midori Takada's sublime debut album Through The Looking Glass [1983] is widely regarded the holy grail of ‘80s Japanese ambient & minimalist music. Perhaps it’s no wonder that 2nd hand copies are known to trade for over £600, and, therefore this deluxe reissue is welcomed by a whole new generation of listeners tracing this enchanted sound back to source.

Rooted in Midori Takada's fascination with Asian... more",/products/through-the-looking-glass-178bb0df-c5cb-4364-8aa6-724cef2db0ee,https://assets.boomkat.com/spree/products/409814/product/large_550_tmp_2F1485993721471-hlyr92yjw5ownsut-e43f3a8f285f8fcddfb967c9caa0605d_2Fimage001.jpg,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
7,difficult-messages,8,WOLF EYES,Difficult Messages,"WOLF EYES

              —
              Difficult Messages
            
              (Disciples)",Disciples,"Dazzlingly diverse material that locks in to Wolf Eyes' history of untethered collaboration, with a handpicked selection of belters from the long-running noise troupe's recent box of private-press 7""s. Features Aaron Dilloway, Raven Chacon, Gretchen Gonzales, Alex Moskos, and core duo Nate Young and John Olson, going full gnarr in the best way.

It's tuff to know what to expect of Wolf Eyes in 2023 and that's probably for the best. The band has been through so many personnel shifts over its... more",/products/difficult-messages,https://assets.boomkat.com/spree/products/852015/product/DISC14_Digital_Art_4000px_300dpi__FINAL_.jpg,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
8,amizade,9,Gala Drop,Amizade,"Gala Drop

              —
              Amizade
            
              (GALA DROP RECORDS)",GALA DROP RECORDS,"Amizade by Gala Drop - featuring the core duo of Afonso Simões and Nélson Gomes - now a trio, with Rui Dâmaso transitioning from II after the departure of Jerry the Cat and Guilherme Canhão. 

""Gala Drop sound even more focused as a working band, with Amizade – friendship in Portuguese – making perfect sense in a celebration of their, by now, patented soundworld of cosmic inspiration: krautrock's endless and hypnotic potential, dub's sense of transient space, the throb of house, balearic... more",/products/amizade,https://assets.boomkat.com/spree/products/892508/product/a1524873389_10.jpg,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
9,from-the-far-future-pt-3,10,Terrence Dixon,"From the Far Future, Pt. 3","Terrence Dixon

              —
              From the Far Future, Pt. 3
            
              (Tresor Records)",Tresor Records,"Detroit visionary Terrence Dixon scans stellar new horizons on the awe-inspiring 3rd chapter of his most cherished, foundational and inspiring album series.

Roughly once a decade since 2000 the pioneering Afrofuturist has offered a new landmark of deep, electronic music, and ‘From the Far Future, Pt. 3’ stakes one of 2020’s - and probably the next decade’s - leading examples of Detroit techno at its furthest, most experimental limits. This series of albums has consistently been the place to... more",/products/from-the-far-future-pt-3,https://assets.boomkat.com/spree/products/852826/product/5051142076649_2500.jpg,2245,NIAGARA,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2245
