,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,forpalestineparalaxeeditions,1,VA,For Palestine - Paralaxe Editions,"VA

            —
            For Palestine - Paralaxe Editions",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
1,napoliundercorehundebiss,2,Specchiopaura,Napoli Undercore - Hundebiss,"Specchiopaura

            —
            Napoli Undercore - Hundebiss",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
2,dhol-tasha-drum-exercises-from-maharashtra,3,DJ Smiley Bobby,Dhol Tasha Drum Exercises from Maharashtra,"DJ Smiley Bobby

              —
              Dhol Tasha Drum Exercises from Maharashtra
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Heavy-duty Indian soundsystem carnage by its leading proponent DJ Smiley Bobby, unmissable for anyone wowed by recent videos of Indian sound clashes, Bilou XIV’s transposed Senegalese mbalax, DJ Diaki’s Malian balani knee-ups, or the sort of thing Beatrice Dillon makes for the club. We’re certain this one will light up the pleasure centres of proper dancers everywhere, one of the year’s most eye-popping dance diversions…🔥

A proper bullet from Maharashtra State in Western India, DJ... more",/products/dhol-tasha-drum-exercises-from-maharashtra,https://assets.boomkat.com/spree/products/918254/product/dj-smiley_distro_preview_tip.jpg,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
3,mbe-series-009,4,Christos Chondropoulos,MBE Series 009,"Christos Chondropoulos

              —
              MBE Series 009
            
              (MBE Series)",MBE Series,"Composer and percussionist Christos Chondropoulos cues up an hour of divine folk songs and haunting instrumental performances from his Greek homeland for the collectible MBE Series that's already featured releases from Beatrice Dillon, Conor Thomas, EVOL and more.

With a focus on microtonal tunings and lesser-heard time signatures, ‘MBE009’ is perhaps closest to Beatrice Dillon’s Folkways picks for the same label, using a keenly observant and trained eye to offer a deep archival... more",/products/mbe-series-009,https://assets.boomkat.com/spree/products/871652/product/Screenshot-2023-04-24-at-14.27.42.jpg,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
4,sexta-dos-crias,5,DJ Ramon Sucesso,Sexta dos Crias,"DJ Ramon Sucesso

              —
              Sexta dos Crias
            
              (Lugar Alto)",Lugar Alto,"Unmissable, up-to-the-second funk carioca madness by viral phenom DJ Ramon Sucesso, making the leap from Rio De Janeiro and X-bombing videos to vinyl with a first physical release of his innovative, on-the-fly beat bolha blatz - RIYL Araabmuzik, DJ EZ, E+E, EVOL, Nicolas Collins

Frankly one of the most unhinged and brilliant, definitive releases of 2023, ‘Sexta Dos Crias’ unleashes a furnace blast of energy from Ramon Sucesso’s DJ controller in Baixada, out in the sprawling... more",/products/sexta-dos-crias,https://assets.boomkat.com/spree/products/916412/product/dj_ramon_Tip23.jpg,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
5,permanent-rain,6,XIII,Permanent Rain,"XIII

              —
              Permanent Rain
            
              (Knekelhuis)",Knekelhuis,"XIII hails modal electro-folk fantasias on a striking 2nd album - his debut for Dutch label Knekelhuis - akin to the mutated modes of Haunter head Heith’s PAN album, MOBBS’ redeyed downbeats, or CS + Kreme, Christos Chondropoulos and Jay Glass Dubs’ outernational explorations.

Since his first LP ‘No (The Relative effect of Explication)’ and early standouts on GoD label comps, Alessio Capovilla’s XIII has been sparing in his output, but more recently firmed his ideas on anachronistic... more",/products/permanent-rain,https://assets.boomkat.com/spree/products/905313/product/KH046.jpg,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
6,thetrilogytapes2023catalog,7,,The Trilogy Tapes 2023 Catalog,The Trilogy Tapes 2023 Catalog,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
7,panico-no-submundo,8,DJ K,PANICO NO SUBMUNDO,"DJ K

              —
              PANICO NO SUBMUNDO
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"A deafening collision of squealing, carnivalesque electronics, wrecked baile funk and psychedelic vocals, DJ K's unhinged debut album is an important document of São Paulo's burgeoning Bruxaria sound.

If you've spent any time swiping thru TikTok then you've likely heard the distorted brand of baile funk that's characterised by a clash of sirens, jackhammer beats, long delays and garbled, overlayed Brazilian voices. That's Bruxaria, a sound that emerged from Baile do Helipa, a street party... more",/products/panico-no-submundo,https://assets.boomkat.com/spree/products/882690/product/768558901339.jpg,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
8,maquissonsistm,9,,Maquis Son Sistèm,Maquis Son Sistèm,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
9,myemx1,10,,My EMX1,My EMX1,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2368,NPLGNN,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2368
