,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,trip9love,1,TIRZAH,trip9love...???,"TIRZAH

              —
              trip9love...???
            
              (Domino Recording Co)",Domino Recording Co,"Perfection from Tirzah once again with perhaps her most loosely structured and hard hitting album to date, as usual produced by Mica Levi, whose chaotic but deeply schooled energy elevates the material here to genuinely all-timer status, using weirdo reverb and doubled up vocal phasing to turn simple hooks into screwed and unforgettable earworms, surrounded by compressed, almost clipped rhythms (the same beat on every track 🤯) stretched over lilting piano motifs that’ll have u... more",/products/trip9love,https://assets.boomkat.com/spree/products/916504/product/887828051465_T12_Image_Tip23.jpg,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
1,spresso,2,"Alpha Maid, Mica Levi",spresso,"Alpha Maid, Mica Levi

              —
              spresso
            
              (Alpha Maid & Mica Levi)",Alpha Maid & Mica Levi,"Mica Levi and Alpha Maid on this new one for their newly minted eponymous imprint.

Alpha Maid's Chuckle was one of 2021’s highlights and our blurb at the time placed it in the stylistic vicinity of Mica Levi’s Ruff Dog, so yeah, we’re not massively surprised that this has come to pass.

What you get is 5 short tracks of addictive fuzz, angular and hooky in a way that’s not a million miles away from early sebadoh or even pavement in the spoken swagger of ‘Peg’. Closing track ‘Curse’ is the best thing on... more",/products/spresso,https://assets.boomkat.com/spree/products/876297/product/0840200596206.jpg,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
2,blue-car,3,JOANNE ROBERTSON,Blue Car,"JOANNE ROBERTSON

              —
              Blue Car
            
              (AD 93)",AD 93,"AD 93 jemmy the padlock off Joanne Robertson’s archive of diaristic songcraft with frankly devastating results that form her solo follow-up to ‘Painting Stupid Girls’ (2020) for Dean Blunt’s World Music label.

The Blackpool-raised songbird, guitarist and painter Joanne Robertson is among the most precious artists of her generation. Since the 2008 release of her solo debut ‘The Lighter’, produced by General Strike and This Heat’s David Cunningham, Robertson has been a regular collaborator... more",/products/blue-car,https://assets.boomkat.com/spree/products/916487/product/4062548059779_T12_Image_Tip23.jpg,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
3,corner-dancer,4,Lucy Railton,Corner Dancer,"Lucy Railton

              —
              Corner Dancer
            
              (Modern Love)",Modern Love,"Lucy Railton completely upends parameters and expectations with a genius, multifaceted and uncompromisingly forward-facing new album, her second for Modern Love. Blurring distinctions between structured composition and more visceral modes of performance, ’Corner Dancer’ is full of bristling, charged energies, dissolving into sections of almost incomprehensible beauty. It’s one of the most quietly radical albums of the year, required listening if you’re into Maryanne Amacher, HTRK... more",/products/corner-dancer,https://assets.boomkat.com/spree/products/916458/product/Lucy_Railton_Tip23.jpg,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
4,drunken-love,5,Elvin Brandhi & Lord Spikeheart,Drunken Love,"Elvin Brandhi & Lord Spikeheart

              —
              Drunken Love
            
              (Hakuna Kulala)",Hakuna Kulala,"Unhinged cybergrind industrial gristle from Duma's Lord Spikeheart and nomadic serial collaborator Elvin Brandhi. Wild, ritualistic and loud as fuck, 'Drunken Love' is like Napalm Death, Arca, Slikback and Machine Girl twisted together into a stream-of-consciousness blast. Deranged, in the best way.

Electroid death metal duo Duma have been carving out their own niche for the last few years, channeling divergent influences into a cacophonous whirr of breakneck hardstyle drums and guttural... more",/products/drunken-love,https://assets.boomkat.com/spree/products/887380/product/768558901254.jpg,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
5,necesseestnumquamrevelarestercoremtuum,6,Luciano Maggiore & Michael Speers,necesse est numquam revelare stercorem tuum,"Luciano Maggiore & Michael Speers

            —
            necesse est numquam revelare stercorem tuum",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
6,clocked-off,7,Moin,Clocked Off,"Moin

              —
              Clocked Off
            
              (AD 93)",AD 93,"One up to their adored ‘Paste’ LP, Moin are really just showing off on this new EP of jazz-instructed hardcore punk skronk - arguably their tightest yet, and the first to feature a credited vocal, by Fritz Welch of Peeesseye

‘Clocked Off’ sounds out Moin’s sinuously muscular and agile styles on four acutely contrasting variations of their mutable swerve. Hingeing, as ever, around Valentina Magaletti’s pugilistic percussion and Tom Halstead’s agitated but in-the-pocket basslines, Joe Andrews fires... more",/products/clocked-off,https://assets.boomkat.com/spree/products/874386/product/4062548063516_T5_Image.jpg,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
7,a-grisaille-wedding,8,Rainy Miller & Space Afrika,A Grisaille Wedding,"Rainy Miller & Space Afrika

              —
              A Grisaille Wedding
            
              (Fixed Abode)",Fixed Abode,"Space Afrika and Rainy Miller mesh traces of burnt trip-hop, concrète ambience and industrialised drill on their debut collaborative full-length, offering an idiosyncratic, historically seasoned silhouette of the urban sprawl. Featuring Voice Actor, Mica Levi, Iceboy Violet, Coby Sey, Richie Culver, RenzNiro and bobbieorkid.

Preston's Rainy Miller and Manchester-Berlin duo Space Afrika have long circled each other, so it was inevitable that their sounds would collide at some point. And they took the... more",/products/a-grisaille-wedding,https://assets.boomkat.com/spree/products/908183/product/cover.jpg,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
8,acollectionofsongsinthetraditionalseannsstyle,9,Nyahh Records,A Collection of Songs in the Traditional & Sean-Nós Style,"Nyahh Records

            —
            A Collection of Songs in the Traditional & Sean-Nós Style",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
9,an424,10,Trá Pháidín,An 424,"Trá Pháidín

            —
            An 424",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2402,Olan Monk,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2402
