,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,searchlight-moonbeam,1,Time is Away,Searchlight Moonbeam,"Time is Away

              —
              Searchlight Moonbeam
            
              (Efficient Space)",Efficient Space,"Jack Rollo & Elaine Tierney, aka Time is Away, take the reins from master reissue/compilation makers Efficient Space for a far-flung carousel of cuts from worlds old and new, hailing morsels by likes of John Cassavetes, Chen Ming Chang, Slapp Happy, Simon Fisher Turner and Delphine Dora in their usual/ inspirational dream-within-a-dream style.

‘Searchlight Moonbeam’ leads on from the acclaimed DJ tag team’s ‘Ballads’, and a succession of NTS shows, into meta-autumnal landscapes that... more",/products/searchlight-moonbeam,https://assets.boomkat.com/spree/products/917387/product/8.jpg,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
1,northern-luv-songs-4-wen-ur-life-s-a-mess,2,Rat Heart Ensemble,Northern Luv Songs 4 Wen Ur Life’s A Mess,"Rat Heart Ensemble

              —
              Northern Luv Songs 4 Wen Ur Life’s A Mess
            
              (Shotta Tapes)",Shotta Tapes,"‘Northern Luv Songs 4 Wen Ur Life’s A Mess’ truly scrubs out the bowels of Tom Boogizm's emotional plumbing, chopping and screwing dream pop, narcotic improv and freeform DIY echoes into a fuzzy and utterly bewitching opus that’s essential listening if yr into anything from Durutti Column to Vincent Gallo, Andrew Chalk to Arthur Russell.

Last year's ‘A Blues’, our album of the year, switched from Rat Heart’s usual scuzzed club mode into a slow-motion reflection pool of love and loss. Using... more",/products/northern-luv-songs-4-wen-ur-life-s-a-mess,https://assets.boomkat.com/spree/products/864520/product/STD004_Cover.jpg,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
2,anhonestmealequiknoxxmusic,3,Unkle G / Gavsborg,An Honest Meal (Equiknoxx Music),"Unkle G / Gavsborg

            —
            An Honest Meal (Equiknoxx Music)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
3,only-voices-vol-2,4,Only Voices,Only Voices Vol 2,"Only Voices

              —
              Only Voices Vol 2
            
              (DDS)",DDS,"Second spellbinding volume in this vocal-only series of mixtapes sourced, selected and assembled by Simon Gabriel of Manhattan’s infamous 2 Bridges, and brought to you via Demdike Stare’s DDS label. This one’s on an elevated tip; all spirituals, incantations and folk songs spanning several decades, continents and mindsets, essential listening for anyone in perpetual pursuit of the special stuff.

Simon Gabriel once again opens a portal into the furthest reaches of his record collection to explore... more",/products/only-voices-vol-2,https://assets.boomkat.com/spree/products/889783/product/DDS061_Distribution_Template_V2.jpg,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
4,only-voices-vol-1,5,Only Voices,Only Voices Vol 1,"Only Voices

              —
              Only Voices Vol 1
            
              (DDS)",DDS,"Myriad tongues enchant from every corner and across the ages on a special one from Demdike Stare’s DDS label; the first in a series of vocal-only mixtapes reaped from 25+ years of record collecting by NYC’s Simon Gabriel of 2 Bridges fame.

Spanning seven continents, Only Voices Vol.1 speaks to its compiler’s personal research via a plurality of languages, accents, styles and patterns. Drawing on decades immured in NYC’s contemporary art scene, digging its book and record shops, and even... more",/products/only-voices-vol-1,https://assets.boomkat.com/spree/products/868796/product/Preview.jpg,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
5,feed-forward-2023-boxed-set,6,SANDWELL DISTRICT,"Feed Forward 
            
              (Point Of Departure)","SANDWELL DISTRICT

              —
              Feed Forward (2023 Boxed Set)
            
              (Point Of Departure)",2023 Boxed Set,"Sandwell District’s sole album returns to cries of relief/disbelief from all those who missed out on the blink ’n miss original pressing in 2010, which now trades for a week’s rent.

‘Feed Forward’ was the pinnacle and swansong of a near decade-long run from the label co-op of Karl O’Connor (Regis), Juan Mendez (Silent Servant), Dave Sumner (Function) and Peter Sutton (Female). Presented under their collective moniker, the 11 track album definitively outlined their strength in numbers and... more",/products/feed-forward-2023-boxed-set,https://assets.boomkat.com/spree/products/876726/product/5400863098407.jpg,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
6,sounds-of-north-american-frogs,7,Charles M. Bogert,Sounds of North American Frogs,"Charles M. Bogert

              —
              Sounds of North American Frogs
            
              (Smithsonian Folkways)",Smithsonian Folkways,"One of the most enduring releases on the Folkways label, 'Sounds of North American Frogs' was originally released in 1958, and collects sounds from 57 species of frogs and toads, each couched by Charles M. Bogert's soothing narrative. Remastered from the original tapes, it's an absolute delight that's finally been reissues for the first time in almost 7 decades.

On 'Sounds of North American Frogs', herpetologist Charles M. Bogert demystifies his particular frog chorus by introducing each... more",/products/sounds-of-north-american-frogs,https://assets.boomkat.com/spree/products/910235/product/FW06166.jpg,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
7,berceuse-heroique-tape,8,Concentric Circles,Berceuse Heroique Tape,"Concentric Circles

              —
              Berceuse Heroique Tape
            
              (Berceuse Heroique)",Berceuse Heroique,"Jed Bindeman aka Concentric Circles is a force to be reckoned with; one of the brightest minds operating in and around the reissue/archival industrial complex, responsible for some of the wildest music from the margins we’ve come across over the last few (many) years. His credentials are tight as hell - as co-owner of Portland, Oregon's beloved Little Axe Records store, co-runner of Freedom To Spend (alongside Pete Swanson), and Grouper’s bandmate in Helen - the dude knows his shit... more",/products/berceuse-heroique-tape,https://assets.boomkat.com/spree/products/914817/product/BHT004.jpg,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
8,exit-simulation,9,Niecy Blues,Exit Simulation,"Niecy Blues

              —
              Exit Simulation
            
              (Kranky)",Kranky,"‘Exit Simulation’ is the startling debut from South Carolina's Heather Sinclair aka Niecy Blues, who makes a dramatic entrance using the language of ambient, trip-hop and dream pop to ink her own signature on gospel, R&B and melancholy soul. One of the most convincing debut albums in recent memory, consider it essential listening if you're into KeiyaA, Grouper, Erykah Badu, Dawuna, or Kelela.

Sinclair spent her childhood in the confines of a religious cult in Oklahoma, and on 'Exit... more",/products/exit-simulation,https://assets.boomkat.com/spree/products/916478/product/Niecy-Blues_Tip23.jpg,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
9,music-for-the-radical-xenomaniac-vol-1-hedonistic-highlights-from-the-lowlands-1990-1999,10,Various Artists,"Music For The Radical Xenomaniac Vol. 1 
            
              (Amazing!)","Various Artists

              —
              Music For The Radical Xenomaniac Vol. 1 (Hedonistic Highlights From The Lowlands 1990 - 1999)
            
              (Amazing!)",Hedonistic Highlights From The Lowlands 1990 - 1999,"The legendary, gurny allure of ‘90s house from The Netherlands is spotlighted by Rush Hour co-founder Christiaan MacDonald and radio host Arne Visser in a generous 3 x volume compilation series studded with goodies

Embracing the golden years 1990-1999, ‘Music For The Radical Xenomaniac’ offers a guided tour of the underground classics which soundtracked The Lowlands’ hedonistic halcyon era, and what made it distinct to parallel scenes in the US, Germany, Belgium and the UK. Loosely... more",/products/music-for-the-radical-xenomaniac-vol-1-hedonistic-highlights-from-the-lowlands-1990-1999,https://assets.boomkat.com/spree/products/898415/product/a4120492616_10.jpg,2433,Owen Kiernan,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2433
