,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,spiralepswarm,1,Sasha Scott,Spiral EP | Swarm,"Sasha Scott

            —
            Spiral EP | Swarm",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
1,whitecocaine,2,A.I.M feat. Benji Smalls,White Cocaine,"A.I.M feat. Benji Smalls

            —
            White Cocaine",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
2,babyfacerayflow,3,GMBFED,Babyface Ray Flow,"GMBFED

            —
            Babyface Ray Flow",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
3,thenightshift,4,Larry June & Cardo,The Night Shift,"Larry June & Cardo

            —
            The Night Shift",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
4,cropcircle3,5,Nines,Crop Circle 3,"Nines

            —
            Crop Circle 3",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
5,beenone,6,Rylo Rodriguez,Been One,"Rylo Rodriguez

            —
            Been One",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
6,4godi,7,Rob49,4 GOD I,"Rob49

            —
            4 GOD I",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
7,toquei-no-sol,8,Marlene Ribeiro,Toquei no Sol,"Marlene Ribeiro

              —
              Toquei no Sol
            
              (Rocket Recordings)",Rocket Recordings,"Gnod bassist and collaborator of Valentina Magaletti and Thurston Moore, Marlene Ribeiro heads into the West on a sublime first LP of dream-pop and psych-folk under her own name - RIYL Panda Bear, Pocahaunted, Elaine Howley, Niagara, Julia Holter.

A decade since grabbing our hearts with two psych-dub-pop LPs as Negra Branca for Gnod’s Tesla Tapes and Michael Holland’s Ono, the six songs of ‘Toquei no Sol’ draw on Marlene Ribeiro’s time spent between farms in Ireland and Wales, her... more",/products/toquei-no-sol,https://assets.boomkat.com/spree/products/847460/product/5056321641526_T7_Image.jpg,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
8,yinyangtapesspringseason,9,Suicide Boys,Yin Yang Tapes (Spring Season),"Suicide Boys

            —
            Yin Yang Tapes (Spring Season)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
9,kitchenlights,10,Westside Gunn,Kitchen Lights,"Westside Gunn

            —
            Kitchen Lights",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2206,Rat Heart,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2206
