,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,weld,1,Kinlaw,WELD,"Kinlaw

            —
            WELD",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
1,ahistoryofpunishment,2,Witches of Malibu,A history of punishment,"Witches of Malibu

            —
            A history of punishment",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
2,departureswondersandtears,3,Florence Sinclair,"Departures, wonders and tears","Florence Sinclair

            —
            Departures, wonders and tears",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
3,distresssignals,4,Controlled bleeding,Distress signals,"Controlled bleeding

            —
            Distress signals",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
4,suicidesouvenir,5,Something Vile,Suicide Souvenir,"Something Vile

            —
            Suicide Souvenir",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
5,a-grisaille-wedding,6,Rainy Miller & Space Afrika,A Grisaille Wedding,"Rainy Miller & Space Afrika

              —
              A Grisaille Wedding
            
              (Fixed Abode)",Fixed Abode,"Space Afrika and Rainy Miller mesh traces of burnt trip-hop, concrète ambience and industrialised drill on their debut collaborative full-length, offering an idiosyncratic, historically seasoned silhouette of the urban sprawl. Featuring Voice Actor, Mica Levi, Iceboy Violet, Coby Sey, Richie Culver, RenzNiro and bobbieorkid.

Preston's Rainy Miller and Manchester-Berlin duo Space Afrika have long circled each other, so it was inevitable that their sounds would collide at some point. And they took the... more",/products/a-grisaille-wedding,https://assets.boomkat.com/spree/products/908183/product/cover.jpg,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
6,strengthtostrength,7,K-Trap and Headie One,Strength To Strength,"K-Trap and Headie One

            —
            Strength To Strength",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
7,dadnoise,8,Urine Cop,Dad noise,"Urine Cop

            —
            Dad noise",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
8,noonewillmournyourdeparture,9,En Nihil,No One Will Mourn Your Departure,"En Nihil

            —
            No One Will Mourn Your Departure",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
9,thegriever,10,Destiny’s Cemetery,The Griever,"Destiny’s Cemetery

            —
            The Griever",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2207,Richie Culver,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2207
