,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,mixcds,1,Airbnd,mix CDs,"Airbnd

            —
            mix CDs",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
1,untitled-2fca3c51-8c29-44fe-a6b2-266ccfe7953b,2,Бassae,Untitled,"Бassae

              —
              Untitled
            
              (Few Crackles)",Few Crackles,"Enigmatic, shapeshifting entity, Bassæ rejoins Glasgow’s Few Crackles with a 2nd Untitled number, this time on 12” after a sold-out 7” and the label’s cult ‘Riddims’ mixtape boxset.

Working in a shadowy space to our ears between Orphan Fairytale, Ectoplasm Girls and the mutant eastern European folk/electronic audities plucked out by Stroom; Bassæ’s 2nd release in no less full of intrigue and timeless allure. Continuing a track sequencing from the 7”, she glides from the dainty stepper ‘C’ to... more",/products/untitled-2fca3c51-8c29-44fe-a6b2-266ccfe7953b,https://assets.boomkat.com/spree/products/867816/product/FC04_Cover.jpg,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
2,beautifulonedayperfectthenextavecherinkabmallacootacbikeridetothelibrarydfrissonregionalbearsbandcampcomtrackbeautifulonedayperfectthenextavecherinkabmallacootacbikeridetothelibrarydfrisson,3,Christian Mirande,"Beautiful One Day, Perfect The Next a) Vecherinka b) Mallacoota c) Bike Ride To The Library d) Frisson (regionalbears.bandcamp.com/track/beautiful-one-day-perfect-the-next-a-vecherinka-b-mallacoota-c-bike-ride-to-the-library-d-frisson)","Christian Mirande

            —
            Beautiful One Day, Perfect The Next a) Vecherinka b) Mallacoota c) Bike Ride To The Library d) Frisson (regionalbears.bandcamp.com/track/beautiful-one-day-perfect-the-next-a-vecherinka-b-mallacoota-c-bike-ride-to-the-library-d-frisson)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
3,pianopiecesallnightflightrecordscomcollectionsfrontpageproductscolletteroperpianopieces1,4,Collette Roper,Piano Pieces (allnightflightrecords.com/collections/front-page/products/collette-roper-piano-pieces-1),"Collette Roper

            —
            Piano Pieces (allnightflightrecords.com/collections/front-page/products/collette-roper-piano-pieces-1)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
4,cynderstan,5,Gus Cantor,Cynderstan,"Gus Cantor

              —
              Cynderstan
            
              (Lost Domain)",Lost Domain,,/products/cynderstan,https://assets.boomkat.com/spree/products/891904/product/5056321644299_T5_Image.jpg,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
5,not-a-dream-but-a-controlled-explosion,6,Iceboy Violet,Not a Dream But a Controlled Explosion,"Iceboy Violet

              —
              Not a Dream But a Controlled Explosion
            
              (Fixed Abode)",Fixed Abode,"Iceboy Violet mutates drill rap and ambient noise with heavy inspo from desire and fantasy- a sureshot RIYL Rainy Miller, AYA, Blackhaine, Elvin Brandhi, Visionist.

The eminently watchable Iceboy fully takes control of proceedings on ‘Not a Dream But a Controlled Explosion’, following up 2022’s ‘The Vanity Project’, as produced by Nick León, Space Afrika, Jennifer Walton, AYA and others, with their truest self-portrait yet. Entirely self-produced, written and performed by Iceboy, the eight songs... more",/products/not-a-dream-but-a-controlled-explosion,https://assets.boomkat.com/spree/products/889473/product/198554-iceboy-violet-not-a-dream-but-a.jpg,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
6,lived-i,7,Leo,lived I,"Leo

              —
              lived I
            
              (Self Released)",Self Released,"Youth and $hotta alum Leo returns with a radical abstraction of his sound, pounding grimey blueprints into minimalist, wigged out dimensions on a similar trajectory to SND/Mark Fell x Errorsmith, gradually building into more fully formed and swung dembow patterns.

‘Lived I’ showcases Leo’s current working practice in action during one of the monthly Test Card A/V sessions in the basement of Manchester’s best new book and record shop, O! Peste Destroyed. The A-side is a straight from... more",/products/lived-i,https://assets.boomkat.com/spree/products/897948/product/cover.jpg,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
7,bown-fcf23ebf-09f9-4a0f-ac7f-36d1f9dc51e3,8,Mariam Rezaei,BOWN,"Mariam Rezaei

              —
              BOWN
            
              (Heat Crimes)",Heat Crimes,"Turntablist and composer Mariam Rezaei completes her ambitious, pithy triptych with 'BOWN', her debut for the Heat Crimes imprint. Flipping the concept of turntable-based music on its head, she fractures free jazz, noise, death drone and operatic fragments into a broken tangle of spinbacks, pitchbends, loping rhythms and perverted side-eyes. Featuring collaborations with Teresa Winter, Luka Koenig, Alya Al-Sultani, Bobby Glue and Gwily Edmondez, it's crucial listening for anyone into Maria... more",/products/bown-fcf23ebf-09f9-4a0f-ac7f-36d1f9dc51e3,https://assets.boomkat.com/spree/products/916877/product/tip.jpeg,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
8,love-and-death-the-five-chandeliers-of-the-funereal-exorcisms,9,Marina Zispin,Life And Death - The Five Chandeliers Of The Funereal Exorcisms,"Marina Zispin

              —
              Life And Death - The Five Chandeliers Of The Funereal Exorcisms
            
              (Night School)",Night School,"Bianca Scout follows an exceptionally screwed choral/downbeat album earlier this year with a total stylistic swerve into doe-eyed, all-hooks synthpop nostalgia on a new alias and album for the cats at Night School, highly recommended if you’re into Chromatics/classic IDIB, Sally Shapiro or Jessy Lanza.

Triple threat dancer/songwriter/performer Bianca Scout has collaborated with everyone from Space Afrika to Ben Vince and Alice Glass in recent years, and brings a classic... more",/products/love-and-death-the-five-chandeliers-of-the-funereal-exorcisms,https://assets.boomkat.com/spree/products/896065/product/LSSN088_Cover.jpg,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
9,chandelle,10,Megabasse,Chandelle,"Megabasse

            —
            Chandelle",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
10,peacepipetapes,11,Peace Pipe,Peace Pipe tapes,"Peace Pipe

            —
            Peace Pipe tapes",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
11,somethingonyourmindrpowerbirthdaybandcampcomalbumsomethingonyourmind,12,R power birthday,Something on your mind (rpowerbirthday.bandcamp.com/album/something-on-your-mind),"R power birthday

            —
            Something on your mind (rpowerbirthday.bandcamp.com/album/something-on-your-mind)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
12,transilvania-smile,13,Svitlana Nianio,"Transilvania Smile, 1994","Svitlana Nianio

              —
              Transilvania Smile, 1994
            
              (Shukai)",Shukai,"Svitlana Nianio's 1994 masterpiece 'Transylvania Smile' is one of her earliest solo recordings, unreleased - in this final form - until now. Melting traditional Ukranian folk with piano and harmonium improvisations, Nianio pre-empts later wyrd folk developments with a charmed suite that connects outsider forest folk with layered vocal drones and choral motifs to captivating, heart-stopping effect.

Nianio cut her teeth founding the Ukrainian avant outfit Cukor Bila Smert who gained notoriety for... more",/products/transilvania-smile,https://assets.boomkat.com/spree/products/897664/product/SHUKAI8.jpg,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
13,proserpine,14,Teresa Winter,Proserpine,"Teresa Winter

              —
              Proserpine
            
              (Night School)",Night School,"Teresa Winter hails ancient, classical and metaphysical worlds on her stunning debut album for Night School, her most cohesive statement of blissed intent to date. Deep, atmospheric music, it comes highly recommended if you’re into Cosey Fanni Tutti, Annea Lockwood, Kate Bush, Ana Roxanne, Aaron Dilloway.

‘Proserpine’ finds Winter shedding the skewed club tropes that defined her albums for The Death of Rave and instead zoom into the more ambiguous, atmospheric aspects we first... more",/products/proserpine,https://assets.boomkat.com/spree/products/916453/product/LSSN086_Cover_Tip23.jpg,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
14,thisishowiwinterritorialgobbingbandcampcomtrackthisishowiwin,15,Territorial Gobbing,This is how I win (territorialgobbing.bandcamp.com/track/this-is-how-i-win),"Territorial Gobbing

            —
            This is how I win (territorialgobbing.bandcamp.com/track/this-is-how-i-win)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
15,searchlight-moonbeam,16,Time is Away,Searchlight Moonbeam,"Time is Away

              —
              Searchlight Moonbeam
            
              (Efficient Space)",Efficient Space,"Jack Rollo & Elaine Tierney, aka Time is Away, take the reins from master reissue/compilation makers Efficient Space for a far-flung carousel of cuts from worlds old and new, hailing morsels by likes of John Cassavetes, Chen Ming Chang, Slapp Happy, Simon Fisher Turner and Delphine Dora in their usual/ inspirational dream-within-a-dream style.

‘Searchlight Moonbeam’ leads on from the acclaimed DJ tag team’s ‘Ballads’, and a succession of NTS shows, into meta-autumnal landscapes that... more",/products/searchlight-moonbeam,https://assets.boomkat.com/spree/products/917387/product/8.jpg,2306,Rosa Methol,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2306
