,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,voirdirealctancressida,1,Earl & Alchemist,Voir Dire (ALC / Tan Cressida),"Earl & Alchemist

            —
            Voir Dire (ALC / Tan Cressida)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
1,andthenyouprayformegriselda,2,Westside Gunn,And then you pray for me (Griselda),"Westside Gunn

            —
            And then you pray for me (Griselda)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
2,getupwithitcolumbia,3,Miles Davis,Get up with it (Columbia),"Miles Davis

            —
            Get up with it (Columbia)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
3,makesomeroomepic,4,Sade,make some room (epic),"Sade

            —
            make some room (epic)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
4,computerised-dub,5,Prince Jammy,Computerised Dub,"Prince Jammy

              —
              Computerised Dub
            
              (Greensleeves)",Greensleeves,"Re-issue of the 1986 album Prince Jammy's Computerised Dub. 

""Musicians were Steelie & Clevie, the Super Power All-Stars and Wayne Smith - produced and arranged by Prince Jammy, recorded & mixed at Prince Jammy's Studio.

Artwork by Tony McDermott, who was also in charge for the legendary Scientist Greensleeves albums.""

            more",/products/computerised-dub,https://assets.boomkat.com/spree/products/787694/product/190772-prince-jammy-s-computerised-dub.jpg,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
5,trip9love,6,TIRZAH,trip9love...???,"TIRZAH

              —
              trip9love...???
            
              (Domino Recording Co)",Domino Recording Co,"Perfection from Tirzah once again with perhaps her most loosely structured and hard hitting album to date, as usual produced by Mica Levi, whose chaotic but deeply schooled energy elevates the material here to genuinely all-timer status, using weirdo reverb and doubled up vocal phasing to turn simple hooks into screwed and unforgettable earworms, surrounded by compressed, almost clipped rhythms (the same beat on every track 🤯) stretched over lilting piano motifs that’ll have u... more",/products/trip9love,https://assets.boomkat.com/spree/products/916504/product/887828051465_T12_Image_Tip23.jpg,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
6,komybandcamp,7,ZULI,Komy (bandcamp),"ZULI

            —
            Komy (bandcamp)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
7,nite-mode-vol-2,8,Michael J.Blood x Rat Heart,Nite Mode Vol. 2,"Michael J.Blood x Rat Heart

              —
              Nite Mode Vol. 2
            
              (BodyTronixxx)",BodyTronixxx,"Punk soul boys Michael J.Blood and Rat Heart stoke up the SP-404 and the mic for a follow-up to 2022’s sought-after first Nite Mode volume, doubling down on its brand of smashed R&B romance in a way that feels primed for long summer nights.

The MVPs don their silk smoking jackets, trackies and slippers for a properly greazy, hour-long suite of smudged and screwed beatdown laced with aching original vocals and oodles of slanted soul. Going on like Rezzett with a thang for the afters, they’re... more",/products/nite-mode-vol-2,https://assets.boomkat.com/spree/products/872273/product/BTXLP02_Cover.jpg,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
8,intrudercharisma,9,Peter Gabriel,Intruder (Charisma),"Peter Gabriel

            —
            Intruder (Charisma)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
9,2521poolemusic,10,Jake Meginsky,2521 (Poole Music),"Jake Meginsky

            —
            2521 (Poole Music)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2256,SDEM,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2256
