,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,fleur-de-chagrin,1,Le Diable Degoutant,Fleur De Chagrin,"Le Diable Degoutant

              —
              Fleur De Chagrin 
            
              (Aguirre)",Aguirre,"Enchantingly oddball debut LP of psych-folksy dream cartography inspired by traditions of Brittany and beyond, from Pauline Marx (née La Fureur de Vouivre) as Le Diable Degoutant - RIYL Roxane Metayer, Oï Les Ox, Teresa Winter, Natural Snow Buildings

“Pauline Marx, formerly of the fantastic duo La Fureur de Vouivre, seems like a being from another time and place; namely, an escaped marauder lurking in the forests of a Bruegel painting and integrating the surreal flora and fauna of a... more",/products/fleur-de-chagrin,https://assets.boomkat.com/spree/products/853346/product/a2073070614_10.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
1,oga-for-oga,2,Loopsel,Öga for Öga,"Loopsel

              —
              Öga for Öga
            
              (DFA Records)",DFA Records,"Öga for Öga by Loopsel on DFA Records.

""Like a dream foggily remembered, Loopsel’s Öga for Öga is tempting in its beauty yet slightly menacing in its depth. These songs, like paths in the forest forest, are heavily, almost treacherously, reverberated, with finger-plucked guitars acting as your signposts amongst the flora and fauna of field recordings, pads, and the cool, calm voice of Elin Engström.

The album is the second from Engström as Loopsel. She is a Gothenburg-based musician and... more",/products/oga-for-oga,https://assets.boomkat.com/spree/products/858216/product/829732000139.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
2,marjaa-the-battle-of-the-hotels,3,Mayssa Jallad,Marjaa: The Battle Of The Hotels,"Mayssa Jallad

              —
              Marjaa: The Battle Of The Hotels
            
              (Six of Swords / RUPTURED)",Six of Swords / RUPTURED,"Marjaa: The Battle of the Hotels is a concept album born of the idea of merging singer & songwriter Mayssa Jallad’s two vocations: music and urban research/architectural history. 

""Written in collaboration with producer Fadi Tabbal, the music builds upon Tabbal’s spatial approach to sound and Jallad’s research on Beirut’s Hotel District. The album is a reference to Jallad’s Historic Preservation master's thesis, in which she detailed the history of the “Battle of the Hotels”, a... more",/products/marjaa-the-battle-of-the-hotels,https://assets.boomkat.com/spree/products/853520/product/5056321655974_T13_Image.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
3,coin-coin-chapter-five-in-the-garden,4,Matana Roberts,Coin Coin Chapter Five: In the garden...,"Matana Roberts

              —
              Coin Coin Chapter Five: In the garden...
            
              (Constellation)",Constellation,"Avant folk-jazz-blues visionary Matana Roberts braids American and African-American history and music in a remarkable 5th chapter to her epic, ongoing 12-part cycle - co-produced by TV on the Radio’s Kyp Malone, overseen by the spirit of Jaimie Branch (RIP), and performed by her 11-piece ensemble.

Four years since Chapter 4, NYC-based reeds player, composer/improvisor and bandleader Matana summons her consummate strengths in collaboration to spearhead a sprawling, riveting... more",/products/coin-coin-chapter-five-in-the-garden,https://assets.boomkat.com/spree/products/880290/product/666561017064.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
4,aykathani-malakon,5,SANAM,Aykathani Malakon صنم - أيقظني ملاكٌ,"SANAM

              —
              Aykathani Malakon صنم - أيقظني ملاكٌ
            
              (Mais Um)",Mais Um,"Beirut-based freeform psych troupe SANAM make a convincing racket on their debut album, fusing Egyptian traditional songs with a heady tonic of free jazz, acid rock and DIY noise. Seriously ecstatic gear! RIYL Jerusalem in my Heart, Senyawa or A Silver Mt. Zion.

The first element to catch our attention on 'Aykathani Malakon' is Sandy Chamoun's bewitching vocal performance, that wraps itself around Farah Kaddour's buzuk and Pascal Semerdjian's clattering percussion on the title track. The... more",/products/aykathani-malakon,https://assets.boomkat.com/spree/products/886950/product/5050580803909.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
5,trances,6,Jules Reidy,Trances,"Jules Reidy

              —
              Trances
            
              (Shelter Press)",Shelter Press,"Jules Reidy follows last year's astonishing 'World in World' for Black Truffle with two turbid sides of just intoned dream folk, using a custom-made hexaphonic electric guitar to guide meditations that crumple our perceptions of pop music. Indescribably singular, we'd say it's essential gear if you're into anything from John Fahey to Arnold Dreyblatt, Popol Vuh to Slowdive.

Last year’s 'World in World' sounded so familiar you'd swear you'd heard it before. Focus your hearing a little, however... more",/products/trances,https://assets.boomkat.com/spree/products/902532/product/cover.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
6,cycles-of-tonight,7,Maths Balance Volumes,Cycles of Tonight,"Maths Balance Volumes

              —
              Cycles of Tonight
            
              (Penultimate Press)",Penultimate Press,"Minnesota three-piece Maths Balance Volumes continue to dumbfound with this extraordinarily eccentric new set, collaging Smithsonian Folkways scratchiness, Broadcast-level hauntology and free folk anarchy into tattered experiments that usher us towards a parallel history. Brilliant, viscerally affecting gear; RIYL Heather Leigh, Islaja, Steven R. Smith, Graham Lambkin or Voice Actor.

Back in 2020, Maths Balance Volumes summarized a turbulent time with 'A Year Closer', an album... more",/products/cycles-of-tonight,https://assets.boomkat.com/spree/products/913706/product/5056688812416_T12_Image.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
7,mirage-fm,8,patten,Mirage FM,"patten

              —
              Mirage FM
            
              (555-5555)",555-5555,"patten attempts to beat the algorithm into submission on his thought provoking new album, the first to be constructed entirely from text-to-audio AI-generated sound sources. It sounds like hearing a musical fever dream filtered through YouTube as your internet connection splutters to a halt.

On 'Mirage FM', patten rides the zeitgeist like its a tamed stallion, fashioning a musique concrète beat tape out of AI-rendered fragments that wheeze with algorithmic charm. It doesn't always work, but it... more",/products/mirage-fm,https://assets.boomkat.com/spree/products/858950/product/cover.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
8,workshop-32,9,KASSEM MOSSE,Workshop 32,"KASSEM MOSSE

              —
              Workshop 32
            
              (WORKSHOP)",WORKSHOP,"Kassem Mosse returns with a first new album in what feels like years, brimming with deep, woodcut rhythms and a puckered jazz-house playfulness.

‘Workshop 32’ is KM'’s first solo LP, proper, since the relatively uptempo gait of 2017’s ‘Chilazon Garden’. Since then, the producer has busied himself with an album as Seltene Erden for YOUTH and work as Flights and DJ Residue for TTT, but these 10 new tracks are a return to what made him such a cult lo-fi house and techno figurehead over a... more",/products/workshop-32,https://assets.boomkat.com/spree/products/857646/product/4044693013868.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
9,waillee-waillee,10,dorothy carter,Waillee Waillee,"dorothy carter

              —
              Waillee Waillee
            
              (Palto Flats)",Palto Flats,"STUNNNNNING re-issue of American psaltry master and folk troubadour Dorothy Carter's little-known 1978 masterpiece 'Waillee Waillee’, a joint release between Palto Flats & Putojefe Records. A Laraaji and Neubauten collaborator who set a new standard at the intersection of medieval music and psych folk, Dorothy Carter infused her research into Celtic and Appalachian traditions with a giddy, almost subversive forward motion, reaching ethereal heights that are a total revelation to hear almost... more",/products/waillee-waillee,https://assets.boomkat.com/spree/products/916414/product/dorothy_carter_Tip23.jpg,2390,Six Of Swords (Marcus Thorne + Dave Howell),2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2390
