,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dyingofeverything,1,Obituary,Dying of Everything,"Obituary

            —
            Dying of Everything",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
1,infurnace,2,Kepla,In Furnace,"Kepla

            —
            In Furnace",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
2,trances,3,Jules Reidy,Trances,"Jules Reidy

              —
              Trances
            
              (Shelter Press)",Shelter Press,"Jules Reidy follows last year's astonishing 'World in World' for Black Truffle with two turbid sides of just intoned dream folk, using a custom-made hexaphonic electric guitar to guide meditations that crumple our perceptions of pop music. Indescribably singular, we'd say it's essential gear if you're into anything from John Fahey to Arnold Dreyblatt, Popol Vuh to Slowdive.

Last year’s 'World in World' sounded so familiar you'd swear you'd heard it before. Focus your hearing a little, however... more",/products/trances,https://assets.boomkat.com/spree/products/902532/product/cover.jpg,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
3,liveatso36berlin,4,The Obsessed / Eyehategod,Live at SO36 Berlin,"The Obsessed / Eyehategod

            —
            Live at SO36 Berlin",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
4,liveathydepark,5,Lana Del Rey,Live at Hyde Park,"Lana Del Rey

            —
            Live at Hyde Park",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
5,d-e-twat,6,HiTech,DÉTWAT,"HiTech

              —
              DÉTWAT
            
              (FXHE Records)",FXHE Records,"Detroit’s most thrilling unit chase one of 2022’s hottest debuts (and our number 3 album of the year, 2022) with a hard second album starring Fullbodydurag, Dastardly Kids, QuikKash, Link Sinatra and more.

Helmed by King Milo & Milf Melly,, Hi Tech epitomise the early 2020s sound of jit/ghetto-tech/rap from the Motor City. ‘Détwat’ is their awesome follow-up to ’22s eponymous debut, shelling 12 tracks, half an hour, of quick, soulful, and rugged club musics that feed forward the 313’s unique... more",/products/d-e-twat,https://assets.boomkat.com/spree/products/886184/product/a2897533324_10.jpg,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
6,dje,7,Chuquimamani-Condori,DJ E,"Chuquimamani-Condori

            —
            DJ E",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
7,liveberlin,8,Honour,Live Berlin,"Honour

            —
            Live Berlin",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
8,ihearanewworldcover,9,Slauson Malone,I hear a new world cover,"Slauson Malone

            —
            I hear a new world cover",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
9,retaliationaestheticsliveinhannover,10,Rump State,Retaliation Aesthetics/ live in Hannover,"Rump State

            —
            Retaliation Aesthetics/ live in Hannover",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2443,Steven Warwick,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2443
