,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,subtlebody,1,Anna Wise,Subtle Body,"Anna Wise

            —
            Subtle Body",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
1,basin,2,Rocheman,Basin,"Rocheman

            —
            Basin",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
2,fake-sleep,3,VOICE ACTOR,Fake Sleep,"VOICE ACTOR

              —
              Fake Sleep
            
              (STROOM)",STROOM,"Remember that insane 110 track album from Voice Actor, our number 2 Album of The Year 2022 and one of the most impressive debuts of recent years? We've been asked constantly if there was gonna be a physical edition and - finally - here it is, a 16 track version compiled by Voice Actor and Stroom, complete with updated versions of familiar tracks plus 3 brand new songs. If you've no clue what/who we're talking about and yr into anything from Hype Williams to Broadcast, Dean Blunt to Donna... more",/products/fake-sleep,https://assets.boomkat.com/spree/products/899589/product/STRLP070.jpg,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
3,punkt-4da61a05-a9c3-4bbc-ab8c-c48b99cad808,4,Bar Italia,punkt,"Bar Italia

              —
              punkt
            
              (Matador)",Matador,,/products/punkt-4da61a05-a9c3-4bbc-ab8c-c48b99cad808,https://assets.boomkat.com/spree/products/870287/product/191401196352_T2_Image.jpg,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
4,follower,5,Canty,Follower,"Canty

            —
            Follower",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
5,qwerty,6,Saya Gray,QWERTY,"Saya Gray

            —
            QWERTY",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
6,meant-like-this,7,Rezzett,Meant Like This,"Rezzett

              —
              Meant Like This
            
              (The Trilogy Tapes)",The Trilogy Tapes,"TTT’s scuzzy rave dream team Lukid & Tapes reprise Rezzett duties for the label’s wickedly ruffneck 100th release - unmissable crud for acolytes of Actress, Rat Heart, Lee Gamble, Demdike Stare, Jamal Moss

Label MVPs since 2013’s introductory Rezzett EP, the duo have become emblematic of rave music’s mutant noisy patch over the past decade with a string of 12”s that led to their acclaimed, eponymous album in 2018. ‘Meant Like This’ makes up five years of near radio-silence with a reliably... more",/products/meant-like-this,https://assets.boomkat.com/spree/products/870758/product/5050580795563.jpg,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
7,suono-assente,8,"V/Z, Valentina Magaletti and Zongamin",Suono Assente,"V/Z, Valentina Magaletti and Zongamin

              —
              Suono Assente
            
              (AD 93)",AD 93,"Unstoppable percussionist Valentina Magaletti pairs with dub scientist Zongamin on 'Suono Assente' for an unruly run of ragged dream-pop-post-punk steppers, featuring appearances from Venus Ex Machina, Coby Sey and Cathy Lucas. RIYL 4AD, Les Disques du Crépuscule, Stroom.

Remember Zongamin? As a solo artist, Susumu Mukai appeared back in the early 2000s and dropped a slew of influential 12""s on labels like Kitsuné and Ed Banger, rounding it out with a self-titled... more",/products/suono-assente,https://assets.boomkat.com/spree/products/872243/product/4062548062205_T9_Image.jpg,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
8,lahai,9,Sampha,Lahai,"Sampha

              —
              Lahai
            
              (Young)",Young,"Sampha's return after six years is as tidy and quietly soul-searching as you'd hope after the success of 'Process', sporting contributions from Yaeji, Laura Groves, Yussef Dayes, Léa Sen, KOKOROKO's Sheila Maurice-Grey, El Guincho, Black Midi's Morgan Simpson, Kwake Bass and French duo Ibeyi.

There's a lightness to Sampha's music that allows him to approach complex themes and personal trauma without breaking a sweat. Despite the acclaim he accrued after releasing his debut album in... more",/products/lahai,https://assets.boomkat.com/spree/products/907933/product/889030031259_T15_Image.jpg,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
9,radio-red,10,Laura Groves,Radio Red,"Laura Groves

              —
              Radio Red
            
              (Bella Union)",Bella Union,"Immaculately crackling the FM dial between late Cocteau Twins, 'Rumours'-era Fleetwood Mac and Kate Bush, Laura Groves' latest full-length is a nostalgic pop delight that'll tickle anyone into Dean Hurley & Gloria Endres de Oliveira's 'Oceans of Time', Marissa Nadler or Angel Olsen.

Bradford-born singer-songwriter Laura Groves was signed to XL and recorded as Blue Roses, went independent and recorded a run of material with Nathan Jenkins (aka Bullion), and then signed to Bella Union -... more",/products/radio-red,https://assets.boomkat.com/spree/products/892691/product/5400863091040.jpg,2362,Tic Zogson,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2362
