,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,theweightoftheworld,1,Syzy,The weight of the world,"Syzy

            —
            The weight of the world",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
1,lipflip,2,aya,lip flip,"aya

            —
            lip flip",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
2,hd5b947aa2e3630fab87809e0a271af1af4c85fc21,3,ATOM TM,HD,"ATOM TM

              —
              HD
            
              (raster-noton)",raster-noton,"1080i electro-pop genius from the indomitable Uwe Schmidt aka Atom ™. 

Veering sharp right from the resplendent neo-classicism of 'Winterresise' and the lobby vibes of 'Grand Blue', he's obviously having a lot of fun with 'HD', shaping up as some of the poppiest material since his last Señor Coconut outing. The sound design is, expectedly, second-to-none, but more importantly his playful sense of humour and knack for a choon are in full effect, whether he's taking on The Who's 'My... more",/products/hd5b947aa2e3630fab87809e0a271af1af4c85fc21,https://assets.boomkat.com/spree/products/109369/product/r-m147-2-hd.jpg,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
3,bouq,4,Blawan,BouQ,"Blawan

              —
              BouQ
            
              (XL Recordings)",XL Recordings,"Tech-noise bezzerker Blawan on a proper mad one with his 3rd EP of rambunctious club experiments for XL

The four trax of ‘BouQ’ follow the dizzying lines of acclaimed 2023 EP ‘Dismantled Into Juice’ farther along a noise-spannered slant on techno functions, disrupted with grimacing twists of techno-pop and barely-hinged atonal distortion and squirming swivel. Blawan’s dual backgrounds as drummer and manacled modular synth experimenter dovetail to purpose as big room dynamos:... more",/products/bouq,https://assets.boomkat.com/spree/products/970102/product/191404149843_T5_Image.jpg,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
4,wanting-less,5,mu tate,wanting less,"mu tate

              —
              wanting less
            
              (Warm Winters Ltd.)",Warm Winters Ltd.,"Following a run of blissed 'n dubbed plates for 3XL and Utter, Mu Tate descends on Warm Winters with a low-lit suite of jazz-tinged, bass-heavy weightless psychedelia - essential listening for fans of Huerco S., Malibu, early Space Afrika...

Not exactly beatless and not quite ambient, Strekalov's latest full-length dilates his influences - from breathy jazz to fringe club styles - emphasizing the fine, filigree details without losing the pulse. On opener 'your host', vanishing rhythms flicker into... more",/products/wanting-less,https://assets.boomkat.com/spree/products/954332/product/5050580830615.jpg,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
5,dudda,6,RYUKO,dudda,"RYUKO

            —
            dudda",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
6,zenjitsutan,7,Yuko Araki,Zenjitsutan 前​日​譚,"Yuko Araki

              —
              Zenjitsutan 前​日​譚
            
              (Room 40)",Room 40,"Unadulterated furnace blast noise in the Japanese tradition by Yuko Araki, who also known to lend her chops to black metal unit Concierto de la Familia

“The album title, ”Zenjitsutan - 前日譚” means prequel in Japanese. This is the 0 (Zero) of my numbered album series.

In the beginning of my solo project, I performed long-form noise drone sets inspired by local noise gigs in Japan. As soon as after starting it in late 2017, a label discovered me, and many DIY noise labels asked me for releases. I... more",/products/zenjitsutan,https://assets.boomkat.com/spree/products/947409/product/198588678701.jpg,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
7,sensor-ec001a20-edc2-4fa4-b812-7c76ebe46bcf,8,Golin,sensor,"Golin

              —
              sensor
            
              (Golin)",Golin,,/products/sensor-ec001a20-edc2-4fa4-b812-7c76ebe46bcf,https://assets.boomkat.com/spree/products/970314/product/0840200589383.jpg,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
8,artificialbouquet,9,Frail body,artificial bouquet,"Frail body

            —
            artificial bouquet",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
9,naya-3595838d-10cf-4d3a-8b9b-25cdaf900e3c,10,Dawuna,Naya,"Dawuna

              —
              Naya
            
              (Sun Royalle)",Sun Royalle,"After quietly releasing one of the definitive debut albums of the 2020’s so far with ‘Glass Lit Dream’, Ian Mugerwa aka Dawuna returns with a further re-imagining of R&B that nods to Prince's genius Black-album era productions, and especially his high-pitched Camille alter ego, as well as Jai Paul’s effortlessly scrappy pop perfection - and so much more beside that, linking emotional contradictions and troubled narratives with production and vox that feel primal in their emotional register. High... more",/products/naya-3595838d-10cf-4d3a-8b9b-25cdaf900e3c,https://assets.boomkat.com/spree/products/964290/product/0840200588959.jpg,2687,96 Back,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2687
