,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,leave-another-day,1,Milan W.,Leave Another Day,"Milan W.

              —
              Leave Another Day
            
              (STROOM)",STROOM,"Our Album Of The Year, 2024 🥀 ✨

Milan Warmoeskerken sends us deep into the realms of full earworm-holing obsession on this genius, instant classic entry to the pantheon of timeless, swoonsome diamonds - all daydreamy, hydroponic pastoralism to soundtrack urbane yearnings with a heavy nostalgic/80’s lilt that places it somewhere between Felt, HTRK, CS + Kreme, early The Verve, Eyeless In Gaza, Les Disques Du Crépuscule, aspects of early The The, Enno Velthuys, or the most... more",/products/leave-another-day,https://assets.boomkat.com/spree/products/946656/product/W-Milan_distribution_preview.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
1,spectral-evolution,2,RAFAEL TORAL,Spectral Evolution,"RAFAEL TORAL

              —
              Spectral Evolution
            
              (Moikai)",Moikai,"The first release on Jim O'Rourke's legendary Moikai imprint in over two decades, 'Spectral Evolution' is a defining statement from Portuguese vanguard Rafael Toral, an album of subtly orchestral, jazz-inspired guitar music that's been slowed to a vertiginous crawl. Using his arsenal of hand-made synths to sing like birds around stretched, steel-wound drones, he evokes Bach, Loren Connors, Gavin Bryars and Rhys Chatham on a longform piece full of conventional chord progressions and... more",/products/spectral-evolution,https://assets.boomkat.com/spree/products/939368/product/781484901426.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
2,tristwch-y-fenywod,3,Tristwch y Fenywod,Tristwch y Fenywod,"Tristwch y Fenywod

              —
              Tristwch y Fenywod
            
              (Night School)",Night School,"An utterly addictive masterpiece of Welsh-sung queer goth folk, the debut recording by Gwretsien Ferch Lisbeth (Guttersnipe, The Ephemeron Loop), Leila Lygad (Hawthonn) and Sidni Sarffwraig (Slaylor Moon, The Courtneys) is among this decade’s most bewitching albums, bar none - unmissable for fans of Cranes, Dead Can Dance, Svitlana Nianio, Cocteau Twins' 'Head Over Heels', The Cure's 'The Top' era.

Under a handle translating to ‘The Sadness of Women’, Tristwch Y Fenywod... more",/products/tristwch-y-fenywod,https://assets.boomkat.com/spree/products/942990/product/Distribution_Preview_Tristwch-y-Fenywod_copy.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
3,great-doubt,4,Astrid Sonne,Great Doubt,"Astrid Sonne

              —
              Great Doubt
            
              (ESCHO)",ESCHO,"Danish composer Astrid Sonne opens up her heart on 'Great Doubt', singing candidly for the first time over powdery beats and jerky instrumentation (assisted by none other than Slauson Malone, Ben Vince, Levitation Orchestra's Emma Barnaby and Alvilda Reiter Jakobsen), and even referencing Mariah Carey. It's a revelation - and funny in places too - properly in line with Tirzah, ML Buch and HTRK.

We almost didn't recognize Sonne when we first spun 'Great Doubt'. Her voice - not her viola... more",/products/great-doubt,https://assets.boomkat.com/spree/products/923000/product/a0636007346_10.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
4,diamond-jubilee-4ded0054-8acb-4340-b091-4fbcd3f633e1,5,Cindy Lee,Diamond Jubilee,"Cindy Lee

              —
              Diamond Jubilee
            
              (W.25TH)",W.25TH,"Bursting at the seams with ideas and mushy emotionality, Cindy Lee's hypnagogic 2-hour magnum opus has quite rightly been touted as one of the best albums of the year - if not the decade. Ex-Women frontperson Patrick Flegel's vision of rock 'n roll is anachronistically nostalgic, an oily tincture of vintage psych, dilated funk and ghosted girl group pop that stews in its heartbreaking sincerity. Urgent listening for fans of Jessica Pratt, Brian Wilson, The Walker Brothers, U.S. Girls or Karen... more",/products/diamond-jubilee-4ded0054-8acb-4340-b091-4fbcd3f633e1,https://assets.boomkat.com/spree/products/963386/product/W25-18_web_1024x1024.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
5,marked-b8149367-d87b-4468-b3d2-9737ed1eff73,6,Klein,Marked,"Klein

              —
              Marked
            
              (Parkwuud Entertainment)",Parkwuud Entertainment,"‘marked' is a time-shifted labyrinth of buzzsaw metal riffs and igneous shoegaze noise, unrestrained and utterly unhinged, it's Klein's inaugural concrète doom excursion - completely singular, of course, but if yr into Dreamcrusher, Botswana's Wrust, Darkthrone, Mica Levi, The Ephemeron Loop, or Geng’s chopped & screwed tribute to Black Sabbath, you’ll have some sense of what’s what. 

Once again leaning into that sharpened intuition, Klein upends expectations with a record of hard guitar... more",/products/marked-b8149367-d87b-4468-b3d2-9737ed1eff73,https://assets.boomkat.com/spree/products/944482/product/cover.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
6,a-soft-and-gatherable-star,7,Jabu,A Soft and Gatherable Star,"Jabu

              —
              A Soft and Gatherable Star
            
              (do you have peace?)",do you have peace?,"Jabu take a big leap skyward on a gorgeous new album of hazed dreampop and burnished bass inspired by classic Cocteau Twins via A.R. Kane - essential listening for fans of HTRK, Rat Heart Ensemble, YL Hooi.

Launching with a dampened crash and slo-mo thuds, 'Oceanside Spider House' is the ideal re-introduction to the Bristol trio of Amos Childs, Alex Rendall and Jasmine Butt, who built a cult following for their blown-out, hypnagogic dub diffractions on 2017's 'Sleep Heavy' for Blackest... more",/products/a-soft-and-gatherable-star,https://assets.boomkat.com/spree/products/960165/product/Distribution_Template_Jabu.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
7,if-i-don-t-make-it-i-love-u,8,Still House Plants,"If I don't make it, I love u","Still House Plants

              —
              If I don't make it, I love u
            
              (Bison Records)",Bison Records,"Genuinely smart art school rock is hard to come by, but Still House Plants make it sound easy, welding subtly R&B-inflected vocals to fractured, free jazz-cum-post rock drums and Shellac-strength axe acrobatics on their incredible third album. Genius, just a bit.

There was a moment during post-rock's evolution when it felt as if the jazz influence that had been simmering in the background since the Talk Talk days was about to bubble over. Tortoise were making firmer connections with Chicago's... more",/products/if-i-don-t-make-it-i-love-u,https://assets.boomkat.com/spree/products/925177/product/5056688817176_T12_Image.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
8,estradas,9,Nídia & Valentina,Estradas,"Nídia & Valentina

              —
              Estradas
            
              (LATENCY)",LATENCY,"Príncipe’s MVP meets preeminent polymath Valentina Magaletti at 100% slay levels on their debut collaboration - a swingeing, rudely disciplined dervish of machine made and hand-played kudurhythmelody, firmed up with additional production from Tom Halstead (Moin/Raime).

‘Estradas’ is a stunning consolidation of distinctive musical vernaculars developed by Afro-Portuguese dynamo, Nídia, and tempestuous spar, Valentina Magaletti. Stitched together in post production by the latter’s... more",/products/estradas,https://assets.boomkat.com/spree/products/948511/product/LATENCY026_Cover.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
9,seven-reorganisations,10,Beatrice Dillon,Seven Reorganisations,"Beatrice Dillon

              —
              Seven Reorganisations
            
              (Hi)",Hi,"Beatrice Dillon mints her new label with  her first entirely acoustic work, performed by Explore Ensemble and commissioned by Mark Fell. Stunning, major work, RIYL CC Hennix, John Cage, Pascale Criton, Helmut Lachenmann, Morton Feldman.

The naturally open-ended navigation of themes in Seven Reorganisations is exemplary of an artist whose thoughtfully considered catalogue is hailed among the most notable in modern experimental music. Beatrice Dillon’s first entirely acoustic... more",/products/seven-reorganisations,https://assets.boomkat.com/spree/products/960968/product/Distribution_Preview_Beatrice_Dillon-1.jpg,2689,Albums Of The Year,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2689
