,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,liverope,1,Swans,Live Rope,"Swans

            —
            Live Rope",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
1,reflections-vol-2-black-decelerant,2,"Black Decelerant, Contour & Omari Jazz",Reflections Vol. 2: Black Decelerant,"Black Decelerant, Contour & Omari Jazz

              —
              Reflections Vol. 2: Black Decelerant
            
              (RVNG Intl.)",RVNG Intl.,"Black Decelerant’s Khari Lucas (Contour, Niecy Blues) and Omari Jazz effortlessly and poetically smudge spiritual jazz to intoxicating, vaporous ambient arrangements on the 2nd in RVNG Intl.’s new collaborative series - RIYL Laurel Halo’s ‘Atlas’, KMRU, Wayne Phoenix.

Following the lead of Steve Gunn & David Moore’s initial Reflections volume, Khari Lucas & Omari Jazz join ‘Reflections’ (the successor to RVNG’s collaborative series, ‘FRKWYS’) with a lushly spirited, sanguine salvo that meditates... more",/products/reflections-vol-2-black-decelerant,https://assets.boomkat.com/spree/products/928201/product/747742385834.jpg,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
2,waterdreams,3,Thea Grant,Water & Dreams,"Thea Grant

            —
            Water & Dreams",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
3,to-all-trains-3229d05a-4d2a-4d7d-8958-0ab9ebeac0f2,4,shellac,To All Trains,"shellac

              —
              To All Trains
            
              (Touch and Go Records)",Touch and Go Records,"Long-running post-hardcore/noise-rock heroes Shellac bow out with their explosive sixth studio album; their first in ten years, it's a angular, technical, lyrical whirlwind packed with sharp asides, buzzsaw riffs and fuzzed-out nods to the US rock 'n roll canon. 

When Steve Albini died of a heart attack earlier in May, Shellac were only ten days away from releasing 'To All Trains'. The idiosyncratic engineer, guitarist, singer and songwriter left behind a catalogue that's helped maintain the pebbly... more",/products/to-all-trains-3229d05a-4d2a-4d7d-8958-0ab9ebeac0f2,https://assets.boomkat.com/spree/products/938630/product/036172114450.jpg,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
4,the-way-out-of-easy,5,"Jeff Parker and ETA IVtet featuring Anna Butterss, Jay Bellerose and Josh Johnson",The Way Out of Easy,"Jeff Parker and ETA IVtet featuring Anna Butterss, Jay Bellerose and Josh Johnson

              —
              The Way Out of Easy
            
              (International Anthem)",International Anthem,"Recorded at LA's recently shuttered ETA, 'The Way Out of Easy' is a celebration of iconic guitarist Jeff Parker's seven year residency alongside Anna Butterss, Jay Bellerose and Josh Johnson, touching on the weekly sessions' transcendent, groove-fwd hybridity with canny nods to post-rock, kosmische, hip-hop and dub.

For decades at this point, Parker has been restlessly innovating both as a soloist and a keen collaborator, working with formative post-rock outfits like Isotope 217... more",/products/the-way-out-of-easy,https://assets.boomkat.com/spree/products/969177/product/789993995028_T5_Image.jpg,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
5,the-carnegie-hall-concert-f1206cec-3099-48f6-ab8d-03f71672e3cb,6,ALICE COLTRANE,The Carnegie Hall Concert,"ALICE COLTRANE

              —
              The Carnegie Hall Concert
            
              (Verve)",Verve,"Officially issued in its 80 minute entirety for first time: Alice Coltrane’s enrapturing performance at Carnegie Hall, NYC in 1971 documents the legendary cosmic and spiritual jazz catalyst joined by an all-star ensemble; Pharoah Sanders, Archie Sheep, Jimmy Garrison, Cecil McBee. Ed Blackwell and others from her late husband’s band.

Not every day that a cosmic jazz mindblower returns to orbit, but then again there’s a lunar eclipse this week… First partially surfacing unofficially in 2018... more",/products/the-carnegie-hall-concert-f1206cec-3099-48f6-ab8d-03f71672e3cb,https://assets.boomkat.com/spree/products/927400/product/CS1001286-01A-BIG.jpg,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
6,no-more-apocalypse-father,7,WE ARE WINTER’S BLUE AND RADIANT CHILDREN,"""NO MORE APOCALYPSE FATHER""","WE ARE WINTER’S BLUE AND RADIANT CHILDREN

              —
              ""NO MORE APOCALYPSE FATHER""
            
              (Constellation)",Constellation,"Godspeed's Efrim Manuel Menuck, Big Brave's Mat Ball and Ada's Jonathan Downs and Patch One join forces for a suite of queasy electronic lullabies and gruff, brick-wall distortions.

The original sketches for 'NO MORE APOCALYPSE FATHER' were written by Menuck and Ball during a particularly harsh Montréal winter, intended to warm the cockles as the ice forms outside. Once they'd finished their outlines, they called up Downs and Patch to build the ideas into fully-fledged compositions... more",/products/no-more-apocalypse-father,https://assets.boomkat.com/spree/products/939624/product/666561018061.jpg,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
7,relativemotion,8,Tristan Disco,Relative Motion,"Tristan Disco

            —
            Relative Motion",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
8,,9,Gran Guignol,グランギニヨル,"Gran Guignol

            —
            グランギニヨル",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
9,natur-c5a20c23-96ae-46be-abdb-ecca196e8bc2,10,KMRU,Natur,"KMRU

              —
              Natur
            
              (Touch)",Touch,"KMRU's most visceral and satisfying full-length, 'Natur' is a departure from his more pastoral, drone-based work, tweaking invisible electromagnetic squeals and rumbles into searing noisescapes and evocative orchestral moans. Seriously elevated gear, essential listening for anyone into Christina Kubisch, Fennesz or Kassel Jaeger.

When he was working on 'Natur' back in 2022, KMRU found himself hung up on the difference in noise between Berlin where he now lives, and Nairobi... more",/products/natur-c5a20c23-96ae-46be-abdb-ecca196e8bc2,https://assets.boomkat.com/spree/products/935802/product/5050580819405.jpg,2680,Andrew Hargreaves,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2680
