,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,incoldbloodmusicfromthefilmscorecomposedandconductedby,1,Quincy Jones,In Cold Blood (music from the film score composed and conducted by),"Quincy Jones

            —
            In Cold Blood (music from the film score composed and conducted by)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
1,nosferatu-original-motion-picture-soundtrack,2,Robin Carolan,"Nosferatu 
            
              (Sacred Bones Records)","Robin Carolan

              —
              Nosferatu (Original Motion Picture Soundtrack)
            
              (Sacred Bones Records)",Original Motion Picture Soundtrack,"Robin Carolan's soundtrack for Robert Eggers hotly anticipated Nosferatu adaptation.

""Robin Carolan’s latest soundtrack for Robert Eggers’ highly anticipated Nosferatu is a haunting, gothic-infused and meticulously crafted work that draws from a vast palette of sounds, instruments, and inspirations. Following their successful collaboration on The Northman, Carolan reunites with Eggers to bring the legendary tale of Nosferatu to life, infusing the film with a score that is as complex and... more",/products/nosferatu-original-motion-picture-soundtrack,https://assets.boomkat.com/spree/products/963689/product/nosferatu-flat.jpg,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
2,luccellodallepiumedicristallocolonnasonoraoriginaledelfilm,3,Ennio Morricone,L'Uccello Dalle Piume Di Cristallo (colonna sonora originale del film),"Ennio Morricone

            —
            L'Uccello Dalle Piume Di Cristallo (colonna sonora originale del film)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
3,your-truth-is-a-lie,4,Eros,Your Truth is a Lie,"Eros

              —
              Your Truth is a Lie
            
              (Downwards)",Downwards,"Frontman-mode Regis is our favourite Regis, here with full gothic, angular swagger surrounded by noted cohorts Boris Wilsdorf (Einstürzende Neubauten) and Liam Andrews (My Disco) on a starker, sexier, and more expansive debut album proper that's heavily oriented to ritualist late night consumption and tipped for all Neubauten, Suicide, late TG and Silent Servant fiends.

Again joined by Anni Hogan on keys, and recorded at Berlin’s hallowed andereBaustelle by Boris Wilsdorf, ‘Your Truth is... more",/products/your-truth-is-a-lie,https://assets.boomkat.com/spree/products/951515/product/8718723265652.jpg,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
4,cut-to-black-11a7aa97-738d-42db-8736-fefd6a8c2370,5,BARRY ADAMSON,Cut To Black,"BARRY ADAMSON

              —
              Cut To Black
            
              (Barry Adamson Inc)",Barry Adamson Inc,"Inspirational Moss Side prodigy Barry Adamson saddles up his first studio album in nearly a decade, paying homage to classic soul, pop, rock, and jazz in a singular style that has been summoned by everyone from Nick Cave to David Lynch over his illustrious career

Barry Adamson is a living legend whose oeuvre snakes from Magazine and Visage in the punk and new wave era, thru three years as a Bad Seed, to his landmark ’89 debut ‘Moss Side Story’, to lending music to Lynch and Jarman film... more",/products/cut-to-black-11a7aa97-738d-42db-8736-fefd6a8c2370,https://assets.boomkat.com/spree/products/930184/product/BAILP1_COVER.jpg,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
5,buchla-concerts-1975,6,Suzanne Ciani,Buchla Concerts 1975,"Suzanne Ciani

              —
              Buchla Concerts 1975
            
              (Finders Keepers Records)",Finders Keepers Records,"Finders Keepers come up roses again with dazzling, never-before-heard live documentation of two Buchla 200 concerts recorded in 1975 by Suzanne Ciani. Rightly heralded as “a distinctive feminine alternative to The Silver Apples of the Moon”. The words “Holy Grail” and “revolutionary” spring to mind! Remarkable stuff for any synth fetishists or historians of the future. 

“This spring Finders Keepers Records are proud to release an archival project that not only redefines musical history... more",/products/buchla-concerts-1975,https://assets.boomkat.com/spree/products/372300/product/5060099506475_T29089422100054.jpg,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
6,diamandagalsinconcert,7,Diamanda Galás,Diamanda Galás In Concert,"Diamanda Galás

            —
            Diamanda Galás In Concert",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
7,the-collective-3d6ecd6a-b73e-4346-91dc-8c2b835daf87,8,Kim Gordon,The Collective,"Kim Gordon

              —
              The Collective
            
              (Matador)",Matador,"With over four decades of relentless reinvention and innovation under her belt, Kim Gordon embraces failure on her mind-boggling latest solo LP, rapping and groaning over industrialized, hybrid trap beats that push so far into the red they almost disintegrate. Where a lesser presence could have let that production dominate, Gordon is always the total focus of our attention, the rhythm - as sick as it is - functions almost like a stock backing track, such is her shine. Essential gear.

We should have... more",/products/the-collective-3d6ecd6a-b73e-4346-91dc-8c2b835daf87,https://assets.boomkat.com/spree/products/927858/product/191401202954_T12_Image.jpg,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
8,a-2nd-shape,9,The Wolfgang Press,A 2nd Shape,"The Wolfgang Press

              —
              A 2nd Shape
            
              (Downwards)",Downwards,"Cult 4AD post-punk legends The Wolfgang Press make an unexpected return with a first studio album in almost three decades, and it's a doozy. Returning to the grim soundscapes and twitchy post-punk mood of their earliest, edgiest material, they sound fully invigorated and at home on Karl O'Connor's Downwards, who has been a fan since the band's earliest material in 1983.

Formed from the ashes of Rema-Rema and Mass in the early '80s, The Wolfgang Press were originally a trio of bassist... more",/products/a-2nd-shape,https://assets.boomkat.com/spree/products/941549/product/8718723259804.jpg,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
9,onthewaterfrontoriginalmotionpicturesoundtrack,10,Leonard Bernstein,On The Waterfront (original motion picture soundtrack),"Leonard Bernstein

            —
            On The Waterfront (original motion picture soundtrack)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
10,lawrenceofarabiafilmmusiccomposedbymauricejarre,11,The Strand Pops Orchestra,Lawrence Of Arabia (film music composed by Maurice Jarre),"The Strand Pops Orchestra

            —
            Lawrence Of Arabia (film music composed by Maurice Jarre)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2636,Annie Hogan,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2636
