,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,here-in-the-pitch,1,Jessica Pratt,Here in the Pitch,"Jessica Pratt

              —
              Here in the Pitch
            
              (City Slang)",City Slang,"Jessica Pratt fleshes out the bare-boned folk of her previous records on 'Here in the Pitch', sculpting dimly lit Californian memories into tape-saturated, pseudo-hauntological vignettes and sounding almost like Broadcast if they'd been brought up on a diet of The Beach Boys, The Walker Brothers, Burt Bacharach and Van Dyke Parks. Utterly brilliant stuff - Pratt's most satisfying album yet.

Pratt's always been good, but 'Here in the Pitch' is an unexpected and perfectly realised left turn... more",/products/here-in-the-pitch,https://assets.boomkat.com/spree/products/949348/product/4250506849290.jpg,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
1,funk-br-sao-paulo-nts,2,Various Artists,funk.BR - São Paulo,"Various Artists

              —
              funk.BR - São Paulo (NTS)
            
              (NTS)",NTS,"Major! NTS deploys a sprawling, heads-fwd selection of São Paulo's maddest contemporary funk machinations: hybridided dancefloor eccentricity that splices squirmy Afro-Portuguese bumps and MC yawps with snatches of drill, hard techno, electro-house, trance and blown-out 8-bit chirps. Educate yrself - this is some of the most dizzying, dynamic club music we've heard in ages.

São Paulo is a churning, cultural cement mixer of a city, bursting with diverse influences that spring from its... more",/products/funk-br-sao-paulo-nts,https://assets.boomkat.com/spree/products/925987/product/197190747324.jpg,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
2,queridao,3,DJ Anderson do Paraiso,Queridão,"DJ Anderson do Paraiso

              —
              Queridão
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Trust when we say that Anderson do Paraiso has made one of the deadliest albums we’ve heard this year (pick a year, any will do), a genius session of no-drums Grimey madness from Belo Horizonte that’s emblematic of Brazil’s fiercely innovative new wave of producers, making it our number 2 album of the year, 2023.

The most unsettlingly brilliant music we've heard yet from Brazil, Anderson do Paraiso's 'Queridão' strips favela funk down to its barest bones, interspersing raps and... more",/products/queridao,https://assets.boomkat.com/spree/products/918259/product/768558901414.jpg,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
3,breathe-godspeed,4,Verraco,Breathe… Godspeed,"Verraco

              —
              Breathe… Godspeed
            
              (Timedance)",Timedance,"Batu’s Timedance look to Latin America’s prevailing club currency with Verraco’s hi-tech twiss-ups chasing his slew of aces for Tra Tra Trax’s Insurgentes and Blawan’s Voam

Verraco has emerged as one of Medellín, Colombia’s leading club catalysts. With ‘Breathe… Godspeed’ he trims tresillo rhythms to chattering and rave-chewing electronics in four parts that snap and bite with a Raptor House energy decimated and rearranged for more demanding, trippy dancers, much in the same way the... more",/products/breathe-godspeed,https://assets.boomkat.com/spree/products/938803/product/58258fdf-b663-4ab8-725a-48eafb5b5a82.jpg,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
4,the-journey-70953120-f311-476b-befc-f659bcb5d062,5,Dj Babatr,The Journey,"Dj Babatr

              —
              The Journey
            
              (Paryìa)",Paryìa,"Venezuela’s Raptor house pioneer and Arca collaborator heralds a hot summer with killer Latin club riffs on Euro rave, techno and trance classics for Berlin’s Paryìa

All meat no gristle, ‘The Journey’ is looked and loaded for peak time pressure on every count. The title tune re-hoofs a CJ Bolland anthem with kinky shuffle and mantric vox certain to get a good crowd screaming, and ‘In The Groove’ flips a trance classique with extra rugged heft in its cattle prod electric percussion and Raptor... more",/products/the-journey-70953120-f311-476b-befc-f659bcb5d062,https://assets.boomkat.com/spree/products/932390/product/04541100-159a-3bdd-b36d-4051b9de30b7-2.jpg,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
5,leave-another-day,6,Milan W.,Leave Another Day,"Milan W.

              —
              Leave Another Day
            
              (STROOM)",STROOM,"Our Album Of The Year, 2024 🥀 ✨

Milan Warmoeskerken sends us deep into the realms of full earworm-holing obsession on this genius, instant classic entry to the pantheon of timeless, swoonsome diamonds - all daydreamy, hydroponic pastoralism to soundtrack urbane yearnings with a heavy nostalgic/80’s lilt that places it somewhere between Felt, HTRK, CS + Kreme, early The Verve, Eyeless In Gaza, Les Disques Du Crépuscule, aspects of early The The, Enno Velthuys, or the most... more",/products/leave-another-day,https://assets.boomkat.com/spree/products/946656/product/W-Milan_distribution_preview.jpg,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
6,if-i-had-a-pair-of-wings-jamaican-doo-wop-vol-2,7,Various Artists,"If I Had a Pair of Wings: Jamaican Doo Wop, Vol. 2","Various Artists

              —
              If I Had a Pair of Wings: Jamaican Doo Wop, Vol. 2
            
              (Death Is Not The End)",Death Is Not The End,"Dreamy doo-wop and swaying R&B from Jamaica, scanning the roots of what would become ska and rocksteady with early appearances from Jimmy Cliff, Derrick Harriott, and Alton Ellis

“A collection of Jamaican doo wop & R&B records taken from the late 50s and early 60s. These records represent a period in which soundsystems were just starting to dominate the island, with Duke Reid and Sir Coxsone stepping up their rivalry by beginning to make and release their own records rather than... more",/products/if-i-had-a-pair-of-wings-jamaican-doo-wop-vol-2,https://assets.boomkat.com/spree/products/566632/product/5050580710429.jpg,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
7,twostarandthedreampolice,8,Mk.gee,Two Star And The Dream Police,"Mk.gee

            —
            Two Star And The Dream Police",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
8,sentir-que-no-sabes,9,Mabe Fratti,Sentir Que No Sabes,"Mabe Fratti

              —
              Sentir Que No Sabes
            
              (Unheard Of Hope)",Unheard Of Hope,"Mabe Fratti focuses her songwriting and tightens the groove, piercing luscious pop arrangements with oddball experimental touches and dusty live drums, propelling her powerful voice into the clouds. 

In just five short years, Fratti has worked at an alarming pace, constantly tweaking her sound over four surprising, and unusually approachable full-lengths. Her last, 'Se Ve Desde Aquí' was one of 2022's most exciting pop developments, and since then she's teamed up with her partner... more",/products/sentir-que-no-sabes,https://assets.boomkat.com/spree/products/944041/product/198391777547.jpg,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
9,diamond-jubilee-4ded0054-8acb-4340-b091-4fbcd3f633e1,10,Cindy Lee,Diamond Jubilee,"Cindy Lee

              —
              Diamond Jubilee
            
              (W.25TH)",W.25TH,"Bursting at the seams with ideas and mushy emotionality, Cindy Lee's hypnagogic 2-hour magnum opus has quite rightly been touted as one of the best albums of the year - if not the decade. Ex-Women frontperson Patrick Flegel's vision of rock 'n roll is anachronistically nostalgic, an oily tincture of vintage psych, dilated funk and ghosted girl group pop that stews in its heartbreaking sincerity. Urgent listening for fans of Jessica Pratt, Brian Wilson, The Walker Brothers, U.S. Girls or Karen... more",/products/diamond-jubilee-4ded0054-8acb-4340-b091-4fbcd3f633e1,https://assets.boomkat.com/spree/products/963386/product/W25-18_web_1024x1024.jpg,2695,Anthony Naples,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2695
