,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,passoutfeatydegirl,1,RIP SWIRL,Pass Out feat. Ydegirl,"RIP SWIRL

            —
            Pass Out feat. Ydegirl",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
1,glowon,2,Turnstile,Glow On,"Turnstile

            —
            Glow On",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
2,dafeeling,3,Duwap Kaine,Da Feeling,"Duwap Kaine

            —
            Da Feeling",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
3,esoteric,4,Kiss Facility,Esoteric,"Kiss Facility

            —
            Esoteric",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
4,cloudemojispotifyplaylist,5,mu tate,cloud emoji Spotify playlist,"mu tate

            —
            cloud emoji Spotify playlist",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
5,blinkmoth,6,James K,Blinkmoth,"James K

            —
            Blinkmoth",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
6,everybodyneeds,7,ML Buch,Everybody Needs,"ML Buch

            —
            Everybody Needs",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
7,inyourhead,8,buttechno & Triš,In Your Head,"buttechno & Triš

            —
            In Your Head",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
8,compassion-55b7cfb9-e61b-4b92-8ba0-d68c0a461ae6,9,Lust For Youth,Compassion,"Lust For Youth

              —
              Compassion
            
              (Sacred Bones Records)",Sacred Bones Records,"A swooning suite of clinically minimal and photogenic dance music for Sacred Bones, site of their strongest material to date.

The spectres of ‘90s New Order and indie-dance pop have never felt so close as they do on Compassion, wallowing in a shallow, icy pool of tainted pop romance with posturing, disaffected vocals and retro-fixated dance-pop emulations of the ilk you might hear in Woolworths on a saturday afternoon circa ’93.

Former singles Better Looking Brother and Stardom are the... more",/products/compassion-55b7cfb9-e61b-4b92-8ba0-d68c0a461ae6,https://assets.boomkat.com/spree/products/329908/product/616892361541_T25684143610054.jpg,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
9,it-s-immaterial,10,Black Marble,It's Immaterial,"Black Marble

              —
              It's Immaterial
            
              (Ghostly International)",Ghostly International,"Black Marble release their second full-length, It’s Immaterial, their first for Ghostly.

""It’s Immaterial follows up their EP Weight Against the Door (Hardly Art/January 17, 2012) and highly acclaimed debut full-length A Di¬erent Arrangement. Still featuring Stewart at the helm along with select collaborators as supplementation, the band’s recent shift in locale from East Coast to West Coast lends a great deal to the overall feel of the new album. The light and dark elements of shadows. The salt and... more",/products/it-s-immaterial,https://assets.boomkat.com/spree/products/377117/product/804297827520_T28534297900054.jpg,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
10,pitterpatterpitpatlistentotherainpitterpatterpitpatrainingagain,11,se Dessaisir Publishing,"pitter​-​patter, pit​-​pat, listen to the rain! pitter​-​patter, pit​-​pat, raining again​.​.​.","se Dessaisir Publishing

            —
            pitter​-​patter, pit​-​pat, listen to the rain! pitter​-​patter, pit​-​pat, raining again​.​.​.",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
11,httpswwwyoutubecomwatchvfscd3houo,12,"[4K] Super Heavy Rain Driving at Early Morning, ThunderStorm Sounds",https://www.youtube.com/watch?v=FscD3-HOU-o,"[4K] Super Heavy Rain Driving at Early Morning, ThunderStorm Sounds

            —
            https://www.youtube.com/watch?v=FscD3-HOU-o",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
12,whataroundyountsmix,13,Special Guest DJ,what around you NTS mix,"Special Guest DJ

            —
            what around you NTS mix",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
13,gettingbackintohardcore,14,,Getting back into hardcore,Getting back into hardcore,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
14,questforfire,15,Skrillex,Quest for Fire,"Skrillex

            —
            Quest for Fire",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
15,loro,16,Pinback,Loro,"Pinback

            —
            Loro",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
16,aboutyou,17,XXYYXX,About You,"XXYYXX

            —
            About You",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
17,whitehorse,18,Florence Sinclair,White Horse,"Florence Sinclair

            —
            White Horse",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
18,contigo,19,"KAROL G, Tiësto",CONTIGO,"KAROL G, Tiësto

            —
            CONTIGO",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2719,Ben Bondy,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2719
