,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dinersclubinternational3,1,Diners Club International,Diners Club International #3,"Diners Club International

            —
            Diners Club International #3",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
1,quiet-logic,2,"Mixmaster Morris, Jonah Sharp, Haruomi Hosono",Quiet Logic,"Mixmaster Morris, Jonah Sharp, Haruomi Hosono

              —
              Quiet Logic
            
              (WRWTFWW Records)",WRWTFWW Records,"Allow Mixmaster Morris, YMO’s Haruomi Hosono, and US electronica pioneer Jonah Sharp to nuzzle nostalgia nozzles on a first vinyl pressing of their 1997 ambient dance saga - a big RIYL The Irresistible Force, Spacetime Continuum, Dreamfish, Tetsu Inoue, FFWD, H.I.A., Fax +49-69/450464

Mana for backroom psychonauts and yoghurt weavers, ‘Quiet Logic’ pitches a trio of electronic music dreamers in fluid, harmonious fusion for just under an hour of gently trippy ambient soundscaping. Mostly... more",/products/quiet-logic,https://assets.boomkat.com/spree/products/929830/product/4251804179874_2500.jpg,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
2,nights-a7018d69-e5d1-43a1-9de4-60c6834cf61c,3,Sully & Sâlo,Nights,"Sully & Sâlo

              —
              Nights
            
              (Astrophonica)",Astrophonica,"Sully meets Manchester vocalist Sâlo on a taut, soulful pearl backed with an expansive dub fizzing with signature details

’Nights’ pitches Sully in previously unexplored terrain, injecting a dose of contemporary soul via Sâlo’s vocal to tight, tungsten-tipped breaks programming and late Dillinja-style distorted bass to a near-dance-pop-soul brief. His ‘Nights (Not Just a Dub Mix)’ is perhaps more recognisably Sully, opening out the vocal and drums in acres of warehouse space with reeling... more",/products/nights-a7018d69-e5d1-43a1-9de4-60c6834cf61c,https://assets.boomkat.com/spree/products/922331/product/5056467378294.jpg,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
3,amsterdam-blue,4,JON HASSELL,Amsterdam Blue,"JON HASSELL

              —
              Amsterdam Blue
            
              (Ndeya)",Ndeya,,/products/amsterdam-blue,https://assets.boomkat.com/spree/products/932366/product/5056614796490_T2_Image.jpg,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
4,alley-of-the-sun,5,Various Artists,Alley of the Sun,"Various Artists

              —
              Alley of the Sun
            
              (Not Not Fun)",Not Not Fun,"Raise a glass to 20 years of Not Not Fun with their 400th (!!!) release, a sublime cross-section of sidelong psych, lower case club music and new new age ambient by a constellation of alumni and affiliates who all chime with the sound.

For two decades NNF has been a reliable source of lysergic sauce from the peripheries and blind spots of the 3rd eye, weathering multiple vibe shifts and playing instrumental roles in movements such as vaporware, lo-fi house (both on main and sister label... more",/products/alley-of-the-sun,https://assets.boomkat.com/spree/products/959384/product/5060168045232_T109352771180054.jpg,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
5,the-infinite-0f4a2c2e-4e62-47d8-8d07-54cdbcc65569,6,Refreshers,The Infinite,"Refreshers

              —
              The Infinite
            
              (Refreshers)",Refreshers,"Lukid returns on a soulfully rinsed-out old skool jungle lash under his Refreshers alias, including a tremendous weightless dub.

After setting 2024 on the good foot with a cut for Future Retro London at the head of the year, Refreshers fizz up a pleading ‘80s soul vocal with rambunctious jump up choppage in ‘The Infinite’, making ample room for blissed breakdowns, before dialling up the lushness on ‘The Infinite Dub’, which leaves the breaks for dust and beautifully twirls the hair-kissing pads... more",/products/the-infinite-0f4a2c2e-4e62-47d8-8d07-54cdbcc65569,https://assets.boomkat.com/spree/products/933265/product/5050580823891.jpg,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
6,trash-can-lamb,7,K. Freund,Trash Can Lamb,"K. Freund

              —
              Trash Can Lamb
            
              (Soda Gong)",Soda Gong,"Trouble Books' Keith Freund gets up close and personal on 'Trash Can Lamb', playing homespun sax and piano phrases over DIY electronic sputters and hiccuping, downsampled loops.

There's something undeniably satisfying about Freund's music; the Akron-based multi-instrumentalist has been recording and collaborating for almost two decades, and his solo output is casual and intimate. It's like hearing someone rehearsing in their bedroom studio, playing to their own internal rhythm... more",/products/trash-can-lamb,https://assets.boomkat.com/spree/products/933020/product/880918264905.jpg,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
7,poliopiajunglegym,8,Ottaven,Poliopia (Jungle Gym),"Ottaven

            —
            Poliopia (Jungle Gym)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
8,human101,9,Astrønne,Human 101,"Astrønne

            —
            Human 101",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
9,tagbuchdinerverlorenen,10,Casino Versus Japan,Tagbuch Diner Verlorenen,"Casino Versus Japan

            —
            Tagbuch Diner Verlorenen",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2683,Brian Foote,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2683
