,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,in-spectra,1,Carrier,In Spectra,"Carrier

              —
              In Spectra
            
              (Carrier)",Carrier,"Carrier’s eponymous whitelabel series already feels like a worthy successor to those classic stamped T++ EP’s, with a similar take on deep yet propulsive techno dynamics that owe as much to Berlin’s Chain Reaction as they do Hardcore ballistics - from Jungle to UKG, all precision-tooled and tense as f u c k minimalist programming that you really should investigate if yr into classic Burial, T++, Autechre, Paradox, Demdike Stare, Xth Reflexion, Logos - it’s really just about as good... more",/products/in-spectra,https://assets.boomkat.com/spree/products/934855/product/8718723256483.jpg,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
1,suntub,2,ML Buch,Suntub,"ML Buch

              —
              Suntub
            
              (15 love)",15 love,"Danish producer ML Buch studies the fertile space between vintage songcraft and contemporary synthetics on 'Suntub', smudging MIDI guitar riffs and soft rock pads into acoustic instrumentation and soaring earworms. It's like Joni Mitchell's 'Hejira' or Fleetwood Mac's 'Rumours' rebuilt painstakingly by an AI-powered server farm, the edges hand-frayed into surreal, fractal patterns. A late-year contender for pop album of the year, no doubt.

As artists have spied the creeping influence of AI... more",/products/suntub,https://assets.boomkat.com/spree/products/916466/product/image_0.jpg,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
2,forpalestineparalaxeeditions,3,V/A,For Palestine (Paralaxe Editions),"V/A

            —
            For Palestine (Paralaxe Editions)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
3,one-day-50e8918f-7db8-4c16-a0bf-eac13728ca1d,4,Loidis,One Day,"Loidis

              —
              One Day
            
              (Incienso)",Incienso,"Brian Leeds (Huerco S.) assumes his ultimate deep house and techno form as Loidis with an hour-long album of micro-dosed, dub wise delicacies on Incienso label - big RIYL Shinichi Atobe, NWAQ, DJ Sprinkles, Vainqueur.

Trading under an archaic name for Leeds, Loidis goes on like a long weekend in one of its infamous club or house parties, rolling out deep and long with eight hypnotically immersive cuts distinguished by his trippy surface detailing and heavily infectious grooves. After years... more",/products/one-day-50e8918f-7db8-4c16-a0bf-eac13728ca1d,https://assets.boomkat.com/spree/products/943540/product/4251804192460_2500.jpg,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
4,statik-627cbdab-c23f-4c48-a02d-405ef6e7de21,5,Actress,Statik,"Actress

              —
              Statik
            
              (Smalltown Supersound)",Smalltown Supersound,"Actress's tenth hazed set of fractal dancefloor refractions is a spongy, sub-aquatic mass of Drexciyan electro, gusty balearic ambience, 8-bit digi-dub and eerie Nuno Canavarro-esque melodic mazes. Steeped in obscured mythology while beckoning a burnished cybernetic future, 'Statik' might be his most decisive, celestial statement yet.

Balancing a dense conceptual framework with real soundsystem weight ain’t easy - too much artspeak and the music inevitably loses its pulse, pay too much... more",/products/statik-627cbdab-c23f-4c48-a02d-405ef6e7de21,https://assets.boomkat.com/spree/products/930380/product/7072822428006.jpg,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
5,dirjonathanglazer,6,The Zone of Interest,(dir. Jonathan Glazer),"The Zone of Interest

            —
            (dir. Jonathan Glazer)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
6,spell-blanket-collected-demos-2006-2009,7,Broadcast,Spell Blanket - Collected Demos 2006 - 2009,"Broadcast

              —
              Spell Blanket - Collected Demos 2006 - 2009
            
              (Warp Records)",Warp Records,"A 36-track anthology of 4-track and minidisc recordings from Trish Keenan's archive, 'Spell Blanket' is as close as we're gonna get to Broadcast's mythical fifth album, and it's a labyrinthine heart-melter. Not just a selection of demos like 'Distant Call', this one's a fuzzy image of what the finished album might have been, with psychedelic synth experiments, organ jams, hymnals and tape-mangled poems interrupting Keenan and James Cargill's unmistakable reverb-drenched arrangements. We... more",/products/spell-blanket-collected-demos-2006-2009,https://assets.boomkat.com/spree/products/932410/product/5056614796087_T37_Image.jpg,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
7,damaged-b9f0d551-bb4d-4e15-a054-58a3d4ff2ff7,8,Ghost Dubs,Damaged,"Ghost Dubs

              —
              Damaged
            
              (Pressure)",Pressure,"Dreader than dread dub vapors from Ghost Dubs, in a lineage stretching from Dadawah to Burial Mix, Vainqueur to Resilent, Pole to Rod Modelll...​

Toiling in Berlin’s deep seam of abstract dub practice that scrolls back to Rhythm & Sound’s earliest via Pole’s dusty convections and Chain Reaction's fritzed mutations; Ghost Dubs embodies the art of dub as method with a strong haul of dematerialised, sludgy tramplers operating close to the scuzzy heart of Kevin Martin, aka The Bug... more",/products/damaged-b9f0d551-bb4d-4e15-a054-58a3d4ff2ff7,https://assets.boomkat.com/spree/products/947370/product/5056688829803_T13_Image.jpg,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
8,damaged-versions,9,Ghost Dubs,Damaged Versions,"Ghost Dubs

              —
              Damaged Versions
            
              (Pressure)",Pressure,"Dank and dread heavy dubs by Jah Schulz, aka Ghost Dubs, in an austere Teutonic tradition related to Rhythm & Sound, Pole, René Löwe 

‘Damaged Versions’ hails Michael Fiedler’s debut as Ghost Dubs for Kevin Martin’s Pressure label, home to his work as The Bug, jams with Burial as Flame, and host to the likes of JK Flesh, Al Cisneros, and G36. The three bits of industrialised dub noise fall squarely into Pressure’s zone of interest with a bloodyminded fixation on soundsystem... more",/products/damaged-versions,https://assets.boomkat.com/spree/products/943230/product/5056688829124_T4_Image.jpg,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
9,most-but-potentially-all-composed-by-jim-o-rourke,10,Eivind Lønning,"Most, but Potentially All 
            
              (Smalltown Supersound)","Eivind Lønning

              —
              Most, but Potentially All (composed by Jim O’Rourke)
            
              (Smalltown Supersound)",composed by Jim O’Rourke,"Composed by Jim O’Rourke and pieced together by Jim together with longtime collaborator and trumpeter Eivind Lønning at Jim and Eiko Ishibashi’s home in the Japanese mountains, this engrossing new album blows brass wails and tense fanfares across O'Rourke's manipulated Kyma tapestries for a deep, captivating trip into the aether. As expected, its outlandishly next level.

Eivind Lønning has been sharing ideas with O'Rourke for several years: the duo collaborated on music for the... more",/products/most-but-potentially-all-composed-by-jim-o-rourke,https://assets.boomkat.com/spree/products/971258/product/7072822422004.jpg,2628,Carmen Villain,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2628
