,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,shifted-in-dreams,1,Kassel Jaeger,Shifted in Dreams,"Kassel Jaeger

              —
              Shifted in Dreams
            
              (Shelter Press)",Shelter Press,"François Bonnet's latest album is his richest, most evocative to date, submerging synth and organ drones, guitar shimmer and resonant tones around beds of expertly-tweaked noise. It's a devilishly specific sound, recalling bits of Basinski and FUJI||||||||||TA, but steeped in GRM lore gliding into liminal states where things are never quite what they seem.

With a title like ‘Shifted in Dreams’, you might expect Bonnet to grip onto a shoegaze-ambient third rail and shock himself into latter-day... more",/products/shifted-in-dreams,https://assets.boomkat.com/spree/products/963927/product/880918261522.jpg,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
1,ni-envers-ni-endroit-que-cette-roche-brulante-pour-georgia-o-keeffe-recurrence-expansion,2,"Félicia Atkinson, Richard Chartier","Ni envers ni endroit que cette roche brûlante (Pour Georgia O’Keeffe) / Recurrence.Expansion
            
              (Portraits GRM)","Félicia Atkinson, Richard Chartier

              —
              Ni envers ni endroit que cette roche brûlante (Pour Georgia O’Keeffe) / Recurrence.Expansion
            
              (Portraits GRM)",Pour Georgia O’Keeffe / Recurrence.Expansion,"Félicia Atkinson and Richard Chartier are the cover stars of the latest Portraits GRM edition, each of them approaching concrète minimalism from markedly different perspectives.

Atkinson's ‘Ni envers ni endroit que cette roche br​ûlante’ (neither back nor place but this burning rock) is dedicated to American modernist Georgia O'Keeffe, who famously used the harsh New Mexico landscape to inspire colourful, erotically charged abstractions. Atkinson describes her composition here as a... more",/products/ni-envers-ni-endroit-que-cette-roche-brulante-pour-georgia-o-keeffe-recurrence-expansion,https://assets.boomkat.com/spree/products/885476/product/SPGRM008_Cover.jpg,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
2,dharmatalkhttpswwwyoutubecomwatchvpes3cv3fket3018s,3,Thich Nhat Hanh,Dharma Talk - https://www.youtube.com/watch?v=PeS3CV3F_KE&t=3018s,"Thich Nhat Hanh

            —
            Dharma Talk - https://www.youtube.com/watch?v=PeS3CV3F_KE&t=3018s",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
3,outre-nuit,4,Clara Levy,Outre-Nuit,"Clara Levy

              —
              Outre-Nuit
            
              (Sub Rosa)",Sub Rosa,"Solo project from French violinist and improviser Clara Levy, exploring ""the blurred lines between interpretation and composition (13 Visions) or the listening experience and dramaturgy of the concert (Outre-Nuit).""

""Clara Levy is a French violinist and improviser living in Brussels whose career is mainly focused on new music performance. She has been developing solo project addressing different topics at the core of contemporary music practice,

The programme can be listened to in... more",/products/outre-nuit,https://assets.boomkat.com/spree/products/971437/product/a0592652881_10.jpg,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
4,throb-shiver-arrow-of-time,5,Oliver Coates,"Throb, shiver, arrow of time","Oliver Coates

              —
              Throb, shiver, arrow of time
            
              (RVNG Intl.)",RVNG Intl.,"Preeminent scorer and maverick cellist Oliver Coates, member of the London Contemporary Orchestra and occasional spar for everyone from Mica Levi to MF DOOM, carries over his commissions for moving image into the fever dream-like instrumental narrative arc of his 3rd album for RVNG Intl., a glorious display of his emotional register, saturated with absorbing harmonic-textural colour and dissonance and featuring a standout vocal cameo from Malibu.

In the wake of celebrated... more",/products/throb-shiver-arrow-of-time,https://assets.boomkat.com/spree/products/939046/product/747742386565.jpg,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
5,music-for-save-rooms-1-2,6,John Also Bennett,Music For Save Rooms 1 & 2,"John Also Bennett

              —
              Music For Save Rooms 1 & 2
            
              (editions basilic)",editions basilic,"John Also Bennett taps into the stasis and relief of video game save rooms on this tranquillising 90 minute anthology, throwing Koji Kondo and Michiru Oshima references (and a charmingly squiggly cover of Arvo Pärt's 'Spiegel im Spiegel') into an undulating suite of glassy, endlessly evolving Fourth World fantasies.

JAB was working from a remote barn in the fog-swept Marin Headlands when he came up with the concept for 'Music for Save Rooms'. He'd been encouraged by his friend and... more",/products/music-for-save-rooms-1-2,https://assets.boomkat.com/spree/products/926690/product/EBS2006_Cover.jpg,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
6,greekchantainostheotoentriadi,7,Nuns at Meteora,"Greek chant - Ainos Theo, To. En Triadi","Nuns at Meteora

            —
            Greek chant - Ainos Theo, To. En Triadi",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
7,fallofcivilizationspodcasthttpsfallofcivilizationspodcastcom,8,Paul Cooper,Fall of Civilizations podcast - https://fallofcivilizationspodcast.com,"Paul Cooper

            —
            Fall of Civilizations podcast - https://fallofcivilizationspodcast.com",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
8,newbluesun,9,André 3000,New Blue Sun,"André 3000

            —
            New Blue Sun",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
9,aporia-6a569bac-76d3-4ac8-9bc3-276bd3ef48af,10,Sissi Rada,Aporia,"Sissi Rada

              —
              Aporia
            
              (STROOM)",STROOM,"Greek harpist and composer Sissi Rada beautifully bends atmospheric light and pressure in her blends of ambient chamber pop and slow burn dance music on her standout debut album with Stroom.

A collaborator with everyone from Brian Eno to Vangelis, Lena Platonos and Lee “Scratch” Perry over the past few decades, Sissi Rada ideally firmed up and announced her solo sound with ‘Aporia’ in summer ’24. Under a title translating to ‘Wonder’ in her native tongue, Rada puckered her... more",/products/aporia-6a569bac-76d3-4ac8-9bc3-276bd3ef48af,https://assets.boomkat.com/spree/products/926716/product/STRLP080.jpg,2637,Christina Vantzou,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2637
