,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,leave-another-day,1,Milan W.,Leave Another Day,"Milan W.

              —
              Leave Another Day
            
              (STROOM)",STROOM,"Our Album Of The Year, 2024 🥀 ✨

Milan Warmoeskerken sends us deep into the realms of full earworm-holing obsession on this genius, instant classic entry to the pantheon of timeless, swoonsome diamonds - all daydreamy, hydroponic pastoralism to soundtrack urbane yearnings with a heavy nostalgic/80’s lilt that places it somewhere between Felt, HTRK, CS + Kreme, early The Verve, Eyeless In Gaza, Les Disques Du Crépuscule, aspects of early The The, Enno Velthuys, or the most... more",/products/leave-another-day,https://assets.boomkat.com/spree/products/946656/product/W-Milan_distribution_preview.jpg,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
1,insheffield,2,Juan Last Dance,in Sheffield,"Juan Last Dance

            —
            in Sheffield",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
2,outlookset,3,Truant,Outlook set,"Truant

            —
            Outlook set",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
3,eviljordan,4,Playboi Carti,Evil Jordan,"Playboi Carti

            —
            Evil Jordan",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
4,powerballadd20,5,Rareman,Power Ballad / d20,"Rareman

            —
            Power Ballad / d20",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
5,you-can-see-alex-park-from-ere,6,Rat Heart,U Can See Alex Park From Ere / Picky Eater,"Rat Heart

              —
              U Can See Alex Park From Ere / Picky Eater
            
              (Modern Love)",Modern Love,"Rat Heart lands on Modern Love’s 7” series with two asymmetric ohrwurms, featuring Ben Vince on the stunning saxophone-led A side, with a wildly morose Spanish guitar ballad on the flip.

Tom Boogizm’s Rat Heart has already given us AOTY-worthy excursions into fizzing ambience, fritzed Arthur Russel-esque scuzz, flipped neo-soul and bleary-eyed bangers, always with those timeless hooks and wild-but-insular production. Never one to care much about fitting in with any one thing or... more",/products/you-can-see-alex-park-from-ere,https://assets.boomkat.com/spree/products/927133/product/Cover.jpg,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
6,nerve-grid,7,Quiet Husband,Nerve Grid,"Quiet Husband

              —
              Nerve Grid
            
              (Quiet Husband)",Quiet Husband,"Richie Culver’s Quiet Husband racks up 15 minutes of nerve-gnawing noise on the penultimate component of their ’24 programme, hailing the almighty ‘Religious Equipment’ album for Jordan’s Drowned By Locals on the horizon.

Inside one of the best CD artworks ever, ‘Nerve Grid’ leads on from Quiet Husband’s string of tape & 12” drops for Industrial Coast, Death Bed Tapes and Total Black with a caustic bubblebath that hints at the more extreme extents of the project’s upcoming debut... more",/products/nerve-grid,https://assets.boomkat.com/spree/products/960777/product/coverqh.jpg,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
7,coswomenssection,8,,Cos Women’s section,Cos Women’s section,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
8,directedbycpremkumar,9,Meiyazhagan,directed by C.Prem Kumar,"Meiyazhagan

            —
            directed by C.Prem Kumar",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
9,directedbynithilansaminathan,10,Maharaja,directed by Nithilan Saminathan,"Maharaja

            —
            directed by Nithilan Saminathan",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
10,directedbymariselvaraj,11,Vaazhai,directed by Mari Selvaraj,"Vaazhai

            —
            directed by Mari Selvaraj",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2641,Fonz,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2641
