,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sixty-nine-37d6282d-4dfe-437b-adf3-39c2e848111e,1,A.R. Kane,Sixty Nine,"A.R. Kane

              —
              Sixty Nine
            
              (One Little Independent Records / Rocket Girl)",One Little Independent Records / Rocket Girl,"A seminal, early highlight of shoegaze that helped birth the idea of “dream pop”, also serving as a blueprint of sorts for Dean Blunt's world of sound, A.R. Kane’s debut album is among the most under-sung, yet foundational, records of its time. 

A.R. Kane were no doubt an anomaly in their field - far as we know, the only Black band of musicians operating in British indie-pop-rock music - which only makes their dare-to-be-different style even more exceptional, in hindsight. They would famously... more",/products/sixty-nine-37d6282d-4dfe-437b-adf3-39c2e848111e,https://assets.boomkat.com/spree/products/713624/product/cover.jpeg,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
1,youonlydie1nce,2,Freddie Gibbs,You Only Die 1nce,"Freddie Gibbs

            —
            You Only Die 1nce",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
2,popoutfeatschoolboyq,3,Larry June,Pop Out (feat. ScHoolboy Q),"Larry June

            —
            Pop Out (feat. ScHoolboy Q)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
3,voirdire,4,Earl Sweatshirt & The Alchemist,Voir Dire,"Earl Sweatshirt & The Alchemist

            —
            Voir Dire",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
4,all-bad-boy-all-good-girl-manchester-street-soul-soundtapes-1988-1996,5,Death Is Not The End,"All Bad Boy & All Good Girl - Manchester Street Soul Soundtapes, 1988-1996","Death Is Not The End

              —
              All Bad Boy & All Good Girl - Manchester Street Soul Soundtapes, 1988-1996
            
              (Death Is Not The End)",Death Is Not The End,"A Manchester Soundsystem special, compiled from original recordings made at house & blues parties between 1988 and 1996, fully joining dots between early pirate radio, black secret technology and latter-day 'nuum branches, such as space afrika and beyond, dubbed into the void. Trust - it’s the lick.​

Capturing the fabled Manchester soundsystem scene in its 1988-1996 heyday, the tape follows a sort of meta-narrative culled from multiple mixtapes recorded at the legendary Broadway... more",/products/all-bad-boy-all-good-girl-manchester-street-soul-soundtapes-1988-1996,https://assets.boomkat.com/spree/products/847830/product/Screenshot_2024-06-13_at_15.46.52.jpg,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
5,bluelips,6,Schoolboy Q,Blue Lips,"Schoolboy Q

            —
            Blue Lips",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
6,dacityofahunnidplays,7,Niontay,Da City of a Hunnid Plays,"Niontay

            —
            Da City of a Hunnid Plays",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
7,40-e53aabe8-39c2-410d-85c3-686bd082a0cd,8,Jawnino,40,"Jawnino

              —
              40
            
              (Worldwide Unlimited / True Panther)",Worldwide Unlimited / True Panther,"One of UK Grime’s most shadowy figures comes of age with a killer full length debut released in collab between True Panther and DJ Python’s Worldwide Unlimited, brimming with an incandescent energy arcing from OG to contemporary eras. It's fully addictive gear, joining unexpected dots between hook-heavy pop and weirder modes, on a tip somewhere between Vegyn, Dean Blunt, Playboi Carti, Klein & Junior Boys - just v v good!!!!

Previously appearing on these pages as a guest... more",/products/40-e53aabe8-39c2-410d-85c3-686bd082a0cd,https://assets.boomkat.com/spree/products/929808/product/Jawnino.jpg,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
8,majorasmasksoundtrack,9,Koji Kondo,Majora's Mask Soundtrack,"Koji Kondo

            —
            Majora's Mask Soundtrack",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
9,diamond-jubilee-4ded0054-8acb-4340-b091-4fbcd3f633e1,10,Cindy Lee,Diamond Jubilee,"Cindy Lee

              —
              Diamond Jubilee
            
              (W.25TH)",W.25TH,"Bursting at the seams with ideas and mushy emotionality, Cindy Lee's hypnagogic 2-hour magnum opus has quite rightly been touted as one of the best albums of the year - if not the decade. Ex-Women frontperson Patrick Flegel's vision of rock 'n roll is anachronistically nostalgic, an oily tincture of vintage psych, dilated funk and ghosted girl group pop that stews in its heartbreaking sincerity. Urgent listening for fans of Jessica Pratt, Brian Wilson, The Walker Brothers, U.S. Girls or Karen... more",/products/diamond-jubilee-4ded0054-8acb-4340-b091-4fbcd3f633e1,https://assets.boomkat.com/spree/products/963386/product/W25-18_web_1024x1024.jpg,2598,Jabu,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2598
